date,open,high,low,close,volume,Name
2013-02-08,78.34,79.72,78.01,78.9,1298137,AAP
2013-02-11,78.65,78.91,77.23,78.39,758016,AAP
2013-02-12,78.39,78.63,77.5132,78.6,876859,AAP
2013-02-13,78.9,79.13,77.85,78.97,1038574,AAP
2013-02-14,78.66,79.72,78.585,78.84,1005376,AAP
2013-02-15,78.83,79.18,77.93,79.0,1247063,AAP
2013-02-19,79.12,81.44,78.57,80.72,1730690,AAP
2013-02-20,80.42,80.94,79.39,79.5,648693,AAP
2013-02-21,79.26,80.05,78.56,79.06,915160,AAP
2013-02-22,79.2,79.46,78.63,79.21,538188,AAP
2013-02-25,79.46,79.74,78.36,78.36,579811,AAP
2013-02-26,78.42,78.925,76.42,77.15,990145,AAP
2013-02-27,77.29,77.58,76.22,77.3,720813,AAP
2013-02-28,77.35,77.59,76.34,76.34,1180713,AAP
2013-03-01,76.37,76.66,75.623,76.37,1272624,AAP
2013-03-04,76.24,77.25,76.1,77.02,1098428,AAP
2013-03-05,77.07,77.49,76.72,76.95,1288012,AAP
2013-03-06,77.1,77.24,75.97,76.18,1255676,AAP
2013-03-07,76.04,76.75,75.7,76.22,965808,AAP
2013-03-08,76.44,77.16,75.6302,76.84,736386,AAP
2013-03-11,76.88,78.06,76.84,77.53,689362,AAP
2013-03-12,77.26,77.66,76.89,77.36,660535,AAP
2013-03-13,77.54,78.85,77.32,78.77,644976,AAP
2013-03-14,78.9,79.12,77.36,77.67,763234,AAP
2013-03-15,77.9,79.59,77.41,79.57,1237958,AAP
2013-03-18,79.09,80.76,79.0101,80.7,1219201,AAP
2013-03-19,80.64,80.9399,79.77,80.07,1370222,AAP
2013-03-20,80.07,80.704,79.8005,80.22,728484,AAP
2013-03-21,79.91,80.72,79.85,80.03,616238,AAP
2013-03-22,80.12,80.44,78.972,79.81,586660,AAP
2013-03-25,79.83,80.94,79.33,80.53,1150900,AAP
2013-03-26,80.86,81.61,80.56,81.6,969581,AAP
2013-03-27,81.02,81.7,80.9601,81.64,551193,AAP
2013-03-28,81.34,83.07,81.29,82.65,1287266,AAP
2013-04-01,82.54,83.03,81.66,82.34,749343,AAP
2013-04-02,82.49,82.9099,81.33,82.83,956279,AAP
2013-04-03,82.8,82.95,81.5,82.12,846044,AAP
2013-04-04,82.2,82.97,81.93,82.2,819476,AAP
2013-04-05,81.62,81.62,80.75,80.95,913888,AAP
2013-04-08,81.0,81.15,80.35,80.63,837488,AAP
2013-04-09,79.97,79.97,78.5,78.71,1462823,AAP
2013-04-10,79.0,81.85,79.0,81.23,1758927,AAP
2013-04-11,81.03,83.37,80.81,83.01,1041745,AAP
2013-04-12,82.96,83.52,81.58,81.99,1009086,AAP
2013-04-15,81.89,82.2,79.99,80.27,1004499,AAP
2013-04-16,80.69,80.97,79.8,80.47,720223,AAP
2013-04-17,80.25,80.25,79.05,79.82,762815,AAP
2013-04-18,79.8,79.86,78.805,78.92,651867,AAP
2013-04-19,79.14,80.69,77.98,79.93,1044797,AAP
2013-04-22,79.85,79.9699,78.75,79.07,564056,AAP
2013-04-23,79.55,81.23,79.53,80.55,653790,AAP
2013-04-24,80.47,81.43,80.47,81.18,663747,AAP
2013-04-25,82.6,84.01,82.05,83.0,1280254,AAP
2013-04-26,83.04,83.26,82.47,82.94,710347,AAP
2013-04-29,83.0,83.58,82.76,83.02,764828,AAP
2013-04-30,83.0,83.93,82.33,83.88,792369,AAP
2013-05-01,83.85,84.97,83.44,84.34,688085,AAP
2013-05-02,84.44,84.98,83.93,84.59,674663,AAP
2013-05-03,85.02,85.74,84.14,84.56,694591,AAP
2013-05-06,84.71,85.05,84.03,84.91,394037,AAP
2013-05-07,85.31,85.7,84.61,85.58,429232,AAP
2013-05-08,85.5,85.87,84.61,85.12,502835,AAP
2013-05-09,84.92,85.7,84.59,84.72,428060,AAP
2013-05-10,84.8,85.97,84.52,85.43,537369,AAP
2013-05-13,85.25,85.38,83.66,85.0,727903,AAP
2013-05-14,85.18,86.23,84.96,86.12,387664,AAP
2013-05-15,85.96,86.54,85.42,86.4,348660,AAP
2013-05-16,86.32,86.92,85.04,85.42,610588,AAP
2013-05-17,85.57,86.46,85.51,86.16,573051,AAP
2013-05-20,85.79,86.98,85.37,86.52,630338,AAP
2013-05-21,87.17,88.74,87.05,87.18,748454,AAP
2013-05-22,87.25,87.33,85.55,85.8,514455,AAP
2013-05-23,84.57,85.42,83.22,84.08,1444650,AAP
2013-05-24,83.75,84.0199,83.12,83.39,589923,AAP
2013-05-28,84.0,84.53,82.87,83.63,543927,AAP
2013-05-29,83.14,83.48,81.81,82.16,770171,AAP
2013-05-30,82.34,82.89,81.58,82.07,525025,AAP
2013-05-31,81.78,83.124,81.51,81.52,493284,AAP
2013-06-03,81.54,82.57,80.3,82.55,917977,AAP
2013-06-04,82.39,83.39,81.88,81.99,548998,AAP
2013-06-05,81.96,82.94,81.53,81.55,472367,AAP
2013-06-06,81.77,83.24,81.635,83.23,343350,AAP
2013-06-07,83.49,84.53,83.18,84.32,541563,AAP
2013-06-10,84.32,84.96,83.39,83.62,369813,AAP
2013-06-11,82.89,83.41,82.6,82.69,486934,AAP
2013-06-12,83.09,83.41,82.04,82.35,461216,AAP
2013-06-13,82.44,83.31,82.2,82.75,467126,AAP
2013-06-14,82.61,83.64,81.64,82.48,521876,AAP
2013-06-17,82.58,83.45,82.11,82.48,521596,AAP
2013-06-18,82.5,83.71,82.14,83.69,345318,AAP
2013-06-19,83.3,84.48,82.44,84.07,1079373,AAP
2013-06-20,83.69,83.8,82.73,82.88,704461,AAP
2013-06-21,83.02,83.08,80.57,80.74,967901,AAP
2013-06-24,79.85,80.87,79.49,80.22,705907,AAP
