date,open,high,low,close,volume,Name
2013-02-08,36.37,36.42,35.825,36.25,13858795,ABBV
2013-02-11,36.13,36.18,35.75,35.85,6031957,ABBV
2013-02-12,35.77,35.9,35.2,35.42,7473991,ABBV
2013-02-13,35.42,35.57,35.15,35.27,4860053,ABBV
2013-02-14,35.05,36.73,35.01,36.57,7570052,ABBV
2013-02-15,36.93,37.81,36.93,37.58,13296586,ABBV
2013-02-19,37.54,38.33,37.11,38.19,8292612,ABBV
2013-02-20,38.16,39.13,37.61,38.61,8096330,ABBV
2013-02-21,38.49,39.025,38.19,38.78,7261136,ABBV
2013-02-22,38.79,38.85,38.14,38.46,4490835,ABBV
2013-02-25,38.54,38.61,37.37,37.37,4665671,ABBV
2013-02-26,37.6,37.6,36.96,37.09,4462936,ABBV
2013-02-27,36.97,36.98,36.4,36.73,12238463,ABBV
2013-02-28,36.66,37.14,36.5,36.92,10322299,ABBV
2013-03-01,36.8,38.07,36.551,37.81,8929379,ABBV
2013-03-04,37.53,38.25,37.53,38.24,5420719,ABBV
2013-03-05,38.45,38.57,37.29,37.51,6650110,ABBV
2013-03-06,37.56,37.86,37.37,37.74,5489700,ABBV
2013-03-07,37.65,38.01,37.44,37.49,4442420,ABBV
2013-03-08,37.64,37.65,37.16,37.34,4114449,ABBV
2013-03-11,37.25,38.15,37.08,37.67,4614351,ABBV
2013-03-12,37.7,38.3,37.05,37.17,6523931,ABBV
2013-03-13,37.2,37.5899,37.04,37.17,3710541,ABBV
2013-03-14,37.43,37.59,36.86,37.56,9864432,ABBV
2013-03-15,37.44,38.54,37.28,38.5,12208850,ABBV
2013-03-18,38.05,38.49,37.99,38.16,5126112,ABBV
2013-03-19,38.25,38.4,37.84,38.36,5108398,ABBV
2013-03-20,38.5,39.19,38.41,39.06,7073266,ABBV
2013-03-21,38.82,38.97,38.48,38.49,4738057,ABBV
2013-03-22,38.57,38.97,38.3,38.97,3323330,ABBV
2013-03-25,39.12,39.52,38.93,39.32,6064941,ABBV
2013-03-26,39.57,40.52,39.57,40.21,7249496,ABBV
2013-03-27,40.22,40.29,39.66,40.15,4274985,ABBV
2013-03-28,40.26,40.8,39.775,40.78,7264747,ABBV
2013-04-01,39.96,41.14,39.96,41.12,5739918,ABBV
2013-04-02,41.22,41.22,40.52,40.71,5510629,ABBV
2013-04-03,40.75,41.45,40.35,40.57,4122422,ABBV
2013-04-04,40.77,41.78,40.624,41.6,20687523,ABBV
2013-04-05,41.31,41.5,41.09,41.31,14091702,ABBV
2013-04-08,41.27,41.87,41.07,41.77,16449213,ABBV
2013-04-09,41.96,43.56,41.8,42.55,8674526,ABBV
2013-04-10,42.65,43.77,42.5,43.62,7809966,ABBV
2013-04-11,43.42,43.705,43.11,43.2,6494382,ABBV
2013-04-12,42.97,43.29,42.62,43.09,4202267,ABBV
2013-04-15,42.87,43.03,41.41,41.44,7153137,ABBV
2013-04-16,41.67,42.53,41.13,42.45,6999109,ABBV
2013-04-17,42.14,42.43,41.42,42.24,5046271,ABBV
2013-04-18,42.37,42.64,41.89,42.32,5008971,ABBV
2013-04-19,42.51,42.58,42.2,42.39,6493328,ABBV
2013-04-22,43.0,44.83,42.88,44.2,8531644,ABBV
2013-04-23,44.61,46.32,44.4,45.14,9378005,ABBV
2013-04-24,45.14,45.34,43.94,44.32,5541225,ABBV
2013-04-25,44.75,44.7899,43.76,44.24,5236806,ABBV
2013-04-26,44.95,46.31,44.75,45.84,10100905,ABBV
2013-04-29,45.83,45.93,45.05,45.23,6025401,ABBV
2013-04-30,45.05,46.23,45.01,46.05,6792922,ABBV
2013-05-01,45.74,46.09,45.55,45.55,6399553,ABBV
2013-05-02,45.68,45.68,43.86,43.99,9651087,ABBV
2013-05-03,44.31,44.77,43.83,44.68,4643020,ABBV
2013-05-06,44.95,44.95,44.15,44.59,4085682,ABBV
2013-05-07,44.5,45.0,44.4201,44.91,3745563,ABBV
2013-05-08,45.01,45.05,43.39,43.49,6973280,ABBV
2013-05-09,43.34,44.45,43.25,44.24,5047066,ABBV
2013-05-10,44.21,45.01,44.2,45.01,4455864,ABBV
2013-05-13,44.79,44.79,44.17,44.54,3738818,ABBV
2013-05-14,44.09,45.52,44.09,45.35,5761112,ABBV
2013-05-15,45.72,46.93,45.48,46.03,6702565,ABBV
2013-05-16,46.06,46.9,46.01,46.21,4605696,ABBV
2013-05-17,46.03,47.34,45.85,47.17,5245633,ABBV
2013-05-20,47.12,47.14,46.0701,46.26,3537760,ABBV
2013-05-21,46.19,46.96,46.17,46.54,4710269,ABBV
2013-05-22,46.46,48.0,45.85,46.76,5203782,ABBV
2013-05-23,46.12,46.945,46.02,46.59,3283579,ABBV
2013-05-24,46.25,46.48,45.3138,45.44,4511667,ABBV
2013-05-28,45.89,46.04,44.7,45.39,6181991,ABBV
2013-05-29,44.89,45.18,43.79,43.88,6908441,ABBV
2013-05-30,44.07,45.12,44.07,44.55,4852176,ABBV
2013-05-31,44.27,44.69,42.6825,42.69,9308694,ABBV
2013-06-03,42.88,43.58,42.75,43.36,7177530,ABBV
2013-06-04,43.42,44.47,43.38,43.63,4528588,ABBV
2013-06-05,43.49,43.9,42.69,43.04,4801301,ABBV
2013-06-06,43.22,43.57,42.65,43.5,4261250,ABBV
2013-06-07,43.72,44.27,43.5,44.0,5463841,ABBV
2013-06-10,44.33,44.33,43.22,43.92,4703379,ABBV
2013-06-11,43.31,44.05,43.05,43.59,3574781,ABBV
2013-06-12,43.91,44.0,42.72,42.77,3742538,ABBV
2013-06-13,42.42,43.2,40.1,43.15,6096412,ABBV
2013-06-14,42.98,43.5,42.5,43.21,4078472,ABBV
2013-06-17,43.4,43.5,42.68,43.01,3457927,ABBV
2013-06-18,42.97,43.56,42.63,43.54,3645023,ABBV
2013-06-19,43.56,43.83,43.01,43.04,3663528,ABBV
2013-06-20,42.65,42.78,40.91,41.06,7476084,ABBV
2013-06-21,41.66,42.71,41.2,42.62,9823959,ABBV
2013-06-24,42.07,42.395,41.32,41.89,6044515,ABBV
2013-06-25,42.15,42.77,41.61,42.63,4687548,ABBV
2013-06-26,43.1,43.61,43.025,43.38,4733682,ABBV
2013-06-27,43.56,43.98,42.735,43.13,5164221,ABBV
2013-06-28,42.53,42.97,41.32,41.34,10754205,ABBV
2013-07-01,41.4,41.93,41.07,41.61,4589412,ABBV
2013-07-02,41.58,42.569,41.58,42.21,4367392,ABBV
2013-07-03,41.88,42.31,41.61,42.23,2417693,ABBV
2013-07-05,42.45,42.83,42.31,42.72,2743786,ABBV
2013-07-08,42.9,43.69,42.82,43.68,3982360,ABBV
2013-07-09,44.0,44.23,43.25,43.32,3808460,ABBV
2013-07-10,43.36,44.12,43.36,43.91,3092351,ABBV
2013-07-11,43.94,44.11,43.33,43.78,4061419,ABBV
2013-07-12,43.93,45.11,43.8,45.05,5694865,ABBV
2013-07-15,44.95,44.97,44.54,44.62,3266589,ABBV
2013-07-16,44.54,44.77,43.7,43.81,3714496,ABBV
2013-07-17,43.97,44.15,43.74,43.96,3646009,ABBV
2013-07-18,43.96,44.56,43.81,44.32,3043697,ABBV
2013-07-19,44.49,44.91,44.12,44.52,4234866,ABBV
2013-07-22,44.3,45.1,43.8,44.97,3810450,ABBV
2013-07-23,44.92,45.09,44.23,44.31,3535542,ABBV
2013-07-24,44.28,44.37,43.39,43.64,3088091,ABBV
2013-07-25,43.41,44.43,43.35,44.24,4088669,ABBV
2013-07-26,45.01,45.12,44.17,44.79,4491224,ABBV
2013-07-29,44.72,45.45,44.47,45.06,4326780,ABBV
2013-07-30,45.08,45.23,44.2,44.7,3619666,ABBV
2013-07-31,44.84,45.91,44.81,45.48,6024750,ABBV
2013-08-01,45.14,45.9,45.04,45.25,3652564,ABBV
2013-08-02,45.11,45.42,44.81,45.32,3173630,ABBV
2013-08-05,45.05,45.365,44.485,44.71,2953450,ABBV
2013-08-06,44.42,44.99,44.42,44.88,4980644,ABBV
2013-08-07,44.7,44.86,44.22,44.57,3303385,ABBV
2013-08-08,44.86,45.18,44.61,45.06,2892355,ABBV
2013-08-09,44.9,45.0,44.47,44.71,3290789,ABBV
2013-08-12,44.71,45.2,44.39,45.04,3826370,ABBV
2013-08-13,45.12,45.18,44.68,44.93,2791757,ABBV
2013-08-14,44.85,45.23,44.45,44.58,2990693,ABBV
2013-08-15,44.6,44.62,43.1333,43.21,4363128,ABBV
2013-08-16,42.94,43.14,42.42,43.0,6093265,ABBV
2013-08-19,43.01,43.81,42.95,43.37,3314503,ABBV
2013-08-20,43.29,43.48,42.85,42.97,2802980,ABBV
2013-08-21,42.82,42.88,42.25,42.31,4118891,ABBV
2013-08-22,42.4,43.1,42.29,42.92,4077675,ABBV
2013-08-23,43.01,43.5,42.85,43.43,2738398,ABBV
2013-08-26,43.43,43.74,43.19,43.45,3498733,ABBV
2013-08-27,43.02,43.089,42.6,42.63,4482415,ABBV
2013-08-28,42.53,42.808,42.35,42.56,3009678,ABBV
2013-08-29,42.32,43.09,42.26,42.62,2788872,ABBV
2013-08-30,42.76,43.03,42.3,42.61,3170663,ABBV
2013-09-03,43.0,43.28,42.31,42.59,2925579,ABBV
2013-09-04,42.6,43.14,42.59,43.13,3190677,ABBV
2013-09-05,43.03,43.66,43.0,43.51,3355461,ABBV
2013-09-06,43.53,44.35,42.891,43.89,3992200,ABBV
2013-09-09,43.88,44.44,43.5,44.43,3287461,ABBV
2013-09-10,44.58,44.815,44.1,44.78,4282278,ABBV
2013-09-11,44.81,44.97,44.39,44.95,3441689,ABBV
2013-09-12,44.84,44.95,44.5,44.7,2597892,ABBV
2013-09-13,44.71,44.89,44.43,44.89,2273543,ABBV
2013-09-16,45.32,45.95,45.19,45.82,3536757,ABBV
2013-09-17,45.92,47.695,45.86,47.6,7294962,ABBV
2013-09-18,47.19,48.42,46.885,47.92,6689426,ABBV
2013-09-19,48.21,48.23,47.31,47.4,5243313,ABBV
2013-09-20,47.44,48.0,47.33,47.84,10495268,ABBV
2013-09-23,47.56,47.56,46.93,47.1,3179469,ABBV
2013-09-24,46.95,46.95,45.94,45.98,7076602,ABBV
2013-09-25,46.09,46.16,45.02,45.33,4571876,ABBV
2013-09-26,45.33,45.6192,44.81,45.0,5033923,ABBV
2013-09-27,44.87,44.9,44.015,44.33,6617251,ABBV
2013-09-30,44.52,44.95,44.03,44.73,5818407,ABBV
2013-10-01,44.81,45.8975,44.81,45.8,4159654,ABBV
2013-10-02,45.34,45.97,45.12,45.95,4056759,ABBV
2013-10-03,45.6,46.3399,45.1,46.01,7020811,ABBV
2013-10-04,46.18,46.88,46.0,46.8,4141428,ABBV
2013-10-07,46.12,46.98,46.09,46.09,4703814,ABBV
2013-10-08,46.29,46.32,44.39,44.52,7118052,ABBV
2013-10-09,44.72,45.31,44.32,44.81,5113041,ABBV
2013-10-10,45.1,45.68,44.51,45.68,3967512,ABBV
2013-10-11,45.7,45.7,44.955,45.65,2985710,ABBV
2013-10-14,45.21,46.45,45.07,46.33,3377273,ABBV
2013-10-15,46.05,46.38,45.75,46.08,3533322,ABBV
2013-10-16,46.31,47.27,46.203,47.06,4388098,ABBV
2013-10-17,46.95,48.32,46.95,48.17,7242363,ABBV
