date,open,high,low,close,volume,Name
2013-02-08,60.71,61.0,60.51,60.925,1813162,ADP
2013-02-11,60.79,60.98,60.28,60.34,1366376,ADP
2013-02-12,60.24,60.57,60.0,60.36,1342315,ADP
2013-02-13,60.56,60.79,60.05,60.45,1806080,ADP
2013-02-14,60.25,60.78,60.03,60.74,1704835,ADP
2013-02-15,61.26,61.26,60.75,61.22,2192741,ADP
2013-02-19,61.22,61.49,61.09,61.46,1661840,ADP
2013-02-20,61.43,61.76,61.13,61.21,2000710,ADP
2013-02-21,61.16,61.16,60.07,60.27,2305166,ADP
2013-02-22,60.71,61.02,60.34,61.01,1570009,ADP
2013-02-25,61.48,61.74,60.76,60.77,2578118,ADP
2013-02-26,61.12,61.37,60.72,61.08,1954782,ADP
2013-02-27,60.86,61.83,60.66,61.59,1659768,ADP
2013-02-28,61.7,61.715,61.36,61.36,1941943,ADP
2013-03-01,61.29,61.75,60.69,61.65,1703353,ADP
2013-03-04,61.32,61.89,61.1,61.835,1763774,ADP
2013-03-05,62.0,62.7,61.92,62.66,1809912,ADP
2013-03-06,62.54,62.56,62.03,62.3,1552234,ADP
2013-03-07,62.48,63.57,62.3,63.34,3539409,ADP
2013-03-08,63.26,63.71,63.16,63.35,2093716,ADP
2013-03-11,63.38,63.89,63.34,63.87,1798946,ADP
2013-03-12,63.86,63.98,63.75,63.97,1956495,ADP
2013-03-13,64.0,64.21,63.85,64.18,1425390,ADP
2013-03-14,64.2,65.03,64.2,65.02,2501726,ADP
2013-03-15,64.67,65.05,64.37,64.48,3560880,ADP
2013-03-18,63.87,64.469,63.8,64.22,1639710,ADP
2013-03-19,64.31,64.46,63.66,64.31,1573509,ADP
2013-03-20,64.65,64.82,64.16,64.425,1643036,ADP
2013-03-21,63.98,64.39,63.43,63.73,2219952,ADP
2013-03-22,64.0,64.225,63.65,64.08,1580794,ADP
2013-03-25,64.45,64.549,63.56,63.93,1712092,ADP
2013-03-26,64.04,64.8,64.04,64.79,1919106,ADP
2013-03-27,64.4,64.73,64.095,64.66,1511388,ADP
2013-03-28,64.5,65.12,64.33,65.03,2213530,ADP
2013-04-01,64.66,65.18,64.5,64.685,1498854,ADP
2013-04-02,65.15,65.68,64.85,65.28,1929151,ADP
2013-04-03,65.26,65.49,64.56,64.75,1600043,ADP
2013-04-04,64.85,65.06,64.32,64.72,1206445,ADP
2013-04-05,64.1,64.11,63.3,63.77,1689621,ADP
2013-04-08,63.69,64.26,63.54,64.26,1087044,ADP
2013-04-09,64.35,64.72,63.84,64.46,1504992,ADP
2013-04-10,64.44,65.7,64.29,65.66,1392708,ADP
2013-04-11,65.64,66.21,65.47,66.11,1196455,ADP
2013-04-12,66.13,66.13,65.51,65.91,1511889,ADP
2013-04-15,65.8,65.9,64.44,64.46,1821943,ADP
2013-04-16,64.71,65.47,64.52,65.41,1539315,ADP
2013-04-17,64.82,65.42,63.98,65.35,2980239,ADP
2013-04-18,65.83,65.87,64.38,64.63,1454589,ADP
2013-04-19,64.37,65.43,64.37,65.23,2144702,ADP
2013-04-22,65.21,65.68,64.71,65.5,1382805,ADP
2013-04-23,65.94,66.385,65.41,66.36,1268414,ADP
2013-04-24,66.7,66.95,66.445,66.67,1282094,ADP
2013-04-25,66.93,66.98,66.49,66.77,1526278,ADP
2013-04-26,66.76,66.7705,66.2,66.59,862137,ADP
2013-04-29,66.55,67.25,66.4,67.14,949416,ADP
2013-04-30,66.99,67.35,66.87,67.34,1641649,ADP
2013-05-01,67.39,67.39,66.7,66.82,1541116,ADP
2013-05-02,66.83,67.74,66.6,67.39,1679410,ADP
2013-05-03,68.52,69.28,68.02,69.23,1879793,ADP
2013-05-06,69.16,69.16,68.53,68.685,1338980,ADP
2013-05-07,68.82,69.09,68.53,68.65,1955674,ADP
2013-05-08,68.64,68.8,68.41,68.56,2447974,ADP
2013-05-09,68.89,70.25,68.8,70.0,3063607,ADP
2013-05-10,70.12,70.27,69.58,70.03,1652934,ADP
2013-05-13,69.78,70.165,69.74,70.08,1357260,ADP
2013-05-14,70.2,70.91,70.19,70.81,1820895,ADP
2013-05-15,70.85,71.75,70.75,71.74,2246241,ADP
2013-05-16,71.52,71.91,70.88,70.98,1924837,ADP
2013-05-17,71.46,72.0,71.0,71.99,2554995,ADP
2013-05-20,72.0,72.0,70.82,71.05,2152846,ADP
2013-05-21,71.03,71.428,70.81,71.03,1959283,ADP
2013-05-22,71.09,71.18,70.02,70.26,2787174,ADP
2013-05-23,69.91,70.21,69.72,69.93,1938190,ADP
2013-05-24,69.67,69.85,69.29,69.85,1569804,ADP
2013-05-28,70.5,71.055,70.22,70.49,1838212,ADP
2013-05-29,70.0,70.2,69.5,69.77,1488803,ADP
2013-05-30,70.01,70.2,69.81,69.81,1493156,ADP
2013-05-31,69.43,70.16,68.59,68.72,3119138,ADP
2013-06-03,68.66,69.61,68.66,69.55,2161792,ADP
2013-06-04,69.45,69.87,68.62,68.97,1776311,ADP
2013-06-05,68.63,68.9,67.79,67.86,1734960,ADP
2013-06-06,67.68,68.03,67.28,67.94,2296765,ADP
2013-06-07,68.51,69.05,68.1801,68.91,2050579,ADP
2013-06-10,68.96,69.1,68.58,68.78,1139241,ADP
2013-06-11,68.33,68.69,67.98,68.11,1594937,ADP
2013-06-12,68.25,68.34,67.26,67.33,1445356,ADP
2013-06-13,67.33,68.49,67.16,68.28,1547276,ADP
2013-06-14,68.05,68.535,67.85,68.01,1422699,ADP
2013-06-17,68.56,69.085,68.39,68.7,1695701,ADP
2013-06-18,68.67,69.68,68.61,69.6,1280157,ADP
2013-06-19,69.08,69.98,68.92,69.04,1904234,ADP
2013-06-20,68.44,68.659,68.08,68.2,2492858,ADP
2013-06-21,68.68,68.98,67.99,68.68,3197281,ADP
2013-06-24,68.42,68.9284,68.11,68.38,1812223,ADP
2013-06-25,69.16,69.16,68.16,68.84,1316695,ADP
2013-06-26,69.5,69.75,69.15,69.35,1709481,ADP
2013-06-27,69.68,69.92,69.19,69.37,1379800,ADP
2013-06-28,68.91,69.3699,68.5,68.86,3112707,ADP
2013-07-01,68.83,69.92,68.75,69.45,1950173,ADP
2013-07-02,69.79,70.49,69.2,70.08,2355977,ADP
2013-07-03,69.69,70.585,69.56,70.24,1057919,ADP
2013-07-05,70.64,71.17,70.0,70.75,1534636,ADP
