date,open,high,low,close,volume,Name
2013-02-08,38.79,39.0,38.69,38.89,1534449,ADSK
2013-02-11,39.07,39.21,38.63,38.89,1368345,ADSK
2013-02-12,38.91,39.24,38.8,38.91,1907926,ADSK
2013-02-13,38.91,39.17,38.53,38.66,1708966,ADSK
2013-02-14,38.54,38.77,38.22,38.67,2525540,ADSK
2013-02-15,38.65,39.51,38.59,39.0,2910931,ADSK
2013-02-19,39.1,39.12,38.84,38.98,1737923,ADSK
2013-02-20,39.17,39.67,38.7,38.73,6135854,ADSK
2013-02-21,38.58,38.62,37.91,37.97,2851227,ADSK
2013-02-22,38.1,38.365,37.82,37.91,2684958,ADSK
2013-02-25,38.23,38.25,36.52,36.62,7224283,ADSK
2013-02-26,35.92,38.08,35.77,36.79,7572430,ADSK
2013-02-27,36.62,36.98,35.99,36.2,9941394,ADSK
2013-02-28,36.31,36.95,36.2201,36.72,4037788,ADSK
2013-03-01,37.25,37.56,36.55,37.36,11398326,ADSK
2013-03-04,37.34,38.69,37.14,38.65,4082246,ADSK
2013-03-05,38.76,39.55,38.75,39.34,3946539,ADSK
2013-03-06,39.51,39.95,39.44,39.94,3070300,ADSK
2013-03-07,39.87,40.08,39.54,40.01,2432941,ADSK
2013-03-08,40.0,40.3,39.78,40.17,2046024,ADSK
2013-03-11,40.0,40.385,39.98,40.36,1281717,ADSK
2013-03-12,40.37,40.44,39.72,40.3,2069821,ADSK
2013-03-13,40.28,40.565,39.95,40.46,1803819,ADSK
2013-03-14,40.67,40.808,40.46,40.69,1851042,ADSK
2013-03-15,40.51,40.64,40.14,40.14,2128756,ADSK
2013-03-18,39.76,40.31,39.34,40.03,1787165,ADSK
2013-03-19,40.05,40.38,39.32,39.67,3069635,ADSK
2013-03-20,40.53,41.42,40.26,41.16,3845321,ADSK
2013-03-21,40.6,41.265,40.25,41.03,2049129,ADSK
2013-03-22,41.04,41.4,40.78,41.392,1719590,ADSK
2013-03-25,41.0,41.21,40.265,40.38,2239187,ADSK
2013-03-26,40.61,40.99,40.4247,40.6,1553797,ADSK
2013-03-27,40.46,40.96,40.29,40.92,1348496,ADSK
2013-03-28,40.62,41.3,40.43,41.25,1784727,ADSK
2013-04-01,40.09,40.68,39.76,39.93,4038013,ADSK
2013-04-02,39.97,40.65,39.365,39.57,2568753,ADSK
2013-04-03,39.55,39.76,38.44,38.54,2713511,ADSK
2013-04-04,38.53,38.68,38.04,38.48,2636361,ADSK
2013-04-05,37.87,38.4025,37.27,38.35,2559522,ADSK
2013-04-08,38.44,38.44,37.92,38.35,1808259,ADSK
2013-04-09,38.37,38.63,38.03,38.46,1421275,ADSK
2013-04-10,38.47,39.87,38.46,39.645,1988711,ADSK
2013-04-11,39.49,39.52,38.92,39.01,2320860,ADSK
2013-04-12,38.95,38.95,38.01,38.36,2174564,ADSK
2013-04-15,38.11,38.21,36.555,36.71,4335798,ADSK
2013-04-16,37.14,37.8,37.01,37.69,2136575,ADSK
2013-04-17,37.33,37.43,36.38,36.82,2699802,ADSK
