date,open,high,low,close,volume,Name
2013-02-08,153.88,154.77,153.31,154.08,217165,ADS
2013-02-11,154.06,154.35,153.21,153.42,358952,ADS
2013-02-12,153.49,153.64,152.0,152.32,389370,ADS
2013-02-13,152.38,152.93,151.68,152.32,541101,ADS
2013-02-14,152.27,152.618,151.68,152.37,410061,ADS
2013-02-15,152.75,157.33,152.75,155.41,680565,ADS
2013-02-19,155.64,156.63,154.77,154.94,382503,ADS
2013-02-20,154.94,155.95,152.69,152.77,362320,ADS
2013-02-21,152.27,153.25,151.4,152.05,496263,ADS
2013-02-22,152.27,154.52,151.62,154.02,337463,ADS
2013-02-25,154.33,157.65,153.97,155.43,936066,ADS
2013-02-26,155.45,156.108,154.1001,155.64,386419,ADS
2013-02-27,154.65,158.42,154.65,157.75,412133,ADS
2013-02-28,158.06,159.965,157.76,158.69,567452,ADS
2013-03-01,157.79,158.79,156.3,158.58,368305,ADS
2013-03-04,158.42,159.29,157.26,158.93,697240,ADS
2013-03-05,159.28,159.975,158.255,158.96,411208,ADS
2013-03-06,159.62,160.0,158.62,159.61,603033,ADS
2013-03-07,159.36,159.36,157.55,158.48,497230,ADS
2013-03-08,158.98,159.2,157.32,157.85,334107,ADS
2013-03-11,157.7,158.63,157.21,157.82,242283,ADS
2013-03-12,157.67,158.485,156.77,156.81,251240,ADS
2013-03-13,157.1,157.65,156.52,156.89,486078,ADS
2013-03-14,157.41,158.11,157.0,157.83,385272,ADS
2013-03-15,157.74,158.52,157.448,157.84,381792,ADS
2013-03-18,156.9,158.18,156.34,156.57,452059,ADS
2013-03-19,157.08,157.81,155.92,156.74,484031,ADS
2013-03-20,157.5,157.99,155.89,156.2,602450,ADS
2013-03-21,155.35,157.22,154.76,156.5,388100,ADS
2013-03-22,157.03,157.87,156.46,157.46,349643,ADS
2013-03-25,157.91,159.41,157.22,157.62,279828,ADS
2013-03-26,158.18,159.065,156.45,157.94,474781,ADS
2013-03-27,157.13,160.25,156.81,159.71,366231,ADS
2013-03-28,159.71,162.07,159.23,161.89,364128,ADS
2013-04-01,161.54,163.25,159.8,160.37,339807,ADS
2013-04-02,160.36,161.11,159.305,159.84,217326,ADS
2013-04-03,159.6,160.11,157.41,158.41,389685,ADS
2013-04-04,158.4,159.32,157.43,158.02,345504,ADS
2013-04-05,156.94,157.04,154.64,155.35,568745,ADS
2013-04-08,155.42,155.97,153.76,155.05,453919,ADS
2013-04-09,155.91,155.91,152.8,154.32,733941,ADS
2013-04-10,154.75,157.205,154.73,156.22,517734,ADS
2013-04-11,156.5,158.68,156.15,158.51,436235,ADS
2013-04-12,158.12,158.49,156.8,157.87,364488,ADS
2013-04-15,156.2,157.46,155.58,155.93,717906,ADS
2013-04-16,156.22,157.7,155.21,157.64,734888,ADS
2013-04-17,157.16,158.24,156.37,157.1,770082,ADS
2013-04-18,158.25,161.5,157.27,158.34,1104501,ADS
2013-04-19,158.78,160.43,157.73,160.07,728148,ADS
2013-04-22,160.32,165.77,159.85,164.96,930873,ADS
2013-04-23,165.91,167.51,165.495,166.42,709267,ADS
2013-04-24,166.38,167.0,165.29,165.85,414023,ADS
2013-04-25,166.29,167.25,165.46,166.19,288441,ADS
2013-04-26,166.07,167.34,165.7,166.89,298673,ADS
2013-04-29,167.13,169.12,167.07,168.44,363437,ADS
