date,open,high,low,close,volume,Name
2013-02-08,49.83,50.95,49.495,50.6,3844057,AET
2013-02-11,50.52,50.65,49.93,50.38,4020642,AET
2013-02-12,50.96,51.1,49.99,50.15,3122364,AET
2013-02-13,50.26,50.42,49.4,49.51,3604101,AET
2013-02-14,49.33,49.98,48.99,49.56,2194849,AET
2013-02-15,49.57,49.84,49.14,49.2,2747560,AET
2013-02-19,47.57,48.86,46.9,48.71,6720464,AET
2013-02-20,48.75,48.82,48.045,48.24,3187050,AET
2013-02-21,48.26,48.59,47.36,47.76,3346636,AET
2013-02-22,47.87,48.11,47.37,47.58,2698382,AET
2013-02-25,47.74,48.14,46.65,46.7,4789056,AET
2013-02-26,46.83,46.94,46.045,46.56,3791605,AET
2013-02-27,46.54,47.73,46.46,47.53,3041941,AET
2013-02-28,47.52,47.59,46.91,47.19,3415947,AET
2013-03-01,47.02,47.59,46.53,47.5,2388135,AET
2013-03-04,47.24,47.62,46.86,47.14,3312284,AET
2013-03-05,47.24,47.95,47.22,47.85,1999069,AET
2013-03-06,48.15,49.04,48.11,49.03,3865298,AET
2013-03-07,48.89,49.71,48.89,49.59,3163097,AET
2013-03-08,49.71,50.69,49.66,50.52,3382555,AET
2013-03-11,50.29,50.41,49.48,49.9,4162951,AET
2013-03-12,49.81,51.24,49.6,51.24,3873953,AET
2013-03-13,51.18,51.46,50.79,51.46,2663695,AET
2013-03-14,51.6,51.73,50.91,51.23,2724598,AET
2013-03-15,51.01,51.28,50.82,50.87,4399858,AET
2013-03-18,50.52,50.97,50.24,50.57,3063762,AET
2013-03-19,50.75,50.91,50.38,50.52,2878795,AET
2013-03-20,50.77,50.83,49.98,50.03,2582826,AET
2013-03-21,49.77,50.39,49.68,50.24,3525900,AET
2013-03-22,50.39,50.47,49.78,49.91,2083613,AET
2013-03-25,50.04,50.56,49.9,50.05,2826359,AET
2013-03-26,50.29,51.155,50.16,50.6,2541640,AET
2013-03-27,50.45,50.92,50.39,50.87,1884019,AET
2013-03-28,50.89,51.19,50.48,51.13,2108159,AET
2013-04-01,51.03,54.05,50.4,52.38,5603718,AET
2013-04-02,55.02,55.37,54.06,54.3,9969090,AET
2013-04-03,54.34,55.62,53.93,54.43,5520095,AET
2013-04-04,54.45,55.081,54.25,54.6,3142491,AET
2013-04-05,54.27,54.47,53.63,54.0,2292568,AET
2013-04-08,53.96,54.59,53.36,54.49,2294679,AET
2013-04-09,54.51,55.89,54.37,55.53,3798788,AET
2013-04-10,55.76,56.47,55.56,56.09,2519458,AET
2013-04-11,56.14,56.72,55.82,56.7,2562019,AET
2013-04-12,56.6,56.925,56.46,56.78,2955858,AET
2013-04-15,56.54,56.76,55.23,55.26,2357275,AET
2013-04-16,55.89,56.69,55.14,56.64,3675936,AET
2013-04-17,56.33,56.35,54.61,55.29,3591890,AET
2013-04-18,54.01,55.1799,53.51,54.18,4555994,AET
2013-04-19,54.58,55.96,54.5,55.87,2931316,AET
2013-04-22,55.88,55.88,54.88,55.02,1933001,AET
2013-04-23,55.3,55.811,54.82,55.55,2098200,AET
2013-04-24,57.19,57.36,56.4,56.99,3488050,AET
2013-04-25,57.22,57.39,56.24,56.88,3731211,AET
2013-04-26,56.83,57.41,56.65,57.01,2119746,AET
2013-04-29,57.35,57.54,56.05,56.16,3753268,AET
2013-04-30,57.1,58.64,56.57,57.44,5666942,AET
2013-05-01,57.53,59.38,57.45,58.25,3910620,AET
2013-05-02,58.48,59.1799,58.13,58.35,2825507,AET
2013-05-03,58.54,59.09,58.29,59.0,2401865,AET
2013-05-06,58.92,59.47,58.52,58.69,2972675,AET
2013-05-07,58.85,59.08,58.3,59.07,3905123,AET
2013-05-08,59.16,59.5,58.81,59.35,3361512,AET
2013-05-09,59.14,59.505,58.54,59.49,2331582,AET
2013-05-10,59.43,59.71,58.88,59.1,3443263,AET
2013-05-13,59.11,59.58,59.0,59.25,3436481,AET
2013-05-14,59.13,59.68,59.13,59.39,2964316,AET
2013-05-15,59.42,60.26,59.11,59.83,3232747,AET
2013-05-16,59.62,60.0291,59.515,59.53,2296425,AET
2013-05-17,59.56,60.15,59.51,60.04,2612865,AET
2013-05-20,59.85,59.928,58.97,59.14,2110503,AET
2013-05-21,59.35,60.5499,59.26,60.27,2506855,AET
2013-05-22,60.25,61.19,59.3132,59.53,2332455,AET
2013-05-23,59.1,60.555,59.03,60.39,2139311,AET
2013-05-24,60.08,60.1899,58.8801,59.31,2374760,AET
2013-05-28,59.81,61.21,59.81,60.89,2754023,AET
2013-05-29,60.64,60.95,60.215,60.29,2175142,AET
2013-05-30,60.46,62.76,60.3,62.45,3850232,AET
2013-05-31,62.23,62.23,60.34,60.38,4057684,AET
2013-06-03,60.46,60.66,59.26,59.68,3138048,AET
2013-06-04,59.63,60.33,58.9,59.36,2818269,AET
2013-06-05,59.21,59.43,57.72,58.22,2830602,AET
2013-06-06,58.42,59.37,57.96,59.37,3287442,AET
2013-06-07,59.54,60.29,59.43,60.27,2418493,AET
2013-06-10,60.28,61.1088,60.21,60.97,2197540,AET
2013-06-11,60.36,62.0578,60.17,61.78,3767833,AET
2013-06-12,62.0,62.24,61.36,61.37,3081551,AET
2013-06-13,61.3,61.89,60.75,61.59,2631253,AET
2013-06-14,61.51,61.92,60.35,60.53,3076898,AET
2013-06-17,61.03,61.975,60.86,61.49,2592564,AET
2013-06-18,61.48,62.74,61.32,62.65,2942102,AET
2013-06-19,62.71,62.9,61.82,61.82,2935355,AET
2013-06-20,61.54,61.91,60.68,60.82,2721887,AET
2013-06-21,61.3,62.25,61.1,61.79,4114673,AET
2013-06-24,61.5,62.79,61.35,62.16,5216615,AET
2013-06-25,62.59,62.895,61.85,62.16,2831165,AET
2013-06-26,62.75,63.47,62.03,62.96,3156972,AET
2013-06-27,63.21,63.82,63.081,63.59,2518192,AET
2013-06-28,63.65,64.13,63.3,63.54,2762655,AET
2013-07-01,64.18,64.22,63.29,63.35,2285878,AET
2013-07-02,63.3,63.33,62.155,62.43,3650052,AET
2013-07-03,62.11,62.51,61.585,62.13,1826290,AET
2013-07-05,62.61,62.89,61.95,62.58,1650734,AET
2013-07-08,63.0,63.5,62.82,63.26,2403500,AET
2013-07-09,63.55,63.93,63.23,63.29,2143318,AET
2013-07-10,63.44,64.39,63.34,64.05,2867208,AET
2013-07-11,64.79,65.1725,63.98,64.04,3583397,AET
2013-07-12,64.23,64.54,62.95,63.5,2991541,AET
2013-07-15,63.46,63.67,63.2124,63.52,2085138,AET
2013-07-16,63.51,63.65,62.12,62.52,3333550,AET
2013-07-17,62.77,62.9,61.52,61.54,3372980,AET
2013-07-18,62.26,64.34,62.26,64.23,4667355,AET
2013-07-19,63.96,64.7,63.43,64.49,2751312,AET
2013-07-22,64.49,65.61,64.32,65.04,2687932,AET
2013-07-23,65.51,65.599,65.15,65.35,1919725,AET
2013-07-24,65.76,66.0,64.74,65.61,2995679,AET
2013-07-25,65.27,65.86,64.605,65.58,2161403,AET
2013-07-26,65.4,65.54,64.26,64.7,2386763,AET
2013-07-29,64.52,64.86,63.32,63.4,4615980,AET
2013-07-30,63.58,64.67,62.14,62.95,6845669,AET
2013-07-31,62.98,64.84,62.98,64.17,3507720,AET
2013-08-01,64.38,64.78,63.67,63.73,2357721,AET
2013-08-02,63.52,63.93,63.24,63.56,2045208,AET
2013-08-05,63.55,64.5,63.38,64.25,1424799,AET
2013-08-06,64.13,64.24,63.19,64.05,2210851,AET
2013-08-07,63.95,64.13,63.05,63.16,2063169,AET
2013-08-08,63.39,64.41,63.17,64.2,2541326,AET
2013-08-09,64.35,64.5,63.66,63.87,1395546,AET
2013-08-12,63.45,63.6,63.16,63.44,1292998,AET
2013-08-13,63.4,64.1,62.9907,64.05,2291922,AET
2013-08-14,63.88,63.98,63.13,63.24,1867793,AET
2013-08-15,62.69,63.25,61.93,61.96,1739536,AET
2013-08-16,61.73,62.66,61.57,62.15,1600581,AET
2013-08-19,62.23,62.87,62.1,62.2,1629237,AET
2013-08-20,62.09,63.41,62.0201,63.05,2333797,AET
2013-08-21,63.05,63.385,62.68,62.81,2006128,AET
2013-08-22,62.99,63.75,62.89,63.7,1949432,AET
2013-08-23,63.91,64.79,63.72,64.71,2538861,AET
2013-08-26,64.71,64.93,63.855,63.86,1812166,AET
2013-08-27,63.4,63.7,63.01,63.06,2437693,AET
2013-08-28,62.88,63.27,62.681,62.79,2072647,AET
2013-08-29,62.63,63.96,62.46,63.76,1748893,AET
2013-08-30,63.91,64.45,63.22,63.39,1860430,AET
2013-09-03,63.83,64.35,63.41,63.77,1807126,AET
2013-09-04,63.83,64.535,63.54,64.31,2212687,AET
2013-09-05,64.21,65.5,64.126,65.26,2486930,AET
2013-09-06,65.35,65.63,64.2201,65.11,2355024,AET
2013-09-09,65.01,65.24,64.4675,65.05,2130206,AET
2013-09-10,65.39,65.45,64.57,65.38,2512093,AET
2013-09-11,65.54,65.81,65.22,65.76,2066356,AET
2013-09-12,65.84,66.25,65.63,65.7,1469449,AET
2013-09-13,66.62,68.49,66.38,67.47,4428029,AET
2013-09-16,68.32,69.195,68.2201,68.71,2705342,AET
2013-09-17,68.62,68.86,67.32,67.75,4496783,AET
2013-09-18,67.52,67.57,66.0,66.6,5621142,AET
2013-09-19,66.6,67.4,64.6,64.84,5500547,AET
2013-09-20,64.93,65.72,64.64,64.73,4672455,AET
2013-09-23,64.65,65.08,63.4,64.1,3208728,AET
2013-09-24,64.17,65.39,64.05,64.81,3008336,AET
2013-09-25,64.94,65.08,64.5,64.92,2401339,AET
2013-09-26,64.76,65.6,64.5,64.78,1155390,AET
2013-09-27,64.68,64.78,63.9602,64.48,1625031,AET
