date,open,high,low,close,volume,Name
2013-02-08,61.78,63.02,61.78,62.66,422698,ALB
2013-02-11,62.68,62.94,62.396,62.76,428135,ALB
2013-02-12,62.45,62.94,62.27,62.7,376294,ALB
2013-02-13,64.05,66.83,64.05,66.15,1949005,ALB
2013-02-14,65.85,65.99,65.2803,65.41,585215,ALB
2013-02-15,65.37,65.86,65.005,65.42,378709,ALB
2013-02-19,65.65,66.81,65.65,65.84,731004,ALB
2013-02-20,65.7,65.93,64.05,64.06,462893,ALB
2013-02-21,63.76,64.28,63.26,64.13,694751,ALB
2013-02-22,64.48,65.25,64.39,65.0,551208,ALB
2013-02-25,65.31,65.31,63.4,63.4,665187,ALB
2013-02-26,63.68,64.16,63.5,63.86,515534,ALB
2013-02-27,63.86,65.52,63.7901,65.22,244878,ALB
2013-02-28,65.21,65.72,65.08,65.08,350352,ALB
2013-03-01,64.41,64.65,63.38,64.29,718647,ALB
2013-03-04,64.1,64.48,63.32,63.59,704438,ALB
2013-03-05,64.01,64.76,63.46,63.56,1122305,ALB
2013-03-06,63.95,65.25,63.78,64.63,921401,ALB
2013-03-07,64.74,65.18,64.03,64.21,545882,ALB
2013-03-08,64.68,65.64,64.32,65.61,648898,ALB
2013-03-11,65.4,65.48,64.81,65.42,414934,ALB
2013-03-12,65.47,65.82,64.89,64.9,439199,ALB
2013-03-13,64.89,65.27,64.452,64.98,388519,ALB
2013-03-14,65.19,65.6,64.74,65.56,271626,ALB
2013-03-15,65.33,65.34,63.1,63.21,1321264,ALB
2013-03-18,62.35,62.8,62.08,62.44,1054495,ALB
2013-03-19,62.56,62.8,61.99,62.61,597358,ALB
2013-03-20,62.96,63.174,62.03,62.2,526110,ALB
2013-03-21,61.75,62.47,60.96,62.19,921928,ALB
2013-03-22,62.39,62.44,60.98,61.17,676910,ALB
2013-03-25,61.34,62.15,60.74,61.82,736999,ALB
2013-03-26,61.99,62.45,61.77,62.01,471656,ALB
2013-03-27,61.53,62.33,61.26,61.75,659656,ALB
2013-03-28,61.64,62.68,61.33,62.52,433746,ALB
2013-04-01,62.22,62.54,60.92,61.3,746831,ALB
2013-04-02,61.5,61.53,60.93,61.16,581202,ALB
2013-04-03,61.2,61.68,59.78,60.26,597836,ALB
2013-04-04,60.37,61.29,60.37,61.05,387344,ALB
2013-04-05,60.12,62.03,60.07,61.77,770088,ALB
2013-04-08,61.61,62.64,61.05,62.19,632790,ALB
2013-04-09,62.41,62.69,61.27,61.92,676151,ALB
2013-04-10,61.08,62.28,60.45,62.24,1076133,ALB
2013-04-11,62.34,63.27,61.86,61.93,937873,ALB
2013-04-12,61.9,62.0586,60.49,60.87,731143,ALB
2013-04-15,60.36,60.5,58.91,59.24,861128,ALB
2013-04-16,59.95,61.64,59.38,61.61,720546,ALB
2013-04-17,60.81,61.0899,60.02,60.24,950293,ALB
2013-04-18,58.96,58.99,57.01,57.75,2153156,ALB
2013-04-19,57.07,58.97,56.64,58.82,1527402,ALB
2013-04-22,58.79,59.48,57.94,58.99,772837,ALB
2013-04-23,59.25,59.66,58.81,59.12,843072,ALB
2013-04-24,59.35,59.91,58.79,59.0,1667862,ALB
2013-04-25,59.48,59.57,59.07,59.28,1122909,ALB
2013-04-26,59.4,59.62,58.485,58.86,610636,ALB
2013-04-29,58.98,59.67,58.74,59.47,845253,ALB
2013-04-30,59.65,61.25,59.25,61.25,1170529,ALB
2013-05-01,60.82,61.24,59.05,59.13,648361,ALB
2013-05-02,59.42,60.0,59.03,59.88,465633,ALB
2013-05-03,60.54,61.945,60.54,61.27,466003,ALB
2013-05-06,61.22,61.69,60.95,61.55,563832,ALB
2013-05-07,61.56,62.45,61.45,62.18,686447,ALB
2013-05-08,62.0,63.53,61.91,63.53,806793,ALB
2013-05-09,63.38,63.9,62.93,63.37,534306,ALB
2013-05-10,63.56,64.21,63.38,64.15,600781,ALB
2013-05-13,64.15,64.206,63.63,63.97,710222,ALB
2013-05-14,63.86,65.0,63.86,64.86,557012,ALB
2013-05-15,64.69,65.84,64.68,65.83,635821,ALB
2013-05-16,65.68,66.67,65.65,66.27,837121,ALB
2013-05-17,66.61,67.65,66.48,67.34,716299,ALB
2013-05-20,67.21,67.21,66.0,66.32,888480,ALB
2013-05-21,66.46,67.452,66.46,66.94,431369,ALB
2013-05-22,66.94,67.9584,66.02,66.43,442883,ALB
2013-05-23,65.61,66.62,65.01,66.61,600659,ALB
2013-05-24,66.22,66.6,66.08,66.44,439457,ALB
2013-05-28,67.32,67.77,67.19,67.75,781694,ALB
2013-05-29,67.08,67.79,66.92,67.49,448737,ALB
2013-05-30,67.54,69.03,67.45,69.0,1031448,ALB
2013-05-31,68.32,68.55,66.83,66.92,994025,ALB
2013-06-03,66.9,67.07,65.16,65.74,933731,ALB
2013-06-04,65.79,66.64,65.35,65.85,345723,ALB
2013-06-05,65.63,65.91,64.64,64.79,450615,ALB
2013-06-06,64.8,65.39,63.41,64.37,1116628,ALB
2013-06-07,64.4,64.53,63.33,64.14,673884,ALB
2013-06-10,64.32,64.51,63.03,63.5,943122,ALB
2013-06-11,62.75,63.4,61.96,62.84,583397,ALB
2013-06-12,63.11,63.3,61.83,61.88,593664,ALB
2013-06-13,61.67,63.56,61.52,63.36,398929,ALB
2013-06-14,63.39,63.69,62.9,62.98,409538,ALB
2013-06-17,63.59,63.84,62.9,63.3,524067,ALB
2013-06-18,63.22,64.41,63.22,63.99,267017,ALB
2013-06-19,63.98,64.09,63.36,63.4,368673,ALB
2013-06-20,62.43,63.07,61.96,62.25,852510,ALB
2013-06-21,62.62,62.715,61.47,61.97,977026,ALB
2013-06-24,61.3,61.75,60.25,61.23,802772,ALB
2013-06-25,61.93,62.47,61.75,62.21,600502,ALB
2013-06-26,62.94,63.18,62.18,62.66,468190,ALB
2013-06-27,63.02,63.3,62.55,62.75,430277,ALB
2013-06-28,62.57,63.79,61.71,62.29,996820,ALB
2013-07-01,62.59,63.59,62.58,63.03,780678,ALB
2013-07-02,63.08,63.69,62.7,63.04,540525,ALB
2013-07-03,62.73,63.24,62.55,62.85,272702,ALB
2013-07-05,63.42,63.91,63.08,63.67,338752,ALB
2013-07-08,63.7,64.28,63.07,63.37,531476,ALB
2013-07-09,63.82,65.15,63.72,64.69,466814,ALB
2013-07-10,64.78,65.6,64.66,65.21,518587,ALB
2013-07-11,66.33,66.39,64.77,65.06,599557,ALB
2013-07-12,65.03,65.07,64.19,64.8,654520,ALB
2013-07-15,64.8,65.265,64.34,64.64,587453,ALB
2013-07-16,64.87,65.24,63.89,64.7,644979,ALB
2013-07-17,64.96,65.5,64.7,64.79,689339,ALB
2013-07-18,63.07,63.27,60.16,62.77,2510259,ALB
2013-07-19,62.46,63.02,61.79,62.82,1029001,ALB
2013-07-22,62.72,62.92,62.09,62.56,1004652,ALB
2013-07-23,62.84,63.11,62.47,62.81,603775,ALB
2013-07-24,62.98,63.145,62.3,62.64,797947,ALB
2013-07-25,62.56,62.95,62.2,62.48,1171441,ALB
2013-07-26,62.2,62.42,61.48,61.74,1034676,ALB
2013-07-29,61.43,62.01,61.25,61.75,946173,ALB
2013-07-30,61.8,62.904,61.53,61.88,1418191,ALB
2013-07-31,61.89,62.99,61.84,62.01,1172013,ALB
2013-08-01,62.49,62.8899,62.31,62.38,1297069,ALB
2013-08-02,62.3,62.68,61.88,62.32,1831208,ALB
2013-08-05,62.33,63.36,62.13,63.26,1351941,ALB
2013-08-06,63.0,63.27,62.74,63.14,1008211,ALB
2013-08-07,62.81,63.33,62.57,63.12,1039798,ALB
2013-08-08,63.36,63.6,62.9,63.17,696014,ALB
2013-08-09,62.99,63.49,62.73,62.91,589019,ALB
2013-08-12,62.7,63.64,62.7,63.4,438365,ALB
2013-08-13,63.3,63.51,62.87,63.27,415921,ALB
2013-08-14,63.25,63.64,62.65,62.92,556682,ALB
2013-08-15,62.43,62.67,62.0,62.46,788246,ALB
2013-08-16,62.25,62.46,61.87,62.3,494257,ALB
2013-08-19,62.1,62.63,61.96,62.4,485440,ALB
2013-08-20,62.33,63.04,62.21,62.42,339899,ALB
2013-08-21,62.29,62.75,61.91,62.03,311829,ALB
2013-08-22,62.24,62.98,62.025,62.64,253871,ALB
2013-08-23,62.93,63.08,62.38,62.84,486761,ALB
2013-08-26,62.87,63.61,62.82,62.92,587716,ALB
2013-08-27,62.35,63.04,62.0,62.59,636849,ALB
2013-08-28,62.5,62.87,62.37,62.55,467677,ALB
2013-08-29,62.4,63.23,62.37,62.76,407463,ALB
2013-08-30,62.75,63.2,62.07,62.37,578129,ALB
2013-09-03,63.05,63.28,61.7,62.13,1022273,ALB
2013-09-04,62.08,62.8,61.77,62.26,793526,ALB
2013-09-05,62.41,62.97,62.09,62.34,560329,ALB
2013-09-06,62.58,62.885,61.61,61.96,674490,ALB
2013-09-09,62.19,62.71,61.92,62.2,488279,ALB
2013-09-10,62.74,64.1,62.69,64.09,1054851,ALB
2013-09-11,63.92,64.01,62.75,63.53,602621,ALB
2013-09-12,63.38,63.6192,62.65,63.18,678267,ALB
