date,open,high,low,close,volume,Name
2013-11-18,49.75,50.0,47.49,48.475,587184,ALLE
2013-11-19,48.99,49.0,45.3,45.8,1682041,ALLE
2013-11-20,45.98,46.0,43.99,44.65,1106908,ALLE
2013-11-21,44.5,45.15,43.04,43.79,730214,ALLE
2013-11-22,43.9,44.1,43.25,43.99,947693,ALLE
2013-11-25,44.28,45.62,43.7,44.18,727314,ALLE
2013-11-26,45.0,45.0,43.04,43.2,873717,ALLE
2013-11-27,43.55,43.55,42.5,43.24,1153343,ALLE
2013-11-29,42.75,43.85,42.75,43.24,949924,ALLE
2013-12-02,43.9,44.74,41.52,43.14,5130708,ALLE
2013-12-03,42.8,44.9,42.7,42.9,3239252,ALLE
2013-12-04,42.43,42.605,41.6501,41.83,2777748,ALLE
2013-12-05,42.28,42.28,40.63,41.05,3380502,ALLE
2013-12-06,40.75,41.06,40.64,40.7,4662340,ALLE
2013-12-09,40.7,41.27,40.24,41.18,3073953,ALLE
2013-12-10,41.07,42.84,41.04,42.56,3289354,ALLE
2013-12-11,42.32,43.015,42.0,42.46,3367890,ALLE
2013-12-12,42.01,43.1,42.0,42.97,1770490,ALLE
2013-12-13,42.92,43.8,42.92,43.25,683791,ALLE
2013-12-16,43.01,43.99,42.11,43.69,1953878,ALLE
2013-12-17,43.43,44.0,43.16,43.75,1396938,ALLE
2013-12-18,43.65,44.5,43.1,44.27,1225195,ALLE
2013-12-19,43.96,44.5,43.82,44.45,593011,ALLE
2013-12-20,44.3,44.45,43.91,44.26,2878557,ALLE
2013-12-23,44.17,44.85,43.55,44.65,773646,ALLE
2013-12-24,44.76,45.02,44.25,44.58,304706,ALLE
2013-12-26,44.86,45.01,44.44,44.7,513177,ALLE
2013-12-27,44.77,44.97,44.09,44.64,393256,ALLE
2013-12-30,44.45,44.88,44.0,44.12,381478,ALLE
2013-12-31,44.23,44.5,43.76,44.19,874161,ALLE
2014-01-02,44.08,44.18,43.27,43.65,992872,ALLE
2014-01-03,43.57,44.32,43.17,43.96,378396,ALLE
2014-01-06,43.97,43.98,43.37,43.68,597834,ALLE
2014-01-07,42.16,43.98,42.16,43.87,1371252,ALLE
2014-01-08,44.02,44.36,43.4,43.88,1407140,ALLE
2014-01-09,43.89,44.25,43.84,44.13,1093527,ALLE
2014-01-10,44.17,46.08,44.02,45.73,2008621,ALLE
2014-01-13,45.7,47.44,45.2,47.04,2278501,ALLE
2014-01-14,47.16,47.894,46.91,47.8,2338221,ALLE
2014-01-15,47.97,49.19,47.26,47.5,1732951,ALLE
2014-01-16,47.28,47.68,47.04,47.4,1178666,ALLE
2014-01-17,47.52,48.24,47.0,48.0,1572137,ALLE
2014-01-21,49.38,49.38,47.94,48.17,1570433,ALLE
2014-01-22,48.11,49.16,48.08,48.51,682208,ALLE
2014-01-23,48.68,48.68,47.58,47.72,867599,ALLE
2014-01-24,47.62,47.71,45.8275,46.84,1417529,ALLE
2014-01-27,45.2,48.0,45.2,46.6,717829,ALLE
2014-01-28,46.77,47.88,46.77,47.73,721686,ALLE
2014-01-29,47.35,48.48,47.1301,47.78,800899,ALLE
2014-01-30,47.91,49.63,47.83,49.42,1247052,ALLE
2014-01-31,49.25,49.96,49.03,49.35,2011057,ALLE
2014-02-03,49.35,49.94,47.2,47.44,1184839,ALLE
2014-02-04,47.44,48.48,47.3164,48.05,891295,ALLE
2014-02-05,47.84,48.65,47.152,47.6,823106,ALLE
2014-02-06,47.5,49.27,47.5,49.24,1168384,ALLE
2014-02-07,49.33,50.2699,49.33,49.94,1837821,ALLE
2014-02-10,49.99,50.12,49.45,49.84,763357,ALLE
2014-02-11,49.73,50.41,49.33,49.89,1447661,ALLE
2014-02-12,49.92,51.0,49.7275,50.0,1405279,ALLE
2014-02-13,49.98,50.435,49.59,50.12,694986,ALLE
2014-02-14,50.15,50.25,49.59,49.63,891951,ALLE
2014-02-18,49.72,50.86,49.72,50.11,2748462,ALLE
2014-02-19,49.84,50.34,49.03,49.16,1076067,ALLE
2014-02-20,50.23,52.78,49.1,51.52,2623555,ALLE
2014-02-21,51.75,52.79,51.75,52.37,2198698,ALLE
2014-02-24,52.36,53.11,52.36,52.86,669573,ALLE
2014-02-25,53.0,54.58,52.9301,54.56,1117594,ALLE
2014-02-26,54.83,55.78,54.18,54.66,1880124,ALLE
2014-02-27,54.69,55.53,54.21,55.35,1139863,ALLE
2014-02-28,55.09,55.32,53.82,54.35,1198525,ALLE
2014-03-03,54.67,54.93,53.08,53.49,659634,ALLE
2014-03-04,53.71,55.0,53.48,54.0,1189909,ALLE
2014-03-05,53.9,54.312,53.38,53.95,394973,ALLE
2014-03-06,53.99,54.1,53.04,53.19,617421,ALLE
2014-03-07,53.44,53.78,52.59,53.39,776145,ALLE
2014-03-10,53.2,53.67,52.24,53.29,1155349,ALLE
2014-03-11,53.49,54.8,53.45,54.5,874684,ALLE
2014-03-12,54.42,54.74,52.77,54.28,1255458,ALLE
2014-03-13,54.46,54.71,53.131,53.6,946442,ALLE
2014-03-14,53.62,53.95,53.25,53.3,1071799,ALLE
2014-03-17,53.44,53.825,52.93,52.96,1011703,ALLE
2014-03-18,52.945,53.4875,52.71,53.28,881360,ALLE
2014-03-19,53.18,54.0,52.92,53.28,645041,ALLE
2014-03-20,53.41,54.22,52.82,54.17,628145,ALLE
2014-03-21,54.38,54.81,53.74,53.81,1356839,ALLE
2014-03-24,54.0,54.23,53.04,53.47,895623,ALLE
2014-03-25,53.7,53.9,53.165,53.21,717185,ALLE
2014-03-26,53.32,53.5,52.01,52.04,691127,ALLE
2014-03-27,51.87,51.97,51.19,51.45,496639,ALLE
2014-03-28,51.62,52.435,51.54,52.16,346059,ALLE
2014-03-31,52.38,52.58,51.91,52.17,334553,ALLE
2014-04-01,52.44,54.055,52.29,53.92,593593,ALLE
2014-04-02,53.92,54.81,53.59,54.67,500465,ALLE
2014-04-03,54.77,55.0,54.58,54.95,427889,ALLE
2014-04-04,54.82,55.35,53.0,53.73,491961,ALLE
2014-04-07,53.71,54.0,51.53,51.62,1054236,ALLE
2014-04-08,51.34,51.78,50.81,51.41,1213699,ALLE
2014-04-09,51.46,51.59,51.23,51.5,1212781,ALLE
2014-04-10,51.52,51.79,50.12,50.68,1488526,ALLE
2014-04-11,50.53,50.9,49.86,50.01,1184552,ALLE
2014-04-14,50.28,50.61,49.18,49.77,605892,ALLE
2014-04-15,49.88,50.43,48.93,49.96,419347,ALLE
2014-04-16,50.16,50.718,49.84,50.23,254039,ALLE
2014-04-17,50.07,50.54,49.43,50.15,427218,ALLE
2014-04-21,49.98,50.65,49.6,50.63,225730,ALLE
2014-04-22,50.71,51.15,50.36,51.0,422506,ALLE
2014-04-23,50.89,50.96,49.976,50.4,507787,ALLE
2014-04-24,50.62,50.78,49.715,50.24,659763,ALLE
