date,open,high,low,close,volume,Name
2013-02-08,85.61,87.165,85.39,86.77,7888920,AMGN
2013-02-11,85.48,85.98,84.59,84.92,7538344,AMGN
2013-02-12,85.0,85.23,84.28,84.54,4655977,AMGN
2013-02-13,84.96,85.13,84.45,84.94,7943132,AMGN
2013-02-14,86.0,86.398,84.609,84.72,6189005,AMGN
2013-02-15,84.24,84.7199,83.32,83.61,5622197,AMGN
2013-02-19,83.51,84.27,82.92,84.131,5944265,AMGN
2013-02-20,84.37,85.34,84.24,84.65,6388286,AMGN
2013-02-21,84.59,85.32,84.15,85.13,4094108,AMGN
2013-02-22,85.07,86.88,85.07,86.82,4920383,AMGN
2013-02-25,89.3,91.25,89.3,89.55,11421682,AMGN
2013-02-26,89.63,90.21,88.66,89.47,4805195,AMGN
2013-02-27,89.15,91.3,89.06,91.03,3549796,AMGN
2013-02-28,91.0,93.42,90.87,91.55,6528557,AMGN
2013-03-01,91.16,92.76,90.51,92.58,4317624,AMGN
2013-03-04,92.11,92.75,91.5,92.73,3186645,AMGN
2013-03-05,93.11,93.76,92.56,93.44,3570108,AMGN
2013-03-06,93.82,94.29,93.09,93.27,3716274,AMGN
2013-03-07,93.43,93.88,92.82,92.95,2980007,AMGN
2013-03-08,93.4293,93.88,92.85,93.0,3084803,AMGN
2013-03-11,92.66,93.36,90.87,91.44,5699566,AMGN
2013-03-12,91.58,91.81,91.04,91.75,4997477,AMGN
2013-03-13,91.6,91.79,90.67,91.54,2606015,AMGN
2013-03-14,91.6528,92.29,91.15,92.18,3436357,AMGN
2013-03-15,91.84,92.16,91.26,91.808,10172673,AMGN
2013-03-18,91.27,91.36,90.35,90.39,3605821,AMGN
2013-03-19,90.68,92.52,90.54,92.4,4010846,AMGN
2013-03-20,92.92,94.89,92.875,94.05,4157701,AMGN
2013-03-21,93.65,94.31,93.47,94.31,3673992,AMGN
2013-03-22,94.69,96.6,94.1,96.56,4710502,AMGN
2013-03-25,96.92,97.52,96.01,96.81,5042037,AMGN
2013-03-26,97.29,98.76,97.07,98.66,3126921,AMGN
2013-03-27,98.06,100.32,98.02,100.15,3478212,AMGN
2013-03-28,99.84,102.62,99.79,102.51,5506774,AMGN
2013-04-01,102.6199,103.9,101.7,102.31,4099647,AMGN
2013-04-02,102.39,106.61,102.39,106.4,4969690,AMGN
2013-04-03,106.68,106.79,103.93,104.81,5306631,AMGN
2013-04-04,105.19,106.54,104.74,105.88,2850248,AMGN
2013-04-05,104.21,104.62,103.47,104.04,4015816,AMGN
2013-04-08,104.09,105.14,103.02,105.1,3133256,AMGN
2013-04-09,105.48,105.48,103.78,104.3,2881547,AMGN
2013-04-10,104.53,108.27,104.5,108.255,4641436,AMGN
2013-04-11,108.57,109.36,107.62,108.22,4272994,AMGN
2013-04-12,108.5,112.1,108.17,111.57,5726412,AMGN
2013-04-15,111.31,111.44,108.2,108.48,4458620,AMGN
2013-04-16,109.32,110.94,108.71,110.85,4627615,AMGN
2013-04-17,109.94,110.39,107.65,109.44,3546530,AMGN
2013-04-18,109.63,109.9,106.3,107.46,3889290,AMGN
2013-04-19,107.17,111.61,107.17,111.38,6032412,AMGN
2013-04-22,112.01,113.97,110.83,113.42,4305513,AMGN
2013-04-23,113.71,114.95,112.0,112.76,4792970,AMGN
2013-04-24,106.67,108.37,104.021,104.93,7490437,AMGN
2013-04-25,105.49,109.24,105.21,108.66,8119938,AMGN
2013-04-26,109.04,109.69,106.9,108.38,2933600,AMGN
2013-04-29,108.15,108.38,106.332,106.67,4293874,AMGN
2013-04-30,106.66,106.66,103.85,104.21,5477146,AMGN
2013-05-01,105.05,106.88,104.31,104.54,3744303,AMGN
2013-05-02,105.15,106.915,104.4,105.59,2919770,AMGN
2013-05-03,106.7,107.575,106.14,106.48,2620497,AMGN
2013-05-06,106.08,106.13,104.675,104.83,2624076,AMGN
2013-05-07,105.0,105.56,104.1801,104.46,2957055,AMGN
2013-05-08,104.64,105.51,104.22,105.07,3224191,AMGN
2013-05-09,104.81,105.755,104.13,104.56,2460747,AMGN
2013-05-10,104.56,106.75,104.4,106.72,2905095,AMGN
2013-05-13,106.18,107.5934,105.62,106.89,2545648,AMGN
2013-05-14,106.52,109.56,106.52,107.94,3756335,AMGN
2013-05-15,108.08,109.16,106.45,107.42,2561889,AMGN
