date,open,high,low,close,volume,Name
2013-02-08,146.84,147.165,145.73,146.45,292176,AMG
2013-02-11,146.42,146.66,145.3,145.57,282470,AMG
2013-02-12,145.89,146.42,145.43,145.75,386947,AMG
2013-02-13,145.99,146.52,145.144,146.47,337315,AMG
2013-02-14,146.15,147.586,145.69,147.34,254905,AMG
2013-02-15,147.29,147.72,146.16,146.51,245691,AMG
2013-02-19,147.0,149.37,146.9,148.62,435917,AMG
2013-02-20,148.28,148.45,145.23,145.42,309353,AMG
2013-02-21,144.81,144.95,142.62,143.13,359586,AMG
2013-02-22,144.3,146.39,144.26,146.37,313111,AMG
2013-02-25,147.26,147.9,142.46,142.46,441359,AMG
2013-02-26,143.4,144.284,141.9,143.56,362452,AMG
2013-02-27,143.24,146.47,142.84,146.04,240146,AMG
2013-02-28,146.05,147.82,145.54,146.23,314694,AMG
2013-03-01,145.16,146.77,142.96,146.02,411088,AMG
2013-03-04,145.7,147.03,144.63,147.03,324047,AMG
2013-03-05,148.26,149.59,147.7,149.15,277823,AMG
2013-03-06,149.81,150.41,149.01,150.01,170328,AMG
2013-03-07,149.99,150.35,149.02,150.19,268681,AMG
2013-03-08,151.0,151.43,149.5018,151.17,363845,AMG
2013-03-11,151.07,151.07,149.75,150.79,513274,AMG
2013-03-12,151.54,151.55,149.405,150.04,305389,AMG
2013-03-13,152.0,154.66,150.1,154.49,582976,AMG
2013-03-14,154.88,156.095,154.12,155.18,661828,AMG
2013-03-15,155.09,155.22,153.58,154.41,918121,AMG
2013-03-18,152.94,154.77,151.74,153.74,346173,AMG
2013-03-19,153.89,154.78,150.68,151.86,318448,AMG
2013-03-20,152.92,154.21,152.15,153.95,242462,AMG
2013-03-21,152.31,152.75,150.05,150.44,250402,AMG
2013-03-22,151.33,151.67,150.35,151.49,206668,AMG
2013-03-25,152.28,152.86,150.524,151.54,342243,AMG
2013-03-26,152.21,152.3099,150.81,151.56,298818,AMG
2013-03-27,150.72,151.63,149.67,151.33,242836,AMG
2013-03-28,151.8,153.9,151.1101,153.57,247497,AMG
2013-04-01,153.41,154.48,151.48,152.05,275358,AMG
2013-04-02,152.89,153.13,151.76,152.38,180759,AMG
2013-04-03,154.57,154.66,149.04,149.59,416769,AMG
2013-04-04,150.51,151.406,148.64,149.6,334555,AMG
2013-04-05,147.71,147.94,145.76,147.74,444010,AMG
2013-04-08,147.6,150.49,147.6,150.34,313308,AMG
2013-04-09,150.88,151.91,149.74,151.01,230568,AMG
2013-04-10,151.44,154.38,151.26,153.97,266169,AMG
2013-04-11,153.91,156.24,153.64,155.51,277193,AMG
2013-04-12,155.06,155.2,153.43,153.76,283767,AMG
2013-04-15,152.99,153.49,147.7001,148.02,232537,AMG
2013-04-16,149.94,149.97,146.95,148.04,556843,AMG
2013-04-17,146.64,146.69,143.574,145.71,412180,AMG
2013-04-18,145.77,146.204,143.23,144.06,315969,AMG
2013-04-19,144.75,146.29,142.67,145.81,419036,AMG
2013-04-22,146.22,147.02,144.04,146.79,161120,AMG
2013-04-23,147.35,150.22,147.12,149.03,326763,AMG
2013-04-24,149.31,149.46,147.14,147.55,267586,AMG
2013-04-25,148.99,151.29,148.13,150.91,459573,AMG
2013-04-26,151.2,152.75,148.85,149.47,349167,AMG
2013-04-29,149.86,152.38,149.5,151.81,280479,AMG
2013-04-30,152.18,157.02,152.18,155.68,639429,AMG
2013-05-01,154.95,155.44,150.64,150.72,368365,AMG
2013-05-02,151.31,153.13,150.01,152.39,252535,AMG
2013-05-03,154.6,155.78,153.36,153.61,407810,AMG
2013-05-06,153.93,156.56,153.62,155.81,291566,AMG
2013-05-07,155.99,156.73,155.129,156.73,243054,AMG
2013-05-08,156.24,156.75,155.58,156.74,280485,AMG
2013-05-09,156.48,158.92,156.38,157.28,445667,AMG
2013-05-10,157.44,160.69,157.44,160.49,346106,AMG
2013-05-13,159.84,162.86,159.55,161.04,262789,AMG
2013-05-14,161.09,165.539,161.03,164.71,482881,AMG
2013-05-15,164.28,165.47,163.41,165.38,365694,AMG
2013-05-16,165.2,167.03,163.64,164.13,449457,AMG
2013-05-17,165.71,167.97,164.7801,167.22,328106,AMG
2013-05-20,167.08,168.53,166.33,167.24,252735,AMG
2013-05-21,167.56,168.3195,166.5,167.21,212163,AMG
2013-05-22,167.7,168.92,162.76,164.02,308280,AMG
2013-05-23,161.68,162.94,159.875,162.62,403220,AMG
2013-05-24,161.54,162.04,160.23,161.98,251581,AMG
2013-05-28,164.09,166.76,164.09,166.49,423655,AMG
2013-05-29,166.0,166.58,163.42,164.89,324522,AMG
2013-05-30,165.02,167.88,164.83,167.3,264610,AMG
2013-05-31,166.52,167.47,163.96,164.0,269149,AMG
2013-06-03,163.85,165.0675,160.861,163.06,342941,AMG
2013-06-04,163.55,166.175,162.25,163.73,353472,AMG
2013-06-05,163.26,163.52,159.53,159.59,358504,AMG
2013-06-06,158.82,163.08,158.82,163.07,269865,AMG
2013-06-07,164.13,166.67,163.05,166.18,251302,AMG
2013-06-10,166.56,168.85,165.08,168.5,381652,AMG
2013-06-11,165.35,168.44,165.06,165.91,365465,AMG
2013-06-12,167.66,168.04,163.98,164.88,673219,AMG
2013-06-13,164.49,170.4,163.23,169.85,408932,AMG
2013-06-14,169.28,169.72,165.01,165.85,439866,AMG
2013-06-17,167.46,170.0,167.36,168.72,295792,AMG
2013-06-18,169.31,171.585,169.005,170.04,389792,AMG
2013-06-19,169.73,171.26,167.92,168.01,361903,AMG
2013-06-20,165.69,165.75,160.91,161.47,386201,AMG
2013-06-21,162.55,163.82,158.91,159.74,562178,AMG
2013-06-24,157.87,157.87,151.23,154.76,792168,AMG
2013-06-25,156.88,157.48,154.27,156.58,400300,AMG
2013-06-26,158.83,159.235,156.87,157.68,428177,AMG
2013-06-27,158.67,161.13,158.66,161.0,453527,AMG
2013-06-28,160.05,163.94,158.41,163.94,999885,AMG
2013-07-01,163.5,163.75,161.66,162.14,713012,AMG
2013-07-02,162.46,165.98,161.23,163.09,613043,AMG
2013-07-03,162.08,162.99,156.61,161.99,189590,AMG
2013-07-05,165.52,165.77,163.26,165.49,330718,AMG
2013-07-08,165.94,167.56,165.14,165.52,253927,AMG
2013-07-09,166.76,167.21,164.91,166.41,385334,AMG
2013-07-10,166.03,166.88,164.72,165.74,275802,AMG
2013-07-11,168.09,171.04,167.55,170.95,504678,AMG
2013-07-12,170.92,172.77,170.71,172.46,317124,AMG
2013-07-15,173.51,175.77,172.28,175.57,513061,AMG
2013-07-16,175.59,176.5,173.99,174.11,726156,AMG
2013-07-17,174.72,176.37,173.66,174.98,520950,AMG
2013-07-18,175.23,176.77,174.62,176.48,397772,AMG
2013-07-19,175.24,176.78,174.45,175.22,424463,AMG
2013-07-22,175.48,176.3199,175.02,176.14,288457,AMG
2013-07-23,176.96,177.115,174.73,175.28,307361,AMG
2013-07-24,175.73,176.79,173.06,174.29,279456,AMG
2013-07-25,173.3,174.865,172.81,173.93,401407,AMG
2013-07-26,172.91,174.74,172.31,174.42,294391,AMG
2013-07-29,174.29,175.16,171.658,172.57,340447,AMG
2013-07-30,177.5,179.74,176.68,179.06,639332,AMG
2013-07-31,178.5,182.0,178.5,180.35,826917,AMG
2013-08-01,182.5,186.22,181.5701,185.58,956614,AMG
2013-08-02,185.29,185.86,183.45,185.74,381989,AMG
2013-08-05,185.6,186.72,184.88,186.0,334937,AMG
2013-08-06,185.79,186.4,183.87,184.22,442405,AMG
2013-08-07,183.82,183.82,180.12,180.2,438744,AMG
2013-08-08,181.66,182.6375,179.92,180.32,350486,AMG
2013-08-09,180.19,181.02,178.65,178.93,299442,AMG
2013-08-12,178.06,179.81,176.6775,178.08,266466,AMG
2013-08-13,177.76,181.7,177.62,180.88,491294,AMG
2013-08-14,180.69,182.0,180.02,180.12,257958,AMG
2013-08-15,178.94,178.94,174.7273,176.05,252721,AMG
2013-08-16,176.08,178.014,174.95,175.75,240934,AMG
2013-08-19,175.26,177.53,174.78,174.78,384396,AMG
2013-08-20,175.19,178.33,174.93,177.11,359134,AMG
2013-08-21,175.66,177.05,174.7,175.23,338260,AMG
2013-08-22,175.59,178.17,175.52,177.85,365627,AMG
2013-08-23,179.03,180.23,176.8,178.91,308340,AMG
2013-08-26,179.55,180.55,177.13,177.55,267652,AMG
2013-08-27,179.0,179.0,172.56,172.64,408364,AMG
2013-08-28,172.56,175.053,171.814,174.21,330172,AMG
2013-08-29,173.75,176.43,173.75,174.67,468402,AMG
2013-08-30,174.76,175.85,173.311,174.32,409692,AMG
2013-09-03,177.29,178.82,173.86,175.66,639505,AMG
2013-09-04,175.69,179.17,175.45,178.1,410164,AMG
2013-09-05,178.56,179.83,177.53,177.82,237029,AMG
2013-09-06,178.19,179.666,175.19,176.83,453075,AMG
2013-09-09,177.93,180.32,177.93,179.98,524609,AMG
2013-09-10,180.37,183.4,180.37,183.31,402050,AMG
