date,open,high,low,close,volume,Name
2013-02-08,75.76,77.08,75.55,77.06,1941208,AMT
2013-02-11,76.81,76.88,76.25,76.38,1257077,AMT
2013-02-12,76.37,76.57,75.45,75.59,2150649,AMT
2013-02-13,75.64,75.7,73.59,74.0,4743922,AMT
2013-02-14,73.67,73.92,72.56,73.48,4252525,AMT
2013-02-15,73.67,75.26,73.56,75.18,3591375,AMT
2013-02-19,75.37,75.5,73.98,74.62,2622316,AMT
2013-02-20,74.53,74.74,73.92,73.95,2180067,AMT
2013-02-21,73.74,74.12,73.56,73.78,2294790,AMT
2013-02-22,74.2,74.99,74.15,74.52,2463945,AMT
2013-02-25,74.81,75.69,73.66,73.66,3727591,AMT
2013-02-26,73.9,75.78,73.8301,75.51,4046149,AMT
2013-02-27,75.51,78.09,75.265,77.4,4956898,AMT
2013-02-28,77.24,78.31,77.12,77.6,3004683,AMT
2013-03-01,77.54,78.19,77.27,78.13,2246594,AMT
2013-03-04,77.99,78.9,77.8,78.86,1470847,AMT
2013-03-05,79.32,79.35,78.32,78.65,1715033,AMT
2013-03-06,78.79,78.99,77.36,77.5,2074018,AMT
2013-03-07,77.33,77.88,77.17,77.56,1817627,AMT
2013-03-08,77.9,78.07,76.825,77.14,2024476,AMT
2013-03-11,77.13,77.47,76.59,76.9,1712503,AMT
2013-03-12,76.84,77.11,75.79,76.03,2455711,AMT
2013-03-13,75.98,76.34,75.76,76.12,2723082,AMT
2013-03-14,76.25,76.84,76.21,76.41,1643718,AMT
2013-03-15,76.05,76.13,75.26,75.56,2912670,AMT
2013-03-18,75.07,75.5,74.89,75.05,2249701,AMT
2013-03-19,75.23,75.32,73.91,74.53,2729162,AMT
2013-03-20,74.64,75.37,74.5515,75.32,1772519,AMT
2013-03-21,75.21,77.02,75.2,76.29,3337173,AMT
2013-03-22,76.51,77.07,76.29,76.73,1779178,AMT
2013-03-25,76.89,77.08,76.08,76.26,1847781,AMT
2013-03-26,76.62,76.96,75.81,75.89,2460207,AMT
2013-03-27,75.47,77.135,75.47,76.86,1741371,AMT
2013-03-28,76.91,77.21,76.2832,76.92,2010005,AMT
2013-04-01,76.97,77.75,76.6,77.75,1723385,AMT
2013-04-02,77.88,78.8699,77.68,78.73,2103893,AMT
2013-04-03,78.68,78.76,77.49,78.02,2315294,AMT
2013-04-04,78.16,78.87,78.16,78.58,1989111,AMT
2013-04-05,77.77,78.13,77.25,77.82,2206275,AMT
2013-04-08,77.77,79.0,77.68,79.0,1628822,AMT
2013-04-09,79.08,79.44,78.43,79.29,2319212,AMT
2013-04-10,79.48,79.98,79.39,79.87,1855706,AMT
2013-04-11,79.91,80.73,79.82,80.32,1396480,AMT
2013-04-12,80.24,80.68,79.87,80.67,1617210,AMT
2013-04-15,80.63,80.9299,79.43,79.43,1919623,AMT
2013-04-16,79.81,80.62,79.11,80.59,1598754,AMT
2013-04-17,79.98,80.2,79.5101,79.78,1716748,AMT
2013-04-18,79.93,80.1,79.08,80.06,2235191,AMT
2013-04-19,80.34,81.41,80.1201,81.05,1877355,AMT
2013-04-22,81.39,81.58,80.57,81.02,1504679,AMT
2013-04-23,81.25,82.429,80.791,81.9,1591385,AMT
2013-04-24,82.0,82.06,80.85,81.0,1880152,AMT
2013-04-25,81.36,84.29,81.14,83.84,3041108,AMT
2013-04-26,83.8,83.99,82.55,82.97,1527809,AMT
2013-04-29,83.04,83.15,82.47,83.04,1266867,AMT
2013-04-30,83.42,84.02,82.83,83.99,2182803,AMT
2013-05-01,78.54,84.21,78.54,83.93,2367935,AMT
2013-05-02,84.25,84.98,83.25,83.85,1659822,AMT
2013-05-03,84.57,84.67,83.23,83.56,1670572,AMT
2013-05-06,83.59,83.88,82.76,83.08,1446005,AMT
2013-05-07,83.4,83.71,83.15,83.55,1550064,AMT
2013-05-08,83.5,85.15,83.25,84.63,2353456,AMT
2013-05-09,84.7,84.77,83.33,83.56,1692750,AMT
2013-05-10,83.88,84.74,82.9,83.1,2017795,AMT
2013-05-13,83.15,83.88,82.92,82.96,1884237,AMT
2013-05-14,83.08,83.98,83.08,83.73,2200788,AMT
2013-05-15,83.62,84.39,83.42,84.33,1294925,AMT
2013-05-16,84.04,84.42,83.08,83.21,1416375,AMT
2013-05-17,83.13,84.48,83.13,84.45,1826107,AMT
2013-05-20,84.46,84.71,83.72,83.92,1686646,AMT
2013-05-21,84.37,85.26,84.11,84.64,1656992,AMT
2013-05-22,84.63,84.98,81.67,82.17,2275410,AMT
2013-05-23,81.71,81.9,80.48,81.58,2722466,AMT
2013-05-24,81.16,81.85,80.89,81.72,1487762,AMT
2013-05-28,82.57,83.08,81.16,81.5,2175541,AMT
2013-05-29,80.92,80.94,78.9,79.44,3547771,AMT
2013-05-30,79.48,80.15,78.67,78.77,2850116,AMT
2013-05-31,78.75,79.43,77.84,77.84,3327360,AMT
2013-06-03,77.83,78.59,77.2,77.42,3734307,AMT
2013-06-04,77.31,77.97,76.57,76.63,3311351,AMT
2013-06-05,76.64,77.3,75.77,75.87,3769634,AMT
2013-06-06,75.85,78.52,75.79,78.48,3230370,AMT
2013-06-07,78.79,79.05,77.27,78.77,3873893,AMT
2013-06-10,78.79,78.86,76.4,76.45,3986232,AMT
2013-06-11,75.98,76.41,75.21,75.82,3498897,AMT
2013-06-12,76.2,76.35,74.43,74.6,3772862,AMT
2013-06-13,74.43,76.625,74.33,76.48,3549201,AMT
2013-06-14,76.19,78.3452,76.19,77.33,3522397,AMT
2013-06-17,77.72,77.88,76.42,76.92,2870864,AMT
2013-06-18,77.11,78.14,77.025,77.29,2258896,AMT
2013-06-19,77.32,77.47,74.41,74.44,3936492,AMT
2013-06-20,73.77,73.77,70.24,70.44,7500482,AMT
2013-06-21,70.92,72.665,70.63,71.99,6099693,AMT
2013-06-24,71.24,72.28,69.54,71.09,4436726,AMT
2013-06-25,71.46,73.32,71.31,72.9,4109272,AMT
2013-06-26,73.49,74.08,73.43,73.83,3401259,AMT
2013-06-27,74.08,75.55,73.91,74.23,3647347,AMT
2013-06-28,74.2,74.22,72.91,73.17,5955552,AMT
2013-07-01,73.43,73.96,71.83,72.01,5241640,AMT
2013-07-02,71.76,72.806,71.76,72.17,3486820,AMT
2013-07-03,71.89,72.51,70.92,72.38,3458496,AMT
2013-07-05,72.77,72.77,70.02,71.67,4240370,AMT
2013-07-08,72.0,72.66,71.67,72.05,3486189,AMT
2013-07-09,72.72,72.91,72.08,72.86,3772577,AMT
2013-07-10,72.61,75.86,72.57,75.74,6959587,AMT
2013-07-11,76.94,78.33,76.61,77.23,5572336,AMT
2013-07-12,77.83,78.315,76.91,77.84,2875204,AMT
2013-07-15,76.45,77.72,75.4,76.16,5077123,AMT
2013-07-16,75.95,76.44,74.345,74.71,5975036,AMT
2013-07-17,73.02,74.7,71.5,73.87,26260762,AMT
2013-07-18,74.5,75.32,74.07,74.44,6359024,AMT
2013-07-19,74.55,75.16,74.34,75.13,4092261,AMT
2013-07-22,75.15,75.26,73.6,74.32,3882699,AMT
2013-07-23,74.63,75.01,74.1,74.75,3198114,AMT
2013-07-24,74.78,74.7999,73.59,73.94,3459530,AMT
2013-07-25,73.34,73.51,72.085,72.31,4467064,AMT
2013-07-26,72.2,72.65,72.03,72.58,2580108,AMT
2013-07-29,72.57,73.04,72.23,72.42,2659153,AMT
2013-07-30,72.82,73.45,72.47,72.67,2931703,AMT
2013-07-31,72.79,73.16,69.74,70.79,7677362,AMT
2013-08-01,71.4,72.51,71.01,71.28,4097916,AMT
2013-08-02,71.21,72.19,70.49,70.5,3664720,AMT
2013-08-05,70.22,71.0,70.22,70.94,2671658,AMT
2013-08-06,70.72,71.28,70.06,70.27,3766321,AMT
2013-08-07,70.3,70.468,69.0,69.09,3922802,AMT
2013-08-08,69.01,69.4,68.035,68.99,4713229,AMT
2013-08-09,68.77,70.51,68.77,70.16,4988140,AMT
2013-08-12,70.1,70.18,69.35,69.66,3506864,AMT
2013-08-13,70.1,70.19,68.97,69.28,3529676,AMT
2013-08-14,69.44,69.93,69.03,69.7,3299123,AMT
2013-08-15,68.89,69.595,68.56,69.48,3105484,AMT
2013-08-16,69.16,69.58,68.55,68.58,2716190,AMT
2013-08-19,68.57,69.39,68.34,68.36,2361315,AMT
2013-08-20,68.4,69.99,68.39,69.38,2481511,AMT
2013-08-21,69.19,69.78,68.81,69.03,2083428,AMT
2013-08-22,68.71,69.01,67.89,68.88,2141153,AMT
2013-08-23,69.04,70.1,68.81,70.06,2527596,AMT
2013-08-26,70.02,70.49,69.7,69.94,2323633,AMT
2013-08-27,69.2,70.24,69.04,70.06,3524341,AMT
2013-08-28,69.95,70.325,69.08,69.09,3179606,AMT
2013-08-29,69.05,69.93,68.84,69.69,1964020,AMT
2013-08-30,69.76,69.94,69.32,69.49,2464633,AMT
2013-09-03,69.82,70.3,68.79,69.23,2446761,AMT
2013-09-04,69.23,69.49,68.92,69.24,3287245,AMT
