date,open,high,low,close,volume,Name
2013-02-08,56.01,56.56,55.88,56.53,2069181,AON
2013-02-11,56.47,56.72,56.2,56.66,1656442,AON
2013-02-12,56.62,56.82,56.335,56.7,2702710,AON
2013-02-13,56.76,57.44,56.5,57.28,1382960,AON
2013-02-14,57.18,57.53,57.05,57.3,1593327,AON
2013-02-15,57.29,57.38,56.82,57.0,2939778,AON
2013-02-19,57.1,57.92,57.1,57.91,2695460,AON
2013-02-20,58.02,59.44,58.01,59.02,3457707,AON
2013-02-21,58.81,59.5,58.6,59.42,3668478,AON
2013-02-22,59.6,60.85,59.39,60.79,3669035,AON
2013-02-25,60.9,61.48,59.45,59.45,2869498,AON
2013-02-26,60.32,60.55,59.2,60.05,3195318,AON
2013-02-27,60.2,60.945,59.97,60.83,2828277,AON
2013-02-28,60.93,61.87,60.7102,61.09,3514598,AON
2013-03-01,60.8,61.05,60.3,60.89,2513651,AON
2013-03-04,60.05,60.66,59.86,60.49,2692613,AON
2013-03-05,60.82,61.03,60.705,60.75,1982785,AON
2013-03-06,61.0,61.0,60.28,60.34,1880696,AON
2013-03-07,60.35,60.69,60.06,60.29,4026119,AON
2013-03-08,60.62,60.62,59.985,60.21,6544137,AON
2013-03-11,60.2,60.23,59.88,60.1,3254552,AON
2013-03-12,60.05,60.1,59.56,59.64,2566586,AON
2013-03-13,59.83,59.83,59.48,59.7,2180243,AON
2013-03-14,59.73,60.08,59.705,60.03,2860557,AON
2013-03-15,59.67,60.03,59.55,59.9,2836482,AON
2013-03-18,59.21,59.47,58.815,58.96,4084151,AON
2013-03-19,59.0,59.22,58.66,59.01,3063738,AON
2013-03-20,59.05,59.79,58.97,59.71,4131909,AON
2013-03-21,59.48,59.89,59.38,59.45,2504373,AON
2013-03-22,59.64,60.31,59.56,60.27,1702533,AON
2013-03-25,60.46,61.22,60.19,61.16,2515891,AON
2013-03-26,61.41,61.84,61.1,61.82,1884920,AON
2013-03-27,61.36,61.635,61.05,61.5,1332181,AON
2013-03-28,61.6,61.82,61.4,61.5,1741420,AON
2013-04-01,61.35,61.84,60.97,61.1,1280891,AON
2013-04-02,61.39,61.76,61.235,61.44,984004,AON
2013-04-03,61.48,61.65,60.43,60.45,1565193,AON
2013-04-04,60.65,61.08,60.39,60.67,1038054,AON
2013-04-05,59.9,60.31,59.65,60.27,1270138,AON
2013-04-08,59.94,60.63,59.94,60.61,774360,AON
2013-04-09,60.71,61.07,60.33,60.9,1264638,AON
2013-04-10,61.07,61.55,60.835,61.53,1203441,AON
2013-04-11,61.59,63.07,61.59,62.66,2257703,AON
2013-04-12,62.44,62.66,62.13,62.62,847282,AON
2013-04-15,62.56,62.75,61.49,61.49,1630819,AON
2013-04-16,61.78,62.16,61.5,62.11,1501204,AON
2013-04-17,61.64,61.87,60.61,60.67,2470859,AON
2013-04-18,60.56,60.86,59.5,59.67,1940062,AON
2013-04-19,59.83,60.205,59.64,60.15,1910111,AON
2013-04-22,60.26,60.81,60.16,60.6,1503697,AON
2013-04-23,60.69,61.16,60.6,61.13,1463634,AON
2013-04-24,61.31,61.715,61.09,61.16,915498,AON
2013-04-25,61.23,61.56,61.16,61.29,1495521,AON
2013-04-26,61.11,61.11,58.48,59.0,3263841,AON
2013-04-29,59.07,59.9,58.84,59.67,1493874,AON
2013-04-30,59.61,60.39,59.45,60.35,2343535,AON
2013-05-01,60.38,61.61,60.21,61.3,2670930,AON
2013-05-02,61.38,62.5,61.06,62.44,2213369,AON
2013-05-03,62.94,63.4,62.71,63.31,1865097,AON
2013-05-06,63.15,63.53,63.06,63.5,2423294,AON
2013-05-07,63.5,63.87,63.33,63.71,1953175,AON
2013-05-08,63.77,64.95,63.671,64.8,2516174,AON
2013-05-09,64.76,64.99,64.37,64.47,2296140,AON
