date,open,high,low,close,volume,Name
2013-02-08,87.55,88.49,87.33,88.35,782915,APD
2013-02-11,88.47,88.74,88.11,88.42,744599,APD
2013-02-12,88.43,88.88,87.79,88.83,929048,APD
2013-02-13,88.94,89.05,88.35,88.78,856548,APD
2013-02-14,88.49,88.8664,88.03,88.69,660901,APD
2013-02-15,88.71,88.8,87.96,88.23,800357,APD
2013-02-19,88.63,89.13,88.18,88.7,558836,APD
2013-02-20,88.64,88.8,87.55,87.61,1276047,APD
2013-02-21,87.21,87.75,85.0,85.67,2003368,APD
2013-02-22,86.02,86.1,85.32,86.09,1368480,APD
2013-02-25,86.49,86.51,84.22,84.23,997593,APD
2013-02-26,84.59,84.93,84.15,84.34,1235923,APD
2013-02-27,84.43,85.94,84.27,85.56,1039911,APD
2013-02-28,85.48,86.83,85.44,86.34,1195693,APD
2013-03-01,85.85,86.65,85.32,86.34,739891,APD
2013-03-04,86.12,86.53,85.57,86.34,577902,APD
2013-03-05,86.75,87.72,86.625,86.9,866919,APD
2013-03-06,87.2,87.28,86.62,86.71,649540,APD
2013-03-07,86.87,87.94,86.68,87.85,904129,APD
2013-03-08,88.27,89.23,88.11,89.1,1205892,APD
2013-03-11,88.84,89.03,88.16,88.83,888563,APD
2013-03-12,88.83,89.31,88.44,88.91,702889,APD
2013-03-13,88.91,89.12,88.08,89.0,681643,APD
2013-03-14,89.2,89.9,89.0001,89.9,658433,APD
2013-03-15,89.56,90.34,89.344,90.17,1904607,APD
2013-03-18,89.23,89.28,88.5,88.92,942677,APD
2013-03-19,88.95,89.28,87.66,88.21,839568,APD
2013-03-20,88.59,89.09,88.33,88.84,889497,APD
2013-03-21,86.85,87.9499,86.58,87.1,1396827,APD
2013-03-22,87.77,88.04,87.23,87.52,836860,APD
2013-03-25,87.99,88.14,87.15,87.47,977859,APD
2013-03-26,87.79,88.07,87.445,87.92,749202,APD
2013-03-27,86.54,86.55,85.65,86.28,983321,APD
2013-03-28,86.3,87.27,86.06,87.12,1339829,APD
2013-04-01,86.69,86.83,85.24,85.51,1277346,APD
2013-04-02,85.96,86.07,84.7,85.01,966267,APD
2013-04-03,85.14,85.2,84.04,84.28,1105572,APD
2013-04-04,84.45,85.4,84.32,85.37,781010,APD
2013-04-05,84.58,85.18,84.06,85.13,665810,APD
2013-04-08,85.2,85.68,84.71,85.65,498664,APD
2013-04-09,85.97,86.4,85.38,86.0,667549,APD
2013-04-10,86.2,86.43,85.86,86.34,1278097,APD
2013-04-11,86.43,87.32,86.228,87.24,1231832,APD
2013-04-12,87.02,87.2,86.43,86.93,1084435,APD
2013-04-15,86.45,86.63,84.85,84.86,2014162,APD
2013-04-16,85.16,86.58,85.16,86.5,931172,APD
2013-04-17,86.06,86.46,85.48,85.78,1220134,APD
2013-04-18,86.08,86.375,84.66,84.85,1060595,APD
2013-04-19,85.08,85.92,85.08,85.71,1613468,APD
2013-04-22,85.71,86.51,85.64,86.29,837340,APD
2013-04-23,85.72,86.4,84.53,85.18,2129386,APD
2013-04-24,85.41,86.18,85.31,85.8,1706210,APD
