date,open,high,low,close,volume,Name
2013-02-08,72.72,72.72,72.2,72.62,447039,ARE
2013-02-11,72.74,73.18,72.66,72.73,352801,ARE
2013-02-12,73.38,73.495,72.79,72.79,409155,ARE
2013-02-13,72.8,73.1,72.29,72.36,429597,ARE
2013-02-14,72.31,72.36,71.42,71.56,762407,ARE
2013-02-15,71.68,72.01,70.97,71.62,964380,ARE
2013-02-19,71.6,72.15,71.58,71.92,460009,ARE
2013-02-20,72.01,72.48,71.4,71.86,1001007,ARE
2013-02-21,71.75,71.85,71.2,71.43,523086,ARE
2013-02-22,71.87,72.26,71.75,72.12,270236,ARE
2013-02-25,72.19,72.235,70.55,70.58,363643,ARE
2013-02-26,70.97,71.155,70.07,70.88,297370,ARE
2013-02-27,70.8,71.52,70.5,71.24,262815,ARE
2013-02-28,71.03,71.6,71.02,71.14,476029,ARE
2013-03-01,70.85,71.37,70.2,71.01,429874,ARE
2013-03-04,70.89,71.9448,70.68,71.85,406274,ARE
2013-03-05,71.69,72.52,71.69,72.52,234257,ARE
2013-03-06,72.84,72.84,71.78,72.29,261233,ARE
2013-03-07,72.41,72.72,71.975,72.25,295801,ARE
2013-03-08,72.48,72.53,71.79,71.97,306834,ARE
2013-03-11,71.9,72.31,71.52,72.29,307848,ARE
2013-03-12,72.06,72.21,71.61,72.03,313389,ARE
2013-03-13,72.15,72.3,71.76,71.82,274591,ARE
2013-03-14,71.72,72.31,71.45,71.51,370035,ARE
2013-03-15,71.71,71.72,71.27,71.41,709748,ARE
2013-03-18,71.09,71.5,70.81,70.91,602031,ARE
2013-03-19,71.05,71.24,70.49,71.0,251065,ARE
2013-03-20,71.22,71.26,70.7,71.03,266920,ARE
2013-03-21,70.65,71.56,70.65,71.34,427325,ARE
2013-03-22,71.56,71.93,71.41,71.61,299940,ARE
2013-03-25,71.86,71.89,71.21,71.43,244252,ARE
2013-03-26,71.0,71.61,70.87,71.49,249351,ARE
2013-03-27,71.0,71.0,70.2,70.86,552666,ARE
2013-03-28,70.97,71.18,70.71,70.98,456935,ARE
2013-04-01,70.71,71.09,70.54,70.87,308591,ARE
2013-04-02,71.03,71.38,70.595,70.67,336023,ARE
2013-04-03,70.84,71.15,70.0,70.21,333509,ARE
2013-04-04,70.49,70.74,70.1525,70.61,879776,ARE
2013-04-05,70.09,70.67,69.68,70.59,654539,ARE
2013-04-08,70.76,71.65,70.41,71.65,625602,ARE
2013-04-09,71.62,71.79,70.87,71.42,309990,ARE
2013-04-10,71.63,71.88,71.5,71.59,415503,ARE
2013-04-11,71.6,72.46,71.6,72.09,374865,ARE
2013-04-12,71.91,72.24,71.73,72.24,342190,ARE
2013-04-15,71.89,72.245,70.71,70.89,602577,ARE
2013-04-16,71.38,71.45,70.7,71.45,447869,ARE
2013-04-17,71.0,71.36,70.03,70.43,427019,ARE
2013-04-18,70.53,70.53,70.0025,70.33,283241,ARE
2013-04-19,70.35,71.53,70.17,71.24,567477,ARE
2013-04-22,71.17,71.37,70.64,70.8,276140,ARE
2013-04-23,71.17,71.61,70.93,71.58,589754,ARE
2013-04-24,71.41,71.9,71.4,71.58,458754,ARE
2013-04-25,71.53,71.845,70.9,71.0,444437,ARE
2013-04-26,71.1,71.1,70.09,70.55,607664,ARE
2013-04-29,70.85,71.52,70.48,71.49,567097,ARE
2013-04-30,71.12,72.77,70.77,72.77,638158,ARE
2013-05-01,72.3,73.04,72.2541,72.63,469186,ARE
2013-05-02,72.58,73.59,72.525,73.15,376070,ARE
2013-05-03,73.4,74.01,73.26,73.42,570945,ARE
2013-05-06,73.61,73.72,73.22,73.63,481299,ARE
2013-05-07,73.55,74.39,73.55,74.28,424260,ARE
2013-05-08,73.99,75.3,73.99,75.3,553748,ARE
2013-05-09,75.22,75.41,74.83,75.27,941864,ARE
2013-05-10,75.21,75.64,74.85,75.4,446942,ARE
2013-05-13,75.4,75.63,75.1735,75.63,415926,ARE
2013-05-14,74.39,77.54,74.25,77.4,4649088,ARE
2013-05-15,77.08,78.11,76.62,78.09,1098748,ARE
2013-05-16,78.07,78.4292,77.49,77.8,801318,ARE
2013-05-17,77.86,78.13,77.13,77.31,633793,ARE
2013-05-20,77.02,77.26,76.83,77.2,634889,ARE
2013-05-21,77.35,77.65,76.9,77.04,1330432,ARE
2013-05-22,76.97,77.11,73.29,74.17,1396528,ARE
2013-05-23,73.38,73.93,72.01,73.63,1413288,ARE
2013-05-24,73.25,73.74,72.41,73.7,1362831,ARE
2013-05-28,74.28,74.36,71.81,72.22,650573,ARE
2013-05-29,71.71,71.84,69.76,70.41,897946,ARE
2013-05-30,70.35,70.93,69.63,69.77,972772,ARE
2013-05-31,69.75,70.08,68.47,68.5,1471386,ARE
2013-06-03,68.62,68.86,67.55,68.7,932750,ARE
2013-06-04,68.86,69.11,67.89,67.89,762309,ARE
2013-06-05,67.87,68.12,66.97,67.29,635357,ARE
2013-06-06,67.18,68.05,66.46,68.04,627233,ARE
2013-06-07,68.19,68.51,66.27,67.26,421093,ARE
2013-06-10,67.8,68.22,67.08,67.45,512699,ARE
2013-06-11,66.41,67.31,66.26,66.31,398612,ARE
2013-06-12,66.76,66.76,65.03,65.21,381519,ARE
2013-06-13,65.03,67.44,65.02,67.24,553471,ARE
2013-06-14,67.15,68.47,66.99,67.75,513143,ARE
2013-06-17,68.09,68.46,67.08,67.43,538604,ARE
2013-06-18,67.33,68.25,67.14,68.09,460158,ARE
2013-06-19,68.18,68.18,65.01,65.4,401805,ARE
2013-06-20,64.81,64.96,63.07,63.28,565898,ARE
2013-06-21,63.56,64.39,62.6,62.89,799508,ARE
2013-06-24,61.99,64.08,61.2,62.66,674392,ARE
2013-06-25,63.07,63.46,62.495,63.15,653636,ARE
2013-06-26,63.26,64.16,62.95,63.87,606045,ARE
2013-06-27,64.78,66.58,64.68,65.86,646982,ARE
2013-06-28,65.99,66.66,65.16,65.72,944639,ARE
2013-07-01,66.02,66.89,65.46,66.02,662376,ARE
2013-07-02,65.88,67.55,65.88,67.44,662644,ARE
2013-07-03,67.11,67.566,66.49,66.92,338460,ARE
2013-07-05,67.26,67.51,65.46,66.71,406639,ARE
2013-07-08,67.16,67.65,66.94,67.32,333894,ARE
2013-07-09,67.43,68.7775,67.36,68.29,287344,ARE
2013-07-10,68.08,68.85,67.775,68.44,466970,ARE
2013-07-11,69.27,69.93,69.19,69.93,512514,ARE
2013-07-12,69.78,70.15,68.78,68.79,406326,ARE
2013-07-15,68.96,69.9,68.96,69.47,283880,ARE
2013-07-16,69.44,69.93,68.97,69.32,316752,ARE
2013-07-17,69.68,69.82,69.16,69.53,228091,ARE
2013-07-18,69.56,70.62,69.56,70.38,348112,ARE
2013-07-19,70.4,70.64,69.94,70.08,286968,ARE
2013-07-22,70.08,70.37,69.75,70.36,355717,ARE
2013-07-23,70.44,71.29,70.07,71.11,463182,ARE
2013-07-24,71.17,71.17,69.01,69.68,398826,ARE
2013-07-25,69.49,70.2,69.21,70.04,279467,ARE
2013-07-26,69.86,70.36,69.25,69.62,298504,ARE
2013-07-29,69.63,69.84,68.54,68.73,442749,ARE
2013-07-30,69.09,70.05,68.79,69.36,289726,ARE
2013-07-31,69.48,69.81,67.63,68.5,436545,ARE
2013-08-01,68.91,69.69,68.27,68.44,817682,ARE
2013-08-02,68.4,68.66,67.01,67.88,490965,ARE
2013-08-05,67.69,68.4,67.65,68.1,521603,ARE
2013-08-06,67.89,68.97,67.76,68.65,573750,ARE
2013-08-07,68.45,68.74,67.87,68.15,247034,ARE
2013-08-08,68.39,68.4,67.58,67.71,249086,ARE
2013-08-09,67.45,68.98,66.08,68.45,243978,ARE
2013-08-12,68.26,68.33,67.23,67.41,224368,ARE
2013-08-13,67.36,67.36,65.92,66.15,465854,ARE
2013-08-14,66.08,66.51,65.8,65.85,253113,ARE
2013-08-15,65.52,65.52,64.07,64.07,445742,ARE
2013-08-16,63.83,64.02,62.08,62.15,355210,ARE
2013-08-19,61.96,62.34,60.91,61.02,468760,ARE
2013-08-20,61.16,62.71,61.16,62.46,411131,ARE
2013-08-21,62.26,62.815,61.4,61.88,360747,ARE
2013-08-22,61.86,62.26,61.29,62.04,323183,ARE
2013-08-23,62.26,62.4,61.82,61.97,922150,ARE
2013-08-26,62.14,62.51,61.77,62.25,308178,ARE
2013-08-27,61.81,62.51,61.52,62.3,248892,ARE
2013-08-28,62.41,62.41,61.79,61.92,254073,ARE
2013-08-29,61.95,62.17,61.57,62.16,213313,ARE
2013-08-30,62.3,62.59,61.49,61.67,407389,ARE
2013-09-03,62.21,62.44,60.86,61.5,938940,ARE
2013-09-04,61.69,62.12,61.34,61.77,812085,ARE
2013-09-05,61.85,62.29,61.38,61.43,439102,ARE
2013-09-06,61.99,62.4,61.69,61.92,626636,ARE
2013-09-09,62.2,63.52,61.83,63.3,992929,ARE
2013-09-10,63.47,63.88,62.7,63.28,876381,ARE
2013-09-11,63.12,63.61,62.9,63.39,355316,ARE
2013-09-12,63.46,63.92,62.77,62.99,462121,ARE
2013-09-13,63.22,63.28,62.86,63.1,335816,ARE
2013-09-16,64.16,64.665,63.43,63.53,403067,ARE
2013-09-17,63.69,64.1,63.47,64.0,271569,ARE
2013-09-18,63.84,66.97,63.16,66.95,472496,ARE
2013-09-19,66.98,67.62,66.58,67.4,591409,ARE
2013-09-20,67.56,67.63,65.8,65.89,563427,ARE
2013-09-23,65.75,66.55,65.515,66.25,423348,ARE
2013-09-24,66.17,66.36,65.37,65.44,293835,ARE
2013-09-25,65.49,66.14,65.05,65.39,273983,ARE
2013-09-26,64.72,65.19,64.251,64.89,285983,ARE
2013-09-27,64.58,64.94,63.89,64.29,349050,ARE
2013-09-30,63.92,64.5,63.16,63.85,461906,ARE
2013-10-01,63.91,65.39,63.81,64.51,722591,ARE
2013-10-02,64.28,64.72,63.62,64.56,499543,ARE
2013-10-03,64.56,64.72,63.38,63.46,438909,ARE
2013-10-04,63.44,63.99,63.0,63.36,251051,ARE
2013-10-07,63.02,63.88,63.02,63.5,308999,ARE
2013-10-08,63.52,63.9625,63.18,63.48,350909,ARE
2013-10-09,63.69,64.43,63.17,63.33,437815,ARE
2013-10-10,63.79,64.57,63.79,64.47,471001,ARE
2013-10-11,64.16,64.83,63.44,63.86,739920,ARE
2013-10-14,63.4,64.17,63.24,63.56,722857,ARE
2013-10-15,63.51,63.67,62.94,63.19,626745,ARE
2013-10-16,63.36,64.36,63.225,64.11,486111,ARE
2013-10-17,63.9,66.06,63.8,65.98,601139,ARE
2013-10-18,66.09,66.21,65.43,66.01,615768,ARE
2013-10-21,66.21,66.22,65.32,65.74,325658,ARE
2013-10-22,65.93,66.81,64.76,66.33,333344,ARE
2013-10-23,66.18,66.63,65.72,66.6,270677,ARE
2013-10-24,66.54,66.77,65.98,66.43,440397,ARE
2013-10-25,66.36,67.99,65.66,67.85,428433,ARE
2013-10-28,67.59,67.68,66.455,67.15,434516,ARE
2013-10-29,67.05,67.19,65.62,66.85,636852,ARE
2013-10-30,66.66,66.72,66.164,66.61,305885,ARE
2013-10-31,66.47,66.96,64.85,65.78,735596,ARE
2013-11-01,65.89,67.26,65.45,66.42,317053,ARE
2013-11-04,66.42,66.71,65.62,66.37,384968,ARE
2013-11-05,66.11,66.18,64.89,65.27,473348,ARE
2013-11-06,65.64,65.69,64.98,65.08,243742,ARE
2013-11-07,65.23,65.29,64.11,64.4,289066,ARE
2013-11-08,64.11,65.18,62.59,63.67,268201,ARE
2013-11-11,63.77,64.1364,63.27,63.63,164265,ARE
2013-11-12,63.6,63.6,62.66,63.09,178976,ARE
2013-11-13,62.97,63.62,62.52,63.61,278397,ARE
2013-11-14,63.81,64.73,63.81,64.24,137998,ARE
2013-11-15,64.47,64.97,63.895,64.93,247646,ARE
2013-11-18,64.96,65.1725,64.43,64.63,272076,ARE
2013-11-19,64.37,64.41,63.53,63.94,355411,ARE
2013-11-20,63.93,64.435,63.22,63.51,326087,ARE
2013-11-21,63.7,64.75,63.35,64.58,455281,ARE
2013-11-22,64.51,64.76,63.84,64.6,399482,ARE
2013-11-25,64.75,64.75,64.0,64.26,474120,ARE
2013-11-26,64.53,64.6,63.83,64.1,386507,ARE
2013-11-27,64.17,64.3892,63.69,64.15,303908,ARE
2013-11-29,64.27,64.55,63.202,63.26,216850,ARE
2013-12-02,63.17,63.705,62.3201,63.15,341056,ARE
2013-12-03,62.93,64.1,62.76,63.2,550320,ARE
2013-12-04,65.77,66.3,62.08,62.32,563072,ARE
2013-12-05,62.14,62.89,61.87,62.65,782788,ARE
2013-12-06,63.12,63.614,62.78,63.29,554612,ARE
2013-12-09,63.34,63.81,63.02,63.6,542095,ARE
2013-12-10,63.55,63.98,63.33,63.35,350362,ARE
