date,open,high,low,close,volume,Name
2013-02-08,127.51,129.085,127.51,128.84,956469,AVB
2013-02-11,128.84,130.37,128.84,129.78,1257369,AVB
2013-02-12,129.63,130.9,129.3,130.83,685652,AVB
2013-02-13,131.1,131.23,129.88,130.23,590502,AVB
2013-02-14,129.41,130.82,129.41,130.05,621740,AVB
2013-02-15,129.98,130.26,129.295,130.26,1187672,AVB
2013-02-19,130.59,130.9854,129.64,130.42,555922,AVB
2013-02-20,130.32,131.06,129.65,129.69,988892,AVB
2013-02-21,129.61,129.86,127.69,127.7,1221825,AVB
2013-02-22,128.21,128.895,128.09,128.83,1064969,AVB
2013-02-25,129.25,129.32,126.33,126.33,811035,AVB
2013-02-26,126.92,127.35,125.515,126.53,998641,AVB
2013-02-27,126.38,127.0375,125.91,125.94,761970,AVB
2013-02-28,125.92,126.49,124.75,124.83,1673491,AVB
2013-03-01,124.56,126.25,124.0,126.21,1117016,AVB
2013-03-04,125.82,126.79,125.43,126.65,1766096,AVB
2013-03-05,127.12,127.74,126.19,126.74,730868,AVB
2013-03-06,126.85,127.2,125.76,126.23,714890,AVB
2013-03-07,126.25,127.01,124.47,124.75,1177412,AVB
2013-03-08,124.92,125.03,123.16,124.08,1183824,AVB
2013-03-11,124.03,124.29,123.04,124.02,787224,AVB
2013-03-12,123.87,125.91,123.55,125.73,1870967,AVB
2013-03-13,125.42,126.99,124.85,126.78,1013298,AVB
2013-03-14,126.6,129.4,126.42,129.21,1558531,AVB
2013-03-15,128.71,128.96,127.59,128.37,1174998,AVB
2013-03-18,127.96,128.794,126.61,126.75,818748,AVB
2013-03-19,127.14,127.68,125.28,126.19,652081,AVB
2013-03-20,126.61,127.13,125.86,126.53,567548,AVB
2013-03-21,125.84,126.94,125.4,125.45,603215,AVB
2013-03-22,125.56,127.52,125.47,126.83,843890,AVB
2013-03-25,127.23,127.55,126.35,126.52,795554,AVB
2013-03-26,126.0,127.58,126.0,127.09,789979,AVB
2013-03-27,126.49,127.02,125.98,126.64,655540,AVB
2013-03-28,126.86,127.09,126.1175,126.67,990812,AVB
2013-04-01,127.18,128.12,126.67,128.09,580602,AVB
2013-04-02,128.88,129.2,127.9,128.14,598944,AVB
2013-04-03,128.23,128.5,127.51,128.0,717277,AVB
2013-04-04,128.3,132.23,128.19,132.22,1111656,AVB
2013-04-05,131.15,133.54,130.96,133.44,996782,AVB
2013-04-08,133.38,133.68,132.56,133.03,726598,AVB
2013-04-09,132.91,133.99,131.63,133.5,695944,AVB
2013-04-10,134.24,134.24,133.03,133.48,530144,AVB
2013-04-11,133.63,135.37,133.51,134.7,735106,AVB
2013-04-12,134.55,135.6,134.3601,135.57,680723,AVB
2013-04-15,134.72,135.36,132.46,132.47,724564,AVB
2013-04-16,133.37,134.31,132.35,133.9,669876,AVB
2013-04-17,133.59,133.59,131.12,131.19,1265684,AVB
2013-04-18,131.59,132.34,130.46,132.01,519745,AVB
2013-04-19,132.5,133.42,131.85,133.07,590811,AVB
2013-04-22,133.16,133.16,131.535,132.06,691133,AVB
2013-04-23,132.39,132.39,131.1,131.89,713512,AVB
2013-04-24,132.13,133.023,131.81,132.08,673046,AVB
2013-04-25,131.96,132.01,130.55,131.13,574322,AVB
2013-04-26,131.23,131.55,129.72,130.22,509596,AVB
2013-04-29,130.58,131.26,129.84,131.05,440825,AVB
2013-04-30,131.03,133.04,130.77,133.04,735661,AVB
2013-05-01,133.5,135.73,131.8,132.24,1024310,AVB
2013-05-02,132.5,133.26,130.11,130.7,874472,AVB
2013-05-03,131.52,131.85,129.24,129.79,968899,AVB
2013-05-06,130.21,130.99,129.54,130.76,681249,AVB
2013-05-07,130.78,133.2,130.54,133.0,594692,AVB
2013-05-08,132.73,133.37,131.92,132.77,567298,AVB
2013-05-09,132.46,133.09,132.09,132.57,576728,AVB
2013-05-10,132.84,133.54,132.02,133.29,531088,AVB
2013-05-13,133.2,135.0,132.81,134.79,643348,AVB
2013-05-14,134.57,136.65,134.57,136.64,1020166,AVB
2013-05-15,136.76,137.22,135.7,137.18,1063549,AVB
2013-05-16,136.61,139.31,136.61,138.02,1082788,AVB
2013-05-17,138.1,139.01,138.01,138.69,892170,AVB
2013-05-20,138.65,141.04,138.57,140.64,923559,AVB
2013-05-21,141.0,141.95,140.49,141.46,509723,AVB
2013-05-22,141.67,141.83,138.04,138.56,1483498,AVB
2013-05-23,137.0,138.99,136.09,138.99,5081251,AVB
2013-05-24,138.37,138.79,137.29,138.58,808227,AVB
2013-05-28,139.55,140.29,135.87,136.58,1198078,AVB
2013-05-29,135.65,136.92,132.3,136.66,2019989,AVB
2013-05-30,136.66,137.0,133.14,133.36,824397,AVB
