date,open,high,low,close,volume,Name
2013-02-08,62.06,62.33,61.48,61.8,6734994,AXP
2013-02-11,61.7,62.05,61.36,61.98,3436008,AXP
2013-02-12,62.09,62.559,61.95,62.2,4255159,AXP
2013-02-13,62.45,62.76,61.89,62.1,3408905,AXP
2013-02-14,62.08,62.65,61.83,62.34,4433246,AXP
2013-02-15,62.57,62.68,61.43,61.69,5355342,AXP
2013-02-19,61.67,62.4,61.67,62.28,3599689,AXP
2013-02-20,62.06,62.47,61.87,61.91,5532971,AXP
2013-02-21,61.87,62.0,61.14,61.54,5287941,AXP
2013-02-22,61.86,62.58,61.79,62.57,5197361,AXP
2013-02-25,62.77,63.0,61.99,62.02,8625097,AXP
2013-02-26,62.06,62.18,61.55,61.92,5938052,AXP
2013-02-27,61.73,62.6,61.63,62.5,4757140,AXP
2013-02-28,62.43,62.65,61.88,62.15,5366623,AXP
2013-03-01,61.84,62.49,61.51,62.37,5266056,AXP
2013-03-04,62.22,63.0,62.04,62.89,4688246,AXP
2013-03-05,63.26,64.42,63.06,64.12,7317773,AXP
2013-03-06,64.41,64.94,64.35,64.65,5780885,AXP
2013-03-07,64.73,64.88,64.14,64.56,4446477,AXP
2013-03-08,64.66,64.76,63.67,64.7,5810008,AXP
2013-03-11,64.73,65.62,64.71,65.5,5307652,AXP
2013-03-12,65.63,65.79,65.06,65.29,5304372,AXP
2013-03-13,65.24,65.6,65.12,65.3,4203812,AXP
2013-03-14,65.42,65.75,65.29,65.38,3758946,AXP
2013-03-15,65.64,66.43,65.34,66.09,10269034,AXP
2013-03-18,65.06,66.13,64.76,65.78,4880320,AXP
2013-03-19,65.99,66.14,64.8,65.13,4587010,AXP
2013-03-20,65.45,66.1347,65.45,66.0,4137770,AXP
2013-03-21,65.83,65.99,65.255,65.41,3600096,AXP
2013-03-22,65.59,66.35,65.54,66.22,3843629,AXP
2013-03-25,66.59,66.77,65.82,66.1,6599282,AXP
2013-03-26,66.4,67.24,66.37,67.17,4295546,AXP
2013-03-27,66.6,67.26,66.6,67.15,2905064,AXP
2013-03-28,67.31,67.48,67.0,67.46,4355396,AXP
2013-04-01,67.42,67.75,67.01,67.26,3012629,AXP
2013-04-02,67.38,67.76,67.1,67.64,3921782,AXP
2013-04-03,67.66,67.69,66.04,66.25,5102025,AXP
2013-04-04,66.42,66.96,66.3,66.73,3633700,AXP
2013-04-05,65.77,65.8,64.77,65.3,6898242,AXP
2013-04-08,65.56,65.7784,65.13,65.6,4662225,AXP
2013-04-09,65.64,65.68,65.15,65.22,4882274,AXP
2013-04-10,65.45,65.58,65.36,65.4,7884860,AXP
2013-04-11,65.47,65.925,65.2,65.74,6357698,AXP
2013-04-12,65.46,65.85,65.18,65.68,3967929,AXP
2013-04-15,65.53,65.6,64.09,64.1,7008039,AXP
2013-04-16,64.5,65.05,64.27,64.59,6198774,AXP
2013-04-17,64.12,64.31,63.43,64.13,6924097,AXP
2013-04-18,64.04,65.889,63.64,65.04,10457780,AXP
2013-04-19,65.33,67.25,65.33,67.24,8461663,AXP
2013-04-22,67.12,67.25,66.25,66.66,5791530,AXP
2013-04-23,66.81,67.54,66.64,67.45,4780016,AXP
2013-04-24,67.41,67.62,67.04,67.42,4077699,AXP
2013-04-25,67.75,69.05,67.64,68.13,5834140,AXP
2013-04-26,68.12,68.405,67.57,67.75,4355754,AXP
2013-04-29,68.01,68.2,67.61,67.63,2931856,AXP
2013-04-30,67.88,68.48,67.6,68.41,4686785,AXP
2013-05-01,68.25,68.853,68.16,68.28,3767224,AXP
2013-05-02,68.43,69.47,68.37,69.38,3575826,AXP
2013-05-03,69.92,71.09,69.9,70.23,6987378,AXP
2013-05-06,70.22,70.58,69.95,70.06,4685226,AXP
2013-05-07,70.07,70.46,69.96,70.24,4374921,AXP
2013-05-08,69.92,70.42,69.568,70.31,3587475,AXP
2013-05-09,70.25,70.51,69.71,70.21,3754829,AXP
2013-05-10,70.16,70.25,69.655,70.08,3543084,AXP
2013-05-13,70.09,70.21,69.34,69.79,5139397,AXP
2013-05-14,69.95,71.61,69.8501,71.51,6117658,AXP
2013-05-15,71.33,73.04,71.33,72.78,5216257,AXP
2013-05-16,72.61,72.95,72.13,72.23,3861519,AXP
2013-05-17,72.28,73.38,72.26,73.32,4866760,AXP
2013-05-20,73.31,74.54,73.22,74.4,5345487,AXP
2013-05-21,74.47,75.46,74.4,75.11,5130771,AXP
2013-05-22,75.43,77.01,74.28,74.44,12448430,AXP
2013-05-23,73.88,74.99,73.61,74.69,7985023,AXP
2013-05-24,74.09,75.35,73.98,75.27,5563903,AXP
2013-05-28,75.91,77.12,75.89,76.16,7341426,AXP
2013-05-29,75.8,76.655,75.39,75.83,5679153,AXP
2013-05-30,76.02,76.9,75.92,76.14,5417344,AXP
2013-05-31,76.13,77.385,75.71,75.71,7188362,AXP
2013-06-03,75.89,76.67,75.631,76.47,6777986,AXP
2013-06-04,76.5,77.24,75.96,76.06,5667771,AXP
2013-06-05,75.98,76.28,74.64,74.76,6267278,AXP
2013-06-06,74.75,76.25,74.64,76.24,5455837,AXP
2013-06-07,76.68,78.12,76.45,78.04,6827944,AXP
