date,open,high,low,close,volume,Name
2013-02-08,69.21,70.7,69.21,70.09,265713,AYI
2013-02-11,69.98,70.62,69.98,70.25,204437,AYI
2013-02-12,70.32,70.96,69.94,70.01,169035,AYI
2013-02-13,70.08,71.14,69.88,71.14,251358,AYI
2013-02-14,70.71,71.588,70.71,71.42,290970,AYI
2013-02-15,71.75,71.79,70.91,71.61,345849,AYI
2013-02-19,71.63,72.98,71.63,72.93,361716,AYI
2013-02-20,72.92,73.48,72.6,72.79,711499,AYI
2013-02-21,72.6,72.69,70.45,71.5,571344,AYI
2013-02-22,71.86,72.63,71.13,72.13,406648,AYI
2013-02-25,72.33,72.44,69.51,69.62,537306,AYI
2013-02-26,70.11,71.07,69.28,70.79,334292,AYI
2013-02-27,70.74,72.72,70.5,72.0,353053,AYI
2013-02-28,70.34,71.18,67.73,68.13,1157088,AYI
2013-03-01,67.51,68.27,66.33,67.85,771944,AYI
2013-03-04,67.81,67.81,65.99,67.25,413296,AYI
2013-03-05,68.32,70.69,68.32,70.48,935664,AYI
2013-03-06,70.54,71.31,70.28,70.7,316271,AYI
2013-03-07,70.89,72.0,70.48,71.49,471220,AYI
2013-03-08,72.08,72.5,71.23,71.89,429600,AYI
2013-03-11,71.65,72.52,71.33,71.99,357817,AYI
2013-03-12,71.92,72.72,71.3,71.42,544563,AYI
2013-03-13,71.52,72.26,71.42,71.71,392568,AYI
2013-03-14,71.71,72.65,71.32,72.52,422353,AYI
2013-03-15,72.43,72.49,70.66,71.17,682947,AYI
2013-03-18,70.25,71.8,69.95,71.23,296777,AYI
2013-03-19,71.37,71.91,70.1,70.86,215883,AYI
2013-03-20,71.35,72.0495,71.23,71.92,171227,AYI
2013-03-21,71.46,71.82,70.45,70.81,102471,AYI
2013-03-22,71.3,71.59,71.03,71.27,131985,AYI
2013-03-25,71.43,71.79,69.92,70.15,165351,AYI
2013-03-26,70.45,70.73,69.4,69.67,237427,AYI
2013-03-27,68.81,69.995,68.1,69.47,454902,AYI
2013-03-28,69.64,69.64,68.2,69.35,486751,AYI
2013-04-01,69.4,69.66,68.55,68.92,571580,AYI
2013-04-02,69.42,69.42,67.84,68.25,758074,AYI
2013-04-03,73.58,74.89,71.52,71.84,1184836,AYI
2013-04-04,71.12,73.56,70.81,72.77,766001,AYI
2013-04-05,71.47,72.49,70.68,72.28,264680,AYI
2013-04-08,72.34,73.25,71.53,73.2,385451,AYI
2013-04-09,73.25,73.96,72.47,73.42,410475,AYI
2013-04-10,73.82,74.35,73.09,73.95,454508,AYI
2013-04-11,73.95,74.0,72.93,73.12,372480,AYI
2013-04-12,72.89,72.89,71.56,72.74,282260,AYI
2013-04-15,72.22,72.7,68.96,69.25,484236,AYI
2013-04-16,70.13,71.14,69.8,71.0,378313,AYI
2013-04-17,70.24,70.492,69.01,70.1,507210,AYI
2013-04-18,71.14,72.11,70.42,70.94,672393,AYI
2013-04-19,71.03,71.32,69.97,71.29,427344,AYI
2013-04-22,71.27,71.5,69.94,71.03,382214,AYI
2013-04-23,71.51,71.99,71.01,71.66,317270,AYI
2013-04-24,71.88,72.96,71.87,72.42,370897,AYI
2013-04-25,72.64,73.85,72.45,73.22,280642,AYI
2013-04-26,72.9,73.3725,72.54,72.73,310844,AYI
2013-04-29,72.99,73.0,71.83,72.37,310272,AYI
2013-04-30,72.47,73.03,72.21,72.96,411186,AYI
2013-05-01,72.51,72.86,70.51,70.58,407646,AYI
2013-05-02,70.8,71.23,70.43,70.95,438152,AYI
2013-05-03,71.6,74.08,71.28,73.51,481318,AYI
2013-05-06,73.51,74.35,73.39,73.48,218969,AYI
2013-05-07,73.77,74.18,73.16,74.18,171209,AYI
2013-05-08,74.2,74.77,74.09,74.76,241673,AYI
2013-05-09,74.86,76.05,74.64,75.37,241418,AYI
2013-05-10,75.44,75.6799,74.99,75.2,184352,AYI
2013-05-13,74.94,74.94,73.6,73.75,278423,AYI
2013-05-14,74.35,77.04,73.96,76.85,583756,AYI
2013-05-15,76.44,77.94,76.44,77.01,340813,AYI
2013-05-16,76.87,77.81,76.56,76.82,250711,AYI
2013-05-17,77.03,77.96,77.03,77.53,296678,AYI
2013-05-20,77.34,77.86,77.075,77.29,227834,AYI
2013-05-21,77.28,77.61,76.935,77.33,300984,AYI
2013-05-22,77.19,79.16,75.53,76.33,352819,AYI
2013-05-23,75.73,76.57,75.08,75.86,278046,AYI
2013-05-24,75.4,75.82,74.81,75.24,169434,AYI
2013-05-28,76.34,77.0599,74.97,75.59,219650,AYI
2013-05-29,75.09,75.41,74.0,74.3,274464,AYI
2013-05-30,74.58,75.94,74.58,75.03,285717,AYI
2013-05-31,74.67,76.33,74.58,75.07,209384,AYI
2013-06-03,75.08,75.7,73.1,74.87,446258,AYI
2013-06-04,75.06,76.1,73.5,74.27,231460,AYI
2013-06-05,74.07,74.36,72.99,73.39,302093,AYI
2013-06-06,73.28,73.96,72.34,73.96,459432,AYI
2013-06-07,74.43,76.02,74.17,75.56,252978,AYI
2013-06-10,75.68,76.19,75.18,75.8,172490,AYI
2013-06-11,75.17,75.73,73.97,74.94,120614,AYI
2013-06-12,75.65,75.7399,74.68,74.91,171653,AYI
2013-06-13,74.9,76.7,74.06,76.45,203646,AYI
2013-06-14,76.45,76.73,75.61,75.84,227713,AYI
2013-06-17,76.39,77.04,75.925,76.86,218502,AYI
2013-06-18,77.07,78.49,76.56,78.37,162512,AYI
2013-06-19,78.16,78.67,77.43,77.61,188268,AYI
2013-06-20,76.49,76.7,75.2,75.87,397923,AYI
2013-06-21,76.45,76.45,74.33,75.14,631137,AYI
2013-06-24,74.15,75.25,73.51,74.58,254401,AYI
2013-06-25,75.39,75.62,74.45,74.89,316300,AYI
2013-06-26,75.73,76.3,74.49,74.66,315674,AYI
2013-06-27,75.38,76.44,75.2,76.12,272929,AYI
2013-06-28,75.93,76.48,75.04,75.52,365220,AYI
2013-07-01,75.98,77.29,75.62,75.93,465814,AYI
2013-07-02,78.54,83.3,76.5431,81.39,1288521,AYI
2013-07-03,81.59,82.12,80.23,81.85,482495,AYI
2013-07-05,82.88,84.375,82.264,84.26,461209,AYI
2013-07-08,84.44,84.8,83.92,84.41,421113,AYI
2013-07-09,84.09,86.14,82.76,85.5,762156,AYI
2013-07-10,85.26,85.81,84.15,84.75,427609,AYI
2013-07-11,85.79,86.09,84.82,85.99,379908,AYI
2013-07-12,85.79,85.79,84.92,85.35,228613,AYI
2013-07-15,85.59,86.13,85.2,85.93,214806,AYI
2013-07-16,86.12,86.12,84.26,84.98,313484,AYI
2013-07-17,85.24,85.61,84.52,84.98,507001,AYI
2013-07-18,85.0,88.42,85.0,88.33,478300,AYI
2013-07-19,88.16,88.16,87.09,87.39,330313,AYI
2013-07-22,87.64,88.51,87.25,87.55,184211,AYI
2013-07-23,87.87,88.47,87.17,88.34,234536,AYI
2013-07-24,88.655,88.655,86.86,87.33,240272,AYI
2013-07-25,87.25,87.25,85.64,87.06,244505,AYI
2013-07-26,86.61,87.14,86.14,86.96,238071,AYI
2013-07-29,86.78,87.33,86.302,86.47,190331,AYI
2013-07-30,85.98,87.65,85.98,86.23,195172,AYI
2013-07-31,86.63,86.95,85.65,86.5,281829,AYI
2013-08-01,87.5,89.57,87.25,88.2,382723,AYI
2013-08-02,87.96,88.48,87.186,88.29,170834,AYI
2013-08-05,88.1,88.325,86.76,87.31,147520,AYI
2013-08-06,86.82,86.82,85.28,85.73,165576,AYI
2013-08-07,85.63,85.63,84.34,85.17,218405,AYI
2013-08-08,85.6,86.9,85.2101,86.6,126980,AYI
2013-08-09,86.64,87.34,85.7,86.78,169547,AYI
2013-08-12,86.04,87.98,85.46,87.88,136745,AYI
2013-08-13,87.87,88.79,87.15,88.19,108682,AYI
2013-08-14,88.32,88.32,86.14,86.62,139627,AYI
2013-08-15,85.19,86.215,84.788,85.35,153348,AYI
2013-08-16,84.93,86.09,84.325,84.54,214405,AYI
2013-08-19,84.59,84.93,83.8,84.32,179123,AYI
2013-08-20,84.36,86.31,83.95,85.92,157487,AYI
2013-08-21,85.56,86.7,85.26,85.53,158288,AYI
2013-08-22,85.91,87.69,85.91,86.97,79684,AYI
2013-08-23,87.04,87.11,85.92,86.76,99416,AYI
2013-08-26,86.92,88.36,86.425,87.9,175014,AYI
2013-08-27,86.76,87.05,84.76,84.95,214761,AYI
2013-08-28,85.05,86.53,85.01,86.21,148305,AYI
2013-08-29,85.86,88.06,85.86,87.83,197256,AYI
2013-08-30,87.76,88.065,85.29,85.5,261222,AYI
2013-09-03,86.53,87.72,83.61,84.43,428564,AYI
2013-09-04,84.4,86.63,84.4,86.61,240693,AYI
2013-09-05,86.45,88.25,86.45,87.84,149273,AYI
2013-09-06,88.04,88.83,86.43,87.54,104584,AYI
2013-09-09,88.16,90.86,88.16,90.35,170147,AYI
2013-09-10,91.04,92.98,90.87,92.44,283574,AYI
2013-09-11,92.48,92.64,91.72,92.07,150749,AYI
2013-09-12,91.94,92.35,91.12,91.18,151028,AYI
2013-09-13,91.23,91.53,90.52,90.69,187222,AYI
2013-09-16,91.96,91.9899,90.12,90.27,263228,AYI
2013-09-17,90.29,93.15,90.29,93.14,342641,AYI
2013-09-18,92.0,93.83,90.31,93.65,308344,AYI
2013-09-19,93.77,94.09,92.77,93.16,133525,AYI
2013-09-20,93.46,93.6,91.22,91.41,392338,AYI
2013-09-23,91.57,92.42,90.45,91.75,172370,AYI
2013-09-24,92.03,92.34,90.85,91.11,250570,AYI
2013-09-25,91.33,92.0,90.5675,91.01,368201,AYI
2013-09-26,91.25,92.42,90.68,92.15,220671,AYI
2013-09-27,91.41,92.54,90.73,91.15,286895,AYI
2013-09-30,90.13,92.71,89.72,92.02,430786,AYI
2013-10-01,92.94,99.29,92.94,98.91,889811,AYI
2013-10-02,97.79,97.79,93.94,94.09,536089,AYI
2013-10-03,94.05,94.05,91.61,92.84,305455,AYI
2013-10-04,93.65,96.57,92.82,95.95,589709,AYI
2013-10-07,95.27,97.48,95.01,96.33,535456,AYI
2013-10-08,96.15,97.19,94.68,94.8,451791,AYI
2013-10-09,94.94,95.115,92.88,93.15,433102,AYI
2013-10-10,94.23,96.16,94.06,96.1,231858,AYI
2013-10-11,96.06,97.85,95.504,97.81,304364,AYI
2013-10-14,97.38,99.08,96.5,99.01,196030,AYI
2013-10-15,98.84,99.0,96.52,97.25,272294,AYI
2013-10-16,98.07,98.74,96.94,97.37,337507,AYI
2013-10-17,97.04,98.02,96.94,97.86,296771,AYI
2013-10-18,98.65,100.78,98.3,100.7,295475,AYI
2013-10-21,100.55,102.66,100.09,102.64,456822,AYI
2013-10-22,103.21,104.09,102.09,103.42,357441,AYI
2013-10-23,102.51,104.12,102.159,103.5,389717,AYI
2013-10-24,103.51,104.06,102.87,103.74,186051,AYI
2013-10-25,103.71,103.71,102.19,103.32,193609,AYI
2013-10-28,103.09,103.65,102.07,102.74,197412,AYI
2013-10-29,102.73,104.19,102.02,103.39,173815,AYI
2013-10-30,103.43,104.01,101.5425,101.85,300502,AYI
2013-10-31,101.67,101.93,100.36,100.51,543140,AYI
2013-11-01,100.43,100.84,98.831,99.7,379956,AYI
2013-11-04,100.23,100.4299,99.01,99.99,362903,AYI
2013-11-05,99.21,99.78,98.29,98.98,360680,AYI
2013-11-06,99.75,100.65,99.3,100.42,272036,AYI
2013-11-07,100.58,101.696,99.18,100.0,401999,AYI
2013-11-08,99.81,102.03,99.54,101.67,305156,AYI
2013-11-11,101.35,103.185,101.02,103.07,285169,AYI
2013-11-12,102.7,103.48,102.3,103.25,213870,AYI
2013-11-13,102.75,105.11,102.36,105.09,208644,AYI
2013-11-14,104.85,105.41,104.2225,104.83,159190,AYI
2013-11-15,104.63,105.85,104.576,105.21,293547,AYI
2013-11-18,105.39,106.33,104.26,104.59,311526,AYI
2013-11-19,104.62,105.14,102.43,102.64,364511,AYI
2013-11-20,103.4,104.002,98.39,100.08,1081419,AYI
2013-11-21,100.78,101.66,99.75,101.61,424905,AYI
2013-11-22,101.74,102.21,100.74,101.65,322059,AYI
2013-11-25,102.12,102.12,100.95,101.3,183701,AYI
2013-11-26,101.46,102.93,101.05,102.52,166714,AYI
2013-11-27,102.59,103.45,102.2,103.3,157371,AYI
2013-11-29,103.77,103.77,101.85,102.53,115971,AYI
2013-12-02,102.48,104.23,101.74,102.35,203629,AYI
2013-12-03,102.22,102.7725,100.53,100.78,207413,AYI
2013-12-04,100.14,101.61,99.16,100.65,148668,AYI
2013-12-05,100.63,101.82,100.13,101.31,143845,AYI
2013-12-06,101.96,103.16,101.76,102.47,159198,AYI
2013-12-09,102.5,103.25,102.49,102.97,113199,AYI
2013-12-10,102.53,103.55,101.576,101.68,206024,AYI
2013-12-11,102.01,102.02,99.37,99.89,206916,AYI
2013-12-12,99.72,101.895,99.39,101.21,212614,AYI
2013-12-13,101.48,101.75,100.51,101.11,174309,AYI
2013-12-16,101.56,103.92,100.1,103.63,197839,AYI
2013-12-17,103.63,105.12,102.93,104.6,247335,AYI
2013-12-18,104.6,106.95,104.03,106.93,232857,AYI
2013-12-19,106.47,106.52,105.35,105.92,165847,AYI
2013-12-20,106.02,108.38,106.02,107.5,445140,AYI
2013-12-23,108.26,108.69,107.41,108.4,176629,AYI
2013-12-24,108.87,109.99,107.775,109.64,77503,AYI
2013-12-26,109.8,110.52,109.52,110.06,198734,AYI
2013-12-27,110.56,111.095,109.36,110.19,232638,AYI
2013-12-30,110.09,110.905,109.14,109.71,114595,AYI
2013-12-31,110.09,110.09,108.92,109.32,260667,AYI
2014-01-02,109.22,109.26,106.84,107.65,254146,AYI
2014-01-03,107.7,108.56,107.55,108.15,192777,AYI
2014-01-06,108.7,108.93,105.74,106.28,271973,AYI
2014-01-07,106.91,109.695,106.61,109.44,286308,AYI
2014-01-08,109.47,110.56,108.245,110.03,635479,AYI
