date,open,high,low,close,volume,Name
2013-02-08,380.32,386.4,379.58,385.89,790878,AZO
2013-02-11,384.63,387.38,384.23,385.23,523482,AZO
2013-02-12,385.35,386.94,380.785,382.09,550249,AZO
2013-02-13,382.14,384.01,377.882,379.73,537986,AZO
2013-02-14,378.5,380.5,372.94,373.61,742331,AZO
2013-02-15,375.0,375.56,369.47,373.7,646703,AZO
2013-02-19,374.45,375.39,370.6425,375.21,608329,AZO
2013-02-20,375.58,380.57,374.2,379.96,577322,AZO
2013-02-21,378.59,383.64,376.4222,377.56,432891,AZO
2013-02-22,377.83,385.975,377.83,385.2,511996,AZO
2013-02-25,384.63,386.64,378.54,378.54,629405,AZO
2013-02-26,377.26,381.62,369.79,376.15,986237,AZO
2013-02-27,378.08,379.88,374.33,376.79,352212,AZO
2013-02-28,376.01,380.16,375.115,380.15,459553,AZO
2013-03-01,379.13,379.5,376.695,378.14,228664,AZO
2013-03-04,378.02,381.49,377.47,380.66,316774,AZO
2013-03-05,382.0,382.99,380.8201,382.32,214987,AZO
2013-03-06,382.31,383.0,375.42,376.55,428421,AZO
2013-03-07,377.48,381.6,375.29,381.52,397808,AZO
2013-03-08,381.9,385.6,379.32,385.25,350470,AZO
2013-03-11,385.28,388.47,383.74,388.33,374916,AZO
2013-03-12,388.75,390.488,386.97,388.87,391956,AZO
2013-03-13,388.25,392.59,387.595,392.04,383292,AZO
2013-03-14,391.69,392.6,389.19,389.65,318101,AZO
2013-03-15,388.33,392.75,386.56,391.89,404647,AZO
2013-03-18,390.02,392.29,388.91,391.47,175585,AZO
2013-03-19,392.39,392.66,387.78,390.41,219557,AZO
2013-03-20,392.08,397.1,390.79,396.0,294784,AZO
2013-03-21,394.38,395.65,391.35,393.26,173154,AZO
2013-03-22,394.18,396.11,392.26,395.72,175712,AZO
2013-03-25,396.19,396.19,391.46,393.33,263857,AZO
2013-03-26,394.48,394.48,388.63,394.04,344957,AZO
2013-03-27,392.58,394.64,389.59,393.94,189168,AZO
2013-03-28,393.24,396.79,391.05,396.77,537884,AZO
2013-04-01,396.01,397.8,392.76,393.19,157644,AZO
2013-04-02,394.26,402.075,394.26,400.99,368198,AZO
2013-04-03,401.3,401.3,393.61,393.98,513637,AZO
2013-04-04,395.11,402.09,394.0,401.83,211737,AZO
2013-04-05,397.82,399.455,394.59,397.2,246692,AZO
2013-04-08,397.0,399.53,392.74,395.36,220207,AZO
2013-04-09,392.0,392.99,382.98,384.03,577738,AZO
2013-04-10,385.3,394.09,385.3,389.98,356674,AZO
2013-04-11,390.45,396.89,388.05,392.83,182799,AZO
2013-04-12,390.24,395.13,390.24,393.57,173301,AZO
2013-04-15,391.74,393.74,384.64,384.87,328657,AZO
2013-04-16,386.0,387.4799,379.789,384.59,387336,AZO
2013-04-17,382.29,384.08,378.65,381.93,322759,AZO
2013-04-18,383.1,383.65,375.94,379.01,438789,AZO
2013-04-19,379.49,382.05,375.12,378.43,325006,AZO
2013-04-22,379.85,380.6755,375.57,378.76,326842,AZO
2013-04-23,379.82,384.57,378.85,383.62,300125,AZO
2013-04-24,384.65,386.0,381.8401,383.95,211230,AZO
2013-04-25,393.0,402.1,390.0,398.26,421925,AZO
2013-04-26,398.81,408.5,398.14,406.73,362962,AZO
2013-04-29,406.56,408.5,402.3,403.87,183188,AZO
2013-04-30,404.05,409.25,400.74,409.09,290020,AZO
2013-05-01,409.19,413.28,408.27,410.28,199399,AZO
2013-05-02,409.29,410.855,405.26,407.58,210847,AZO
2013-05-03,409.55,413.0,407.29,411.11,167101,AZO
2013-05-06,410.93,413.5,410.03,413.49,189488,AZO
2013-05-07,413.44,419.01,411.5,418.95,170883,AZO
2013-05-08,418.01,419.82,416.6,419.27,189374,AZO
2013-05-09,418.99,419.7968,414.2901,415.33,121276,AZO
2013-05-10,416.62,423.46,416.59,420.95,313751,AZO
2013-05-13,408.21,416.39,408.0,415.76,335618,AZO
2013-05-14,418.07,419.64,416.13,417.56,235279,AZO
2013-05-15,417.81,419.57,416.7,418.28,191333,AZO
2013-05-16,416.97,418.23,412.72,413.5,184036,AZO
2013-05-17,413.94,415.59,410.14,411.29,246916,AZO
2013-05-20,410.37,414.0,401.93,409.05,327138,AZO
2013-05-21,413.16,435.355,413.16,427.84,740548,AZO
2013-05-22,426.76,426.76,416.72,417.72,339230,AZO
2013-05-23,417.08,420.36,415.01,418.9,330130,AZO
2013-05-24,416.0,418.66,413.47,415.81,134920,AZO
2013-05-28,418.74,420.5499,415.4,418.95,137847,AZO
2013-05-29,416.11,418.3,412.17,416.75,130806,AZO
2013-05-30,416.95,421.79,416.95,417.94,177664,AZO
2013-05-31,417.01,419.23,408.6506,408.83,388431,AZO
2013-06-03,408.35,412.123,407.2,411.21,220252,AZO
2013-06-04,411.02,414.58,406.11,407.8,198485,AZO
2013-06-05,408.31,410.664,404.87,405.31,178514,AZO
2013-06-06,406.11,415.56,406.11,415.39,193558,AZO
2013-06-07,417.77,419.33,413.42,416.68,171737,AZO
2013-06-10,417.82,418.786,414.04,418.75,170237,AZO
2013-06-11,417.5,417.7499,414.19,415.0,232653,AZO
2013-06-12,416.61,417.2,415.2,416.0,255938,AZO
2013-06-13,416.87,419.91,415.07,419.5,238112,AZO
2013-06-14,419.46,424.99,418.72,423.34,210650,AZO
2013-06-17,429.81,429.81,420.48,424.83,350665,AZO
2013-06-18,424.93,425.33,420.7801,425.33,144815,AZO
2013-06-19,424.88,426.636,420.34,420.75,137816,AZO
2013-06-20,417.63,421.16,412.29,412.65,304098,AZO
2013-06-21,415.28,415.28,408.6,411.98,365650,AZO
2013-06-24,408.18,419.28,405.71,414.99,243776,AZO
2013-06-25,417.56,422.93,417.17,421.48,234567,AZO
2013-06-26,420.75,421.29,412.84,413.99,482180,AZO
2013-06-27,415.65,424.41,415.65,422.87,221871,AZO
2013-06-28,423.54,427.67,418.37,423.69,365489,AZO
2013-07-01,424.44,428.84,423.3201,425.27,125030,AZO
2013-07-02,424.45,427.59,422.08,424.2,211096,AZO
2013-07-03,421.75,426.96,421.48,423.88,102946,AZO
2013-07-05,427.15,430.15,422.71,428.52,123509,AZO
2013-07-08,429.09,437.23,429.09,434.91,283308,AZO
2013-07-09,436.52,437.21,431.43,434.56,217013,AZO
2013-07-10,433.83,433.98,428.88,433.48,128685,AZO
2013-07-11,436.84,441.18,435.95,441.0,294406,AZO
2013-07-12,441.5,441.5,436.42,439.3,101696,AZO
2013-07-15,438.68,439.92,434.4,438.0,138772,AZO
2013-07-16,437.53,440.02,430.91,433.71,187744,AZO
2013-07-17,435.49,437.56,429.26,430.0,219958,AZO
2013-07-18,431.61,436.69,429.58,435.32,260164,AZO
2013-07-19,436.83,441.2,434.11,435.97,160076,AZO
2013-07-22,435.6,439.54,432.01,437.72,111629,AZO
2013-07-23,438.27,439.99,435.71,438.45,131812,AZO
2013-07-24,438.42,440.0,434.29,436.35,170007,AZO
2013-07-25,439.1,440.5,434.27,438.02,318071,AZO
2013-07-26,437.11,440.75,435.05,439.66,192960,AZO
2013-07-29,437.59,441.48,435.2838,440.73,126039,AZO
2013-07-30,441.5,446.43,438.8825,444.69,196190,AZO
2013-07-31,444.04,452.185,443.2501,448.58,364278,AZO
2013-08-01,447.58,452.15,445.95,447.99,290607,AZO
2013-08-02,447.8,450.03,446.01,448.04,292616,AZO
2013-08-05,446.99,449.29,446.01,448.25,178867,AZO
2013-08-06,447.15,449.22,439.34,445.01,265676,AZO
2013-08-07,435.18,437.83,432.08,435.04,329024,AZO
2013-08-08,436.23,437.11,424.43,429.02,407596,AZO
2013-08-09,428.94,432.04,424.77,429.59,229639,AZO
2013-08-12,428.22,429.87,424.446,425.6,306315,AZO
2013-08-13,426.41,436.0,425.4001,433.8,295185,AZO
2013-08-14,432.23,436.31,428.048,428.55,252513,AZO
2013-08-15,427.01,427.99,419.3,420.06,207270,AZO
2013-08-16,420.0,421.82,416.27,416.52,304352,AZO
2013-08-19,417.22,424.754,415.53,420.4,240489,AZO
2013-08-20,420.76,426.88,419.594,424.83,229741,AZO
2013-08-21,422.83,423.75,419.41,419.96,181336,AZO
2013-08-22,420.47,423.94,419.18,421.11,111695,AZO
2013-08-23,423.34,423.5,418.8,422.35,131347,AZO
2013-08-26,422.77,424.21,417.02,421.42,200607,AZO
2013-08-27,418.79,420.44,418.04,419.12,232131,AZO
2013-08-28,418.19,421.85,416.05,420.02,148692,AZO
2013-08-29,418.01,422.929,417.84,421.52,106441,AZO
2013-08-30,419.45,420.82,416.047,419.94,223616,AZO
2013-09-03,421.45,423.895,419.0,419.76,161395,AZO
2013-09-04,419.97,424.16,419.01,422.81,138738,AZO
2013-09-05,423.38,423.415,418.005,420.1,182124,AZO
