date,open,high,low,close,volume,Name
2013-02-08,236.64,238.6924,235.75,238.16,552207,BLK
2013-02-11,238.18,239.92,237.31,239.45,931857,BLK
2013-02-12,239.0,241.02,238.73,238.86,1094867,BLK
2013-02-13,240.2,243.03,239.75,242.52,985944,BLK
2013-02-14,242.37,245.65,242.36,245.57,895404,BLK
2013-02-15,246.75,247.0,242.37,242.95,1000986,BLK
2013-02-19,243.42,245.36,242.66,244.12,1005598,BLK
2013-02-20,243.54,243.98,239.0,239.12,741102,BLK
2013-02-21,238.16,238.5,235.3,236.22,955037,BLK
2013-02-22,238.0,240.88,238.0,240.87,836607,BLK
2013-02-25,242.7,243.6642,236.5,236.5,793574,BLK
2013-02-26,238.09,239.21,234.34,236.15,876756,BLK
2013-02-27,236.03,241.63,235.05,241.07,520317,BLK
2013-02-28,240.94,242.11,239.56,239.75,565899,BLK
2013-03-01,238.17,238.17,233.8,236.83,836198,BLK
2013-03-04,236.23,241.38,236.0,241.27,688723,BLK
2013-03-05,242.24,244.61,238.29,244.39,1033384,BLK
2013-03-06,245.77,250.0,245.77,249.57,1117735,BLK
2013-03-07,250.45,251.696,248.28,248.47,769440,BLK
2013-03-08,250.1,251.02,247.44,248.27,582146,BLK
2013-03-11,248.27,248.44,246.28,247.87,565160,BLK
2013-03-12,248.08,250.29,247.71,249.44,1014168,BLK
2013-03-13,250.34,254.0,249.5,253.7,776708,BLK
2013-03-14,254.89,257.77,254.11,256.04,967366,BLK
2013-03-15,255.07,256.8,254.261,256.74,982698,BLK
2013-03-18,254.11,256.53,253.43,255.25,449234,BLK
2013-03-19,255.08,256.36,250.69,253.18,565299,BLK
2013-03-20,255.25,259.5671,255.25,258.7,755049,BLK
2013-03-21,256.28,259.19,252.81,253.0,1039975,BLK
2013-03-22,253.52,254.52,252.12,253.13,692784,BLK
2013-03-25,255.0,257.33,251.44,251.82,853246,BLK
2013-03-26,252.8,258.68,252.0401,258.41,635899,BLK
2013-03-27,257.2,257.6,254.88,256.57,349838,BLK
2013-03-28,257.36,258.655,255.26,256.88,547640,BLK
2013-04-01,256.5,256.85,252.47,252.96,389573,BLK
