date,open,high,low,close,volume,Name
2013-02-08,36.5,37.03,36.49,37.03,8462351,BMY
2013-02-11,36.85,37.08,36.8,36.93,5318733,BMY
2013-02-12,36.91,36.96,36.52,36.52,6694758,BMY
2013-02-13,36.49,36.53,36.03,36.12,11953431,BMY
2013-02-14,36.06,36.7,36.04,36.58,7408473,BMY
2013-02-15,36.69,36.83,36.48,36.58,7042218,BMY
2013-02-19,36.58,36.98,36.575,36.94,5517286,BMY
2013-02-20,36.85,36.99,36.67,36.69,5774621,BMY
2013-02-21,36.61,36.78,36.51,36.69,7063247,BMY
2013-02-22,36.71,36.97,36.71,36.9,5027741,BMY
2013-02-25,36.98,37.09,36.34,36.34,7779208,BMY
2013-02-26,36.54,36.78,36.32,36.39,6692239,BMY
2013-02-27,36.42,37.22,36.31,37.1,7370021,BMY
2013-02-28,37.07,37.15,36.75,36.97,9328804,BMY
2013-03-01,36.89,37.25,36.785,37.15,9751514,BMY
2013-03-04,36.43,36.95,36.43,36.94,7199737,BMY
2013-03-05,37.0,37.6,37.0,37.57,7649907,BMY
2013-03-06,37.61,37.85,37.49,37.76,7229606,BMY
2013-03-07,37.78,37.81,37.51,37.53,7641963,BMY
2013-03-08,37.55,37.65,37.3,37.4,10461169,BMY
2013-03-11,37.29,37.66,37.26,37.52,6715191,BMY
2013-03-12,37.53,38.22,37.53,38.22,10266921,BMY
2013-03-13,38.16,38.57,37.96,38.49,9564424,BMY
2013-03-14,38.5,38.61,38.13,38.48,12371833,BMY
2013-03-15,38.47,38.98,38.26,38.96,13220684,BMY
2013-03-18,38.44,39.13,38.41,38.88,9022814,BMY
2013-03-19,38.935,39.41,38.85,39.34,9644108,BMY
2013-03-20,39.49,39.96,39.38,39.87,12524337,BMY
2013-03-21,39.81,39.9,39.68,39.71,8723522,BMY
2013-03-22,39.94,40.48,39.8,40.39,25808804,BMY
2013-03-25,40.46,40.46,39.992,40.26,26233691,BMY
2013-03-26,40.3,40.74,40.15,40.68,6776559,BMY
2013-03-27,40.49,40.835,40.36,40.78,5791773,BMY
2013-03-28,40.95,41.25,40.81,41.19,10846339,BMY
2013-04-01,41.12,41.36,40.93,41.14,6613467,BMY
2013-04-02,41.18,41.79,41.165,41.68,9125711,BMY
2013-04-03,41.22,41.37,40.95,41.07,12053575,BMY
2013-04-04,40.96,41.21,40.66,40.78,8596903,BMY
2013-04-05,40.22,40.76,40.05,40.61,6491957,BMY
2013-04-08,40.52,40.74,40.14,40.73,7201589,BMY
