date,open,high,low,close,volume,Name
2013-02-08,36.75,37.47,36.685,37.47,1137494,BWA
2013-02-11,37.375,37.67,37.22,37.465,852006,BWA
2013-02-12,37.415,37.9,37.415,37.705,2890444,BWA
2013-02-13,37.88,38.075,37.405,37.585,2573162,BWA
2013-02-14,37.45,38.35,37.085,37.57,3869736,BWA
2013-02-15,37.605,38.47,37.361,38.055,3755558,BWA
2013-02-19,38.11,38.595,38.065,38.4,2419866,BWA
2013-02-20,38.38,38.495,37.815,37.835,1697034,BWA
2013-02-21,37.61,37.715,36.81,37.19,2446448,BWA
2013-02-22,37.38,37.56,36.92,37.225,1870180,BWA
2013-02-25,37.515,37.74,36.385,36.39,1801590,BWA
2013-02-26,36.655,36.72,36.03,36.67,1287560,BWA
2013-02-27,36.66,37.56,36.415,37.42,1317096,BWA
2013-02-28,37.41,37.64,37.205,37.205,1762794,BWA
2013-03-01,36.98,37.865,36.785,37.535,2366780,BWA
2013-03-04,37.4,37.555,36.985,37.325,1231586,BWA
2013-03-05,37.55,37.825,37.455,37.76,2557700,BWA
2013-03-06,37.845,38.7675,37.79,38.59,2403828,BWA
2013-03-07,38.66,39.135,38.53,38.755,2067610,BWA
2013-03-08,38.97,39.8,38.83,39.75,1937012,BWA
2013-03-11,39.575,39.9475,39.425,39.735,1954338,BWA
2013-03-12,39.75,39.94,39.4175,39.64,1710908,BWA
2013-03-13,39.585,39.72,39.35,39.565,1396526,BWA
2013-03-14,39.67,40.03,39.49,39.965,2198102,BWA
2013-03-15,40.05,40.05,39.64,39.88,2139736,BWA
2013-03-18,39.265,39.4875,38.51,39.29,2051238,BWA
2013-03-19,39.375,39.68,38.635,38.995,2239420,BWA
2013-03-20,39.215,39.545,39.09,39.22,1649212,BWA
2013-03-21,38.8,39.0475,38.325,38.565,2487182,BWA
2013-03-22,38.755,38.795,38.0,38.21,1207994,BWA
2013-03-25,38.55,38.59,37.67,38.01,2132524,BWA
2013-03-26,38.23,38.695,37.93,38.69,1444634,BWA
2013-03-27,38.395,38.99,38.155,38.9,1431262,BWA
2013-03-28,38.795,38.98,38.275,38.67,1469682,BWA
2013-04-01,38.685,38.73,38.23,38.345,1246224,BWA
2013-04-02,38.485,38.59,37.485,37.66,2183432,BWA
2013-04-03,37.745,37.815,37.14,37.23,2649528,BWA
2013-04-04,37.33,37.425,36.27,36.995,4503328,BWA
2013-04-05,36.365,36.69,36.065,36.61,1916482,BWA
2013-04-08,36.555,36.705,36.085,36.29,2259398,BWA
2013-04-09,36.355,36.52,36.005,36.27,1871436,BWA
2013-04-10,36.43,37.38,36.36,37.36,2407814,BWA
2013-04-11,37.35,37.895,37.29,37.7,1383054,BWA
2013-04-12,37.415,37.53,37.115,37.405,1516130,BWA
2013-04-15,37.035,37.29,35.87,35.91,2046778,BWA
2013-04-16,36.36,37.08,36.295,37.04,2008290,BWA
2013-04-17,36.55,36.65,35.445,35.81,2435912,BWA
2013-04-18,35.925,36.0975,35.215,35.42,1724112,BWA
2013-04-19,35.64,36.51,35.56,36.345,1687238,BWA
2013-04-22,36.405,36.725,35.775,36.375,2308326,BWA
2013-04-23,36.5,36.715,36.2425,36.68,2523216,BWA
2013-04-24,36.79,37.605,36.675,37.585,2400968,BWA
2013-04-25,38.505,39.215,37.89,38.775,3878374,BWA
2013-04-26,39.0,39.31,38.785,38.965,2108852,BWA
2013-04-29,39.18,39.625,38.765,39.59,2254650,BWA
2013-04-30,39.59,39.69,38.92,39.085,2295920,BWA
2013-05-01,38.985,39.235,38.65,38.81,1740710,BWA
2013-05-02,38.92,39.13,38.765,38.88,1231870,BWA
2013-05-03,39.385,39.99,39.38,39.67,1675114,BWA
2013-05-06,39.585,39.915,39.545,39.68,1323826,BWA
2013-05-07,39.82,40.31,39.51,40.305,1533138,BWA
