date,open,high,low,close,volume,Name
2013-02-08,104.28,105.25,104.18,105.14,1054116,BXP
2013-02-11,104.95,105.31,104.61,105.29,1174242,BXP
2013-02-12,105.54,107.06,105.475,107.03,805054,BXP
2013-02-13,107.12,107.35,106.72,107.18,910560,BXP
2013-02-14,106.76,107.36,106.27,107.35,970096,BXP
2013-02-15,107.23,107.28,106.53,107.21,1307872,BXP
2013-02-19,107.19,107.84,106.4901,107.35,974855,BXP
2013-02-20,107.26,107.77,106.5,106.52,679891,BXP
2013-02-21,106.1,106.58,105.07,105.46,929368,BXP
2013-02-22,105.89,106.57,105.59,106.27,544676,BXP
2013-02-25,106.69,106.92,104.0,104.01,641167,BXP
2013-02-26,104.53,105.18,103.54,104.2,932548,BXP
2013-02-27,104.07,104.63,103.8,103.9,943478,BXP
2013-02-28,104.05,104.68,103.0,103.88,2099897,BXP
2013-03-01,103.57,104.3,102.18,103.52,1860107,BXP
2013-03-04,103.48,104.75,103.05,104.47,716551,BXP
2013-03-05,104.93,105.55,104.505,105.25,510318,BXP
2013-03-06,105.65,105.65,104.48,104.83,381669,BXP
2013-03-07,104.88,105.33,103.77,103.83,888761,BXP
2013-03-08,104.42,104.42,102.65,102.89,951187,BXP
2013-03-11,102.81,104.06,102.68,104.04,926671,BXP
2013-03-12,104.02,104.84,103.45,104.78,1049259,BXP
2013-03-13,104.81,105.08,104.46,104.92,777667,BXP
2013-03-14,105.04,105.9,104.9,105.67,863954,BXP
2013-03-15,105.25,105.4,104.41,105.25,1260679,BXP
2013-03-18,104.54,105.2,104.0,104.71,1344543,BXP
2013-03-19,104.59,104.88,102.5,102.81,1309407,BXP
2013-03-20,103.13,103.27,101.67,101.85,1548180,BXP
2013-03-21,101.41,101.93,100.66,100.71,1376200,BXP
2013-03-22,100.95,101.52,100.78,100.98,1098887,BXP
2013-03-25,101.35,101.76,100.62,100.89,1425597,BXP
2013-03-26,100.68,101.1,100.36,100.66,899884,BXP
2013-03-27,100.18,100.79,99.85,100.33,866060,BXP
2013-03-28,100.3,101.47,99.93,101.06,1692318,BXP
2013-04-01,100.86,101.64,100.0,100.5,782520,BXP
2013-04-02,100.99,102.36,100.93,102.14,1182300,BXP
2013-04-03,102.48,103.42,101.77,103.27,1162127,BXP
2013-04-04,103.51,105.62,103.44,105.51,1809272,BXP
2013-04-05,104.62,106.5,104.11,106.25,1200139,BXP
2013-04-08,106.18,107.78,105.27,107.73,870773,BXP
2013-04-09,107.6,108.84,106.05,108.32,1703490,BXP
2013-04-10,108.76,110.13,108.4,109.87,1481528,BXP
2013-04-11,109.79,110.84,109.79,110.51,1543523,BXP
2013-04-12,110.39,110.9,109.982,110.36,999764,BXP
2013-04-15,109.56,110.0,108.07,108.16,1936757,BXP
2013-04-16,109.99,110.1,108.41,109.53,1259728,BXP
2013-04-17,109.09,109.54,108.07,109.29,1100007,BXP
2013-04-18,109.31,109.6025,108.37,109.08,1057828,BXP
