date,open,high,low,close,volume,Name
2013-02-08,44.9,45.18,44.8,45.18,1877873,CAH
2013-02-11,45.14,45.38,45.015,45.22,1616783,CAH
2013-02-12,45.3,45.68,45.15,45.54,2351432,CAH
2013-02-13,45.72,45.95,45.27,45.44,2776799,CAH
2013-02-14,46.72,46.75,45.6,46.0,4641591,CAH
2013-02-15,46.05,46.7,46.01,46.7,5181965,CAH
2013-02-19,46.55,46.87,46.34,46.46,2973053,CAH
2013-02-20,46.5,46.63,46.0,46.07,1842773,CAH
2013-02-21,46.11,46.28,45.3,45.48,2767902,CAH
2013-02-22,45.54,45.65,45.32,45.56,2083206,CAH
2013-02-25,45.74,46.14,45.22,45.22,2378795,CAH
2013-02-26,45.44,45.76,45.3,45.69,2049324,CAH
2013-02-27,45.73,46.37,45.59,46.26,1899288,CAH
2013-02-28,46.21,46.5,46.17,46.21,1786591,CAH
2013-03-01,46.17,46.51,45.87,46.51,1425436,CAH
2013-03-04,46.36,46.47,45.98,46.25,1906701,CAH
2013-03-05,46.34,46.51,46.24,46.28,1988862,CAH
2013-03-06,46.35,46.51,46.06,46.12,1816576,CAH
2013-03-07,46.24,46.475,45.85,45.89,2677774,CAH
2013-03-08,46.0,46.3,45.92,46.28,1903622,CAH
2013-03-11,46.26,46.88,46.25,46.78,1718305,CAH
2013-03-12,46.8,47.23,46.54,46.83,1912877,CAH
2013-03-13,46.81,47.02,46.7,46.84,2453553,CAH
2013-03-14,46.87,47.1,46.74,47.09,2555724,CAH
2013-03-15,46.9,47.0,46.47,46.58,2483121,CAH
2013-03-18,46.31,46.415,45.96,46.13,2374602,CAH
2013-03-19,42.94,43.61,42.32,42.35,18453770,CAH
2013-03-20,42.33,42.57,41.42,42.14,7249450,CAH
2013-03-21,41.99,42.42,41.82,41.97,8530629,CAH
2013-03-22,41.97,42.36,41.71,42.09,7696913,CAH
2013-03-25,42.09,42.3,41.815,42.05,6005817,CAH
2013-03-26,42.32,42.35,41.91,42.18,5047231,CAH
2013-03-27,41.71,42.03,41.54,41.71,6042606,CAH
2013-03-28,41.75,41.7975,41.55,41.62,6376112,CAH
2013-04-01,41.69,42.06,41.65,41.85,3286268,CAH
2013-04-02,42.04,42.16,41.83,42.05,4994185,CAH
2013-04-03,42.17,42.56,42.11,42.38,6606051,CAH
2013-04-04,42.51,42.71,42.3,42.53,4477815,CAH
2013-04-05,42.27,42.5,42.09,42.45,5294102,CAH
2013-04-08,42.43,42.86,42.265,42.77,3167272,CAH
2013-04-09,42.88,43.02,42.685,42.88,2798004,CAH
2013-04-10,43.01,43.3,42.83,42.95,3228433,CAH
2013-04-11,43.08,43.71,42.99,43.5,2701213,CAH
2013-04-12,43.36,43.47,43.19,43.27,1588915,CAH
2013-04-15,43.42,43.615,42.99,43.01,3089214,CAH
2013-04-16,43.18,43.26,42.68,43.12,2858387,CAH
2013-04-17,43.0,43.07,42.48,42.59,1960302,CAH
2013-04-18,42.58,42.82,42.4,42.7,2049248,CAH
2013-04-19,42.82,43.08,42.5,43.07,3336474,CAH
2013-04-22,43.15,43.61,42.79,43.38,2174919,CAH
2013-04-23,43.57,44.06,43.45,43.8,2480727,CAH
2013-04-24,43.92,44.43,43.92,44.39,2942454,CAH
2013-04-25,45.56,45.92,44.125,44.22,6995716,CAH
2013-04-26,44.21,44.27,43.54,43.98,3721971,CAH
2013-04-29,44.02,44.23,43.83,44.0,1989061,CAH
2013-04-30,44.08,44.36,43.615,44.22,3740969,CAH
2013-05-01,44.22,44.86,43.895,43.94,4496173,CAH
2013-05-02,44.5,46.24,44.5,46.16,5095970,CAH
2013-05-03,46.39,46.82,46.23,46.39,2760723,CAH
2013-05-06,46.05,46.34,45.9,45.96,2824711,CAH
2013-05-07,45.97,46.465,45.93,46.45,2258159,CAH
2013-05-08,46.37,46.66,46.04,46.37,4289754,CAH
2013-05-09,46.42,46.46,45.94,46.03,2176486,CAH
2013-05-10,46.03,46.44,46.03,46.36,1708999,CAH
2013-05-13,46.46,46.46,46.13,46.16,1259026,CAH
2013-05-14,46.1,46.56,46.1,46.26,2677798,CAH
2013-05-15,46.32,47.05,46.29,46.77,2390473,CAH
2013-05-16,46.87,47.25,46.83,47.0,5242304,CAH
2013-05-17,47.03,47.79,47.03,47.79,5090839,CAH
2013-05-20,47.7,48.4,47.68,48.02,2409217,CAH
2013-05-21,48.09,48.3,47.74,47.96,3429174,CAH
2013-05-22,48.0,48.22,47.455,47.59,3861799,CAH
2013-05-23,47.31,47.52,46.94,47.17,2660444,CAH
2013-05-24,47.1,47.37,46.6,47.17,1744714,CAH
2013-05-28,47.47,47.86,47.18,47.28,1513136,CAH
2013-05-29,47.05,47.2,46.58,47.09,1972442,CAH
2013-05-30,47.1,47.825,47.03,47.67,1707141,CAH
2013-05-31,47.52,47.86,46.96,46.96,3253394,CAH
2013-06-03,47.07,47.26,46.81,47.23,1813350,CAH
2013-06-04,47.14,47.49,46.16,46.49,3010051,CAH
2013-06-05,46.37,46.725,45.96,46.02,2436417,CAH
2013-06-06,46.26,46.34,45.59,46.13,2294383,CAH
2013-06-07,46.48,46.9,46.4,46.9,2444528,CAH
2013-06-10,46.99,47.19,46.54,46.84,1946685,CAH
2013-06-11,46.47,47.42,46.44,46.99,3170941,CAH
2013-06-12,47.25,47.56,47.13,47.16,2822740,CAH
2013-06-13,47.13,47.95,46.85,47.9,2224822,CAH
2013-06-14,47.81,48.37,47.69,47.83,1866223,CAH
2013-06-17,48.09,48.43,47.95,48.25,2221854,CAH
2013-06-18,48.37,48.79,48.21,48.76,2490130,CAH
2013-06-19,48.81,48.99,48.18,48.37,3433472,CAH
2013-06-20,48.02,48.08,46.91,47.07,3395250,CAH
2013-06-21,47.78,48.38,47.21,47.23,4281912,CAH
2013-06-24,47.03,47.14,46.42,46.58,2769724,CAH
2013-06-25,46.96,47.0,46.32,46.64,2564072,CAH
2013-06-26,47.02,48.13,46.7,47.93,3189258,CAH
2013-06-27,47.77,48.15,47.66,47.72,1900671,CAH
2013-06-28,47.71,47.94,47.2,47.2,6542108,CAH
2013-07-01,47.54,47.9,47.1,47.59,1974604,CAH
2013-07-02,47.58,47.68,46.66,47.02,2377497,CAH
2013-07-03,46.78,47.43,46.52,47.3,953984,CAH
2013-07-05,47.61,47.78,47.06,47.58,879421,CAH
2013-07-08,47.82,47.9,47.48,47.54,2006601,CAH
2013-07-09,47.75,48.18,47.7,48.01,1991363,CAH
2013-07-10,48.03,48.93,48.01,48.79,2392448,CAH
2013-07-11,49.01,49.58,48.72,49.54,2235821,CAH
2013-07-12,49.59,49.63,49.22,49.61,1863721,CAH
2013-07-15,49.59,49.99,49.57,49.74,1228508,CAH
2013-07-16,49.7,49.7899,49.2,49.22,1637100,CAH
2013-07-17,49.49,49.73,49.21,49.55,1474537,CAH
2013-07-18,49.64,50.17,49.64,50.16,2154659,CAH
2013-07-19,50.16,50.53,49.74,50.52,4004763,CAH
2013-07-22,50.47,50.59,50.1,50.52,1289519,CAH
2013-07-23,50.57,50.64,50.15,50.18,1249204,CAH
