date,open,high,low,close,volume,Name
2013-02-08,96.1,97.5,96.1,96.85,3934113,CAT
2013-02-11,96.96,96.99,96.3,96.6,2739107,CAT
2013-02-12,96.67,97.41,96.67,97.22,4148908,CAT
2013-02-13,97.09,97.5,96.02,96.38,3718446,CAT
2013-02-14,96.06,96.68,95.68,96.07,3586223,CAT
2013-02-15,96.26,96.42,95.285,95.61,4377039,CAT
2013-02-19,95.74,96.37,95.13,95.6,4368744,CAT
2013-02-20,95.0,95.1,93.05,93.22,8571002,CAT
2013-02-21,92.76,92.79,90.57,91.53,7194805,CAT
2013-02-22,91.99,92.49,91.05,91.54,5851773,CAT
2013-02-25,91.81,92.22,89.08,89.16,7540211,CAT
2013-02-26,89.59,90.2,88.5,89.95,7114351,CAT
2013-02-27,90.06,92.36,90.06,92.25,6147936,CAT
2013-02-28,92.49,93.16,92.23,92.37,5447668,CAT
2013-03-01,91.54,91.96,90.13,91.36,4924799,CAT
2013-03-04,90.61,90.75,89.19,89.75,6350663,CAT
2013-03-05,90.49,91.2762,89.99,90.21,5328398,CAT
2013-03-06,90.97,91.05,89.41,89.64,7134853,CAT
2013-03-07,89.9,90.4,89.27,89.65,4737340,CAT
2013-03-08,90.43,90.72,90.01,90.51,5084843,CAT
2013-03-11,90.49,91.52,90.1,91.18,4846141,CAT
2013-03-12,91.16,91.16,89.4,89.74,6593128,CAT
2013-03-13,89.8,89.9099,89.13,89.28,5836031,CAT
2013-03-14,89.47,89.55,88.17,88.7,7327796,CAT
2013-03-15,88.61,89.25,88.11,88.83,7385212,CAT
2013-03-18,87.89,90.02,87.67,89.36,7159784,CAT
2013-03-19,89.4,89.4,87.44,88.27,7488353,CAT
2013-03-20,87.61,87.88,86.42,86.94,9378579,CAT
2013-03-21,86.43,87.32,86.43,86.83,5447976,CAT
2013-03-22,87.01,87.63,86.97,87.48,5109453,CAT
2013-03-25,87.93,87.96,86.05,86.64,6685177,CAT
2013-03-26,87.06,87.39,86.66,87.0,4172989,CAT
2013-03-27,86.43,87.16,85.8,86.9,4839011,CAT
2013-03-28,87.05,87.98,86.65,86.97,6207620,CAT
2013-04-01,86.86,86.94,85.41,85.64,5669342,CAT
2013-04-02,86.0199,86.02,84.47,84.88,6514236,CAT
2013-04-03,83.91,84.62,83.6,84.12,9221157,CAT
2013-04-04,84.17,84.73,83.84,84.63,7645981,CAT
2013-04-05,83.41,85.36,83.05,84.6,8987802,CAT
2013-04-08,84.69,85.35,83.71,84.19,6722921,CAT
2013-04-09,84.38,86.646,84.05,85.9,10514160,CAT
2013-04-10,86.38,86.8801,85.9,86.57,6258603,CAT
2013-04-11,86.89,87.0,85.3,85.7,6919991,CAT
2013-04-12,84.99,85.33,84.3,85.05,4935134,CAT
2013-04-15,84.24,84.33,81.9119,82.27,10332326,CAT
2013-04-16,83.63,83.73,82.12,82.61,6566961,CAT
2013-04-17,81.54,81.62,80.62,81.47,9404876,CAT
2013-04-18,81.34,81.34,80.05,80.46,6875239,CAT
2013-04-19,80.95,81.16,80.01,80.43,6999934,CAT
2013-04-22,81.24,83.13,79.49,82.71,18400655,CAT
2013-04-23,83.91,84.72,82.74,84.1,12895631,CAT
2013-04-24,84.28,84.65,83.29,83.78,7021914,CAT
2013-04-25,84.7,85.02,84.0238,84.51,6552773,CAT
2013-04-26,84.35,85.08,84.25,84.68,5837246,CAT
2013-04-29,85.11,85.5,84.07,84.8,6066783,CAT
2013-04-30,84.81,85.38,83.365,84.67,6954737,CAT
2013-05-01,84.07,84.35,82.66,83.08,11607025,CAT
2013-05-02,83.34,84.56,83.1,84.26,5799398,CAT
2013-05-03,85.59,87.48,85.48,86.98,11884751,CAT
2013-05-06,87.13,87.95,86.88,87.59,6380833,CAT
2013-05-07,88.11,89.81,87.91,89.79,10404955,CAT
2013-05-08,89.76,90.4,89.1801,90.31,7428022,CAT
2013-05-09,89.98,90.69,89.55,89.95,5165618,CAT
2013-05-10,89.96,90.2499,87.9,88.62,6967800,CAT
2013-05-13,88.19,88.49,87.75,88.07,5483818,CAT
2013-05-14,87.82,88.0,86.86,87.55,6858676,CAT
2013-05-15,86.97,87.18,86.44,87.0,6924156,CAT
2013-05-16,86.55,87.65,86.1,86.78,8192260,CAT
2013-05-17,87.39,87.8595,87.1,87.67,6692372,CAT
2013-05-20,87.57,88.75,87.27,88.33,5542184,CAT
2013-05-21,88.65,88.98,87.73,88.1,4732467,CAT
2013-05-22,88.09,89.09,87.15,87.7,6472099,CAT
2013-05-23,86.03,87.38,85.78,86.95,6025630,CAT
2013-05-24,86.26,86.72,85.77,86.21,4637351,CAT
2013-05-28,87.04,87.39,85.9,86.19,5800396,CAT
2013-05-29,85.73,86.66,85.33,86.49,4724389,CAT
2013-05-30,86.47,87.0,85.99,86.41,3509059,CAT
2013-05-31,86.23,86.95,85.8,85.8,5273688,CAT
2013-06-03,85.91,86.3,85.74,86.13,6092678,CAT
2013-06-04,85.95,86.4699,85.44,85.92,5105609,CAT
2013-06-05,85.47,85.73,84.23,84.42,7354515,CAT
2013-06-06,84.3,84.31,83.3,84.0,7008449,CAT
2013-06-07,84.65,85.37,83.635,84.65,5474875,CAT
2013-06-10,84.71,84.77,83.63,83.8,4965103,CAT
2013-06-11,83.03,83.97,82.63,83.52,5277167,CAT
2013-06-12,84.17,84.3782,83.01,83.21,4746785,CAT
2013-06-13,83.32,85.28,83.19,85.14,6333612,CAT
2013-06-14,85.01,85.14,83.4,83.87,5147348,CAT
2013-06-17,83.55,84.43,83.42,83.92,4388447,CAT
2013-06-18,84.09,84.87,83.96,84.55,3723840,CAT
2013-06-19,84.5,85.29,84.25,84.25,4710491,CAT
2013-06-20,83.19,83.68,82.35,83.2,7628785,CAT
2013-06-21,84.02,84.02,81.93,83.12,9736764,CAT
2013-06-24,82.06,82.25,80.855,81.52,7525516,CAT
2013-06-25,82.34,82.68,81.97,82.33,6250146,CAT
2013-06-26,82.92,83.43,81.7,82.1,6952383,CAT
2013-06-27,82.55,83.17,82.55,82.96,4658672,CAT
2013-06-28,82.76,83.19,82.31,82.49,8450331,CAT
2013-07-01,83.04,83.25,82.2723,82.72,4676582,CAT
2013-07-02,82.77,83.59,82.04,82.48,3660214,CAT
2013-07-03,82.15,82.5,81.56,81.85,2928807,CAT
2013-07-05,82.53,82.63,81.4,82.14,4824407,CAT
2013-07-08,82.4,83.2,82.25,83.2,4880140,CAT
2013-07-09,84.07,86.25,83.72,85.33,7883877,CAT
2013-07-10,85.42,85.77,84.79,84.96,4248398,CAT
2013-07-11,86.46,86.89,86.1,86.7,5434186,CAT
2013-07-12,86.63,87.27,86.54,87.17,4875862,CAT
2013-07-15,87.24,88.03,87.19,87.4,4162650,CAT
2013-07-16,87.72,88.53,87.42,88.17,5432484,CAT
2013-07-17,88.45,89.0,85.88,86.67,15076162,CAT
2013-07-18,85.88,86.6,85.42,85.72,7046291,CAT
2013-07-19,85.45,85.885,85.15,85.65,5086165,CAT
2013-07-22,85.38,86.55,85.38,86.0,4836734,CAT
2013-07-23,85.49,86.38,85.12,85.52,6890936,CAT
2013-07-24,84.58,85.28,82.635,83.44,16600606,CAT
2013-07-25,82.05,82.58,81.35,82.14,9936238,CAT
2013-07-26,81.88,82.08,81.435,82.06,5728374,CAT
2013-07-29,82.42,83.3499,82.0,83.02,9068770,CAT
2013-07-30,83.47,83.75,82.662,83.19,5265987,CAT
2013-07-31,83.58,83.9,82.84,82.91,7012868,CAT
2013-08-01,83.62,84.81,83.115,84.44,6573029,CAT
2013-08-02,84.29,84.68,83.5,84.3,4853599,CAT
2013-08-05,84.11,84.29,83.5,83.56,3758426,CAT
2013-08-06,83.31,83.32,82.1522,82.53,7223850,CAT
2013-08-07,82.38,82.77,81.8,82.43,4292401,CAT
2013-08-08,82.95,84.59,82.92,83.96,6400595,CAT
2013-08-09,83.8,84.79,83.5,84.51,5478617,CAT
2013-08-12,84.19,86.45,84.06,86.32,8608268,CAT
2013-08-13,86.62,87.43,86.4501,86.57,6710299,CAT
2013-08-14,86.86,87.0,85.71,85.82,4462937,CAT
2013-08-15,84.96,86.53,84.88,85.86,5139275,CAT
2013-08-16,85.85,86.4,85.14,85.16,4706496,CAT
2013-08-19,85.15,85.497,83.95,84.2,3766035,CAT
2013-08-20,83.8,84.46,83.27,83.86,4689843,CAT
2013-08-21,83.52,83.85,82.83,82.94,5562553,CAT
2013-08-22,83.31,84.49,83.06,84.17,4740045,CAT
2013-08-23,84.38,84.4,83.4,83.89,4487260,CAT
2013-08-26,83.98,84.78,83.52,83.56,4122903,CAT
2013-08-27,82.88,83.54,82.48,82.7,5570637,CAT
2013-08-28,81.81,82.66,81.46,82.45,6763608,CAT
2013-08-29,82.5,83.06,82.02,82.53,3706364,CAT
2013-08-30,82.59,82.76,82.21,82.54,4425663,CAT
2013-09-03,83.15,83.54,81.72,82.51,7544170,CAT
2013-09-04,82.75,83.7442,82.3,83.54,4482128,CAT
