date,open,high,low,close,volume,Name
2013-02-08,42.41,42.85,42.38,42.83,5285592,CBS
2013-02-11,42.7,42.73,42.05,42.28,4554939,CBS
2013-02-12,42.4,43.21,42.37,43.21,6166218,CBS
2013-02-13,43.37,43.47,42.38,42.67,5312608,CBS
2013-02-14,42.43,43.1,42.2,42.94,9110084,CBS
2013-02-15,43.09,45.87,42.99,44.64,15734099,CBS
2013-02-19,44.63,45.09,44.57,44.88,7259365,CBS
2013-02-20,44.75,45.01,43.78,43.82,7170724,CBS
2013-02-21,43.6,43.85,43.23,43.41,6876233,CBS
2013-02-22,43.55,43.55,42.955,43.37,6316518,CBS
2013-02-25,43.48,43.63,42.36,42.36,7142310,CBS
2013-02-26,42.4,42.62,42.05,42.49,10645049,CBS
2013-02-27,42.53,44.02,42.53,43.8,10419973,CBS
2013-02-28,43.61,43.68,42.87,43.39,10477740,CBS
2013-03-01,42.93,43.63,42.91,43.55,7521188,CBS
2013-03-04,43.31,43.87,43.1931,43.78,6451066,CBS
2013-03-05,44.11,45.18,42.8,44.88,10590326,CBS
2013-03-06,45.02,45.49,44.44,44.81,6313221,CBS
2013-03-07,44.51,45.64,44.48,44.98,8036600,CBS
2013-03-08,45.15,46.13,45.15,46.0,7999248,CBS
2013-03-11,45.86,46.1,45.55,45.9,4325459,CBS
2013-03-12,45.83,46.0,45.44,45.92,4209615,CBS
2013-03-13,46.0,46.02,45.45,45.94,4647885,CBS
2013-03-14,46.33,47.42,46.21,46.95,9221910,CBS
2013-03-15,46.78,47.13,46.59,46.76,6936126,CBS
2013-03-18,46.03,46.88,45.52,46.54,5859664,CBS
2013-03-19,46.69,46.95,45.505,45.75,8394524,CBS
2013-03-20,46.2,46.54,46.095,46.28,7360500,CBS
2013-03-21,45.86,46.46,45.765,45.89,6177443,CBS
2013-03-22,46.19,46.48,45.83,45.98,7168353,CBS
2013-03-25,46.06,46.3,45.29,45.42,7587442,CBS
2013-03-26,45.56,45.96,45.19,45.71,6117404,CBS
2013-03-27,45.45,46.28,45.34,46.16,4105834,CBS
2013-03-28,46.35,46.8,46.12,46.69,5958366,CBS
2013-04-01,46.73,47.03,45.33,45.74,9449072,CBS
2013-04-02,45.86,45.995,45.38,45.51,7122188,CBS
2013-04-03,45.64,45.845,44.62,44.84,8530841,CBS
2013-04-04,44.77,45.52,44.73,44.92,6933476,CBS
2013-04-05,44.25,45.38,43.77,45.2,8296698,CBS
2013-04-08,45.22,46.215,45.12,46.19,7021912,CBS
2013-04-09,46.34,46.49,45.61,45.86,5262674,CBS
2013-04-10,46.04,46.68,45.99,46.61,5757170,CBS
2013-04-11,46.52,46.96,46.235,46.3,4563852,CBS
2013-04-12,46.05,46.76,46.04,46.57,4808878,CBS
2013-04-15,46.14,46.34,44.89,44.96,5201776,CBS
2013-04-16,45.35,46.31,45.251,46.17,4102951,CBS
2013-04-17,45.81,46.02,45.19,45.44,5428538,CBS
2013-04-18,45.43,45.73,44.52,44.71,6696715,CBS
2013-04-19,44.83,46.14,44.6,46.06,7563981,CBS
2013-04-22,46.27,47.15,46.22,46.95,4959652,CBS
2013-04-23,47.08,47.125,45.93,46.75,6603449,CBS
2013-04-24,46.88,47.14,45.94,46.06,4478146,CBS
2013-04-25,46.11,46.38,45.75,45.97,6974277,CBS
2013-04-26,45.97,46.52,45.79,46.27,4845911,CBS
2013-04-29,46.36,46.87,46.14,46.28,4432154,CBS
2013-04-30,46.28,46.57,45.28,45.78,8811063,CBS
2013-05-01,45.75,46.94,45.47,46.4,7927250,CBS
2013-05-02,47.02,48.3,46.81,47.35,10445637,CBS
2013-05-03,47.68,47.97,47.33,47.4,9128915,CBS
2013-05-06,47.42,47.535,47.14,47.17,3705708,CBS
2013-05-07,47.21,47.72,47.13,47.65,3395473,CBS
2013-05-08,47.5,47.59,46.67,46.95,5899060,CBS
2013-05-09,46.94,47.2,46.74,46.9,4401712,CBS
2013-05-10,46.95,47.77,46.95,47.75,4817942,CBS
2013-05-13,47.56,49.055,47.54,48.98,6783900,CBS
2013-05-14,49.0201,50.73,49.02,50.03,9564828,CBS
2013-05-15,49.76,50.42,49.6,50.4,5072763,CBS
2013-05-16,50.33,50.665,49.56,49.56,7089373,CBS
2013-05-17,50.19,51.54,50.13,51.53,8501276,CBS
2013-05-20,51.44,51.53,50.93,51.05,5021053,CBS
2013-05-21,51.0,51.35,50.56,51.03,4126631,CBS
2013-05-22,51.05,52.46,50.84,51.26,7656412,CBS
2013-05-23,50.63,51.29,50.01,51.06,4752354,CBS
2013-05-24,50.57,50.91,50.27,50.75,3782405,CBS
2013-05-28,51.35,51.84,51.015,51.3,3633406,CBS
2013-05-29,50.89,50.95,49.86,50.45,4293573,CBS
2013-05-30,50.56,51.27,50.26,50.3,4710170,CBS
2013-05-31,50.22,50.91,49.5,49.5,5448417,CBS
2013-06-03,49.5,49.7,48.651,49.59,4559510,CBS
2013-06-04,49.4,50.13,48.49,49.11,5145802,CBS
2013-06-05,49.03,49.18,47.92,48.22,5380909,CBS
2013-06-06,48.24,48.86,47.69,48.84,5713020,CBS
2013-06-07,47.84,48.96,47.61,48.03,10329506,CBS
2013-06-10,48.26,48.53,47.64,47.79,5046316,CBS
2013-06-11,47.38,47.62,46.84,47.09,5977822,CBS
2013-06-12,47.3,47.68,45.61,45.92,8408451,CBS
2013-06-13,46.05,47.5,45.77,47.36,9505580,CBS
2013-06-14,47.21,48.09,47.05,47.72,6243002,CBS
2013-06-17,47.91,48.09,47.52,47.79,5491024,CBS
2013-06-18,47.85,49.21,47.81,48.75,4363546,CBS
2013-06-19,48.7,49.09,48.38,48.38,6413029,CBS
2013-06-20,48.0,48.07,46.75,46.93,6302912,CBS
2013-06-21,47.4,47.61,46.4,46.89,8170086,CBS
2013-06-24,46.37,47.02,45.78,46.66,4965485,CBS
2013-06-25,47.26,48.31,47.03,47.93,4831341,CBS
2013-06-26,48.31,48.71,47.97,48.43,2692743,CBS
2013-06-27,48.66,49.15,48.56,48.8,2767183,CBS
2013-06-28,48.7,49.5,48.66,48.87,9529283,CBS
2013-07-01,48.89,49.41,48.64,48.73,5136216,CBS
2013-07-02,48.72,49.64,48.4526,49.11,4155085,CBS
2013-07-03,48.68,49.85,48.68,49.76,2150760,CBS
2013-07-05,50.0,50.39,49.815,50.06,2645331,CBS
2013-07-08,50.24,50.89,50.19,50.86,4344380,CBS
2013-07-09,51.15,51.82,51.05,51.29,3949525,CBS
2013-07-10,51.2,51.58,50.89,51.17,3041704,CBS
2013-07-11,52.12,52.19,51.16,51.41,4803895,CBS
2013-07-12,51.39,52.98,51.31,52.89,4832760,CBS
2013-07-15,52.78,53.18,52.44,53.13,4579054,CBS
2013-07-16,53.15,53.59,52.355,52.68,4153779,CBS
2013-07-17,52.96,53.18,52.41,52.63,2783244,CBS
2013-07-18,52.9,53.84,52.88,53.54,3492363,CBS
2013-07-19,53.81,53.81,52.13,52.5,4929222,CBS
2013-07-22,52.63,52.79,52.1,52.55,3793702,CBS
2013-07-23,52.65,53.08,52.16,52.47,2769311,CBS
2013-07-24,52.72,53.13,52.11,52.48,3089708,CBS
2013-07-25,52.4,52.63,51.93,52.49,2324236,CBS
2013-07-26,52.54,53.78,52.38,53.5,4772041,CBS
2013-07-29,53.48,53.7,52.29,52.39,3800150,CBS
2013-07-30,52.5,52.87,52.14,52.33,3063400,CBS
2013-07-31,52.1,53.36,52.1,52.84,6453077,CBS
2013-08-01,54.24,55.5799,53.96,54.88,8659133,CBS
2013-08-02,54.6,55.0,53.87,54.53,4198146,CBS
2013-08-05,54.21,54.64,53.72,53.86,3848778,CBS
2013-08-06,53.91,54.13,53.26,54.0,3840609,CBS
2013-08-07,53.91,54.1,53.41,53.63,2907269,CBS
2013-08-08,54.1,54.47,53.8,54.04,3024568,CBS
2013-08-09,53.91,54.26,53.38,53.55,1723852,CBS
2013-08-12,53.21,53.9,53.02,53.68,1560968,CBS
2013-08-13,53.8,53.84,53.16,53.65,1335408,CBS
2013-08-14,53.49,53.66,52.44,53.01,4881776,CBS
2013-08-15,52.47,52.48,51.51,51.97,5643022,CBS
2013-08-16,51.74,52.19,51.56,51.68,3014292,CBS
2013-08-19,51.6,51.66,50.895,51.09,5589753,CBS
2013-08-20,50.98,51.97,50.97,51.55,2798927,CBS
2013-08-21,51.38,51.42,50.51,50.85,3281900,CBS
2013-08-22,51.74,53.06,51.55,52.74,4423705,CBS
2013-08-23,52.73,53.26,52.12,53.2,3113419,CBS
2013-08-26,53.19,53.661,52.89,52.91,2842927,CBS
2013-08-27,52.31,52.46,51.03,51.16,4107768,CBS
2013-08-28,51.15,51.81,50.765,51.58,2444344,CBS
2013-08-29,51.27,52.36,51.1,51.57,3507832,CBS
2013-08-30,51.68,51.7,50.88,51.1,3028026,CBS
2013-09-03,52.62,53.87,52.55,53.5,5755849,CBS
2013-09-04,54.1,54.81,53.81,54.6,4041924,CBS
2013-09-05,54.48,54.8,53.83,53.94,3390051,CBS
2013-09-06,54.01,54.38,53.31,53.62,3277140,CBS
2013-09-09,53.79,54.29,53.44,53.58,3743109,CBS
2013-09-10,54.05,54.2797,53.75,54.05,2611880,CBS
2013-09-11,54.31,54.79,54.11,54.53,2831782,CBS
2013-09-12,54.51,55.67,54.37,55.26,4868497,CBS
2013-09-13,55.18,55.46,54.86,55.46,3220669,CBS
2013-09-16,56.14,56.26,55.66,55.94,3466293,CBS
2013-09-17,55.95,56.64,55.73,56.39,3501921,CBS
2013-09-18,56.41,57.05,55.72,56.81,3637083,CBS
2013-09-19,57.08,57.47,56.41,56.57,3456489,CBS
