date,open,high,low,close,volume,Name
2013-02-08,85.1,86.23,85.01,86.2,1796871,CB
2013-02-11,85.93,86.77,85.56,86.41,1333860,CB
2013-02-12,86.34,86.96,86.102,86.82,875723,CB
2013-02-13,86.89,86.98,86.25,86.66,840327,CB
2013-02-14,86.13,86.7,86.12,86.44,1201303,CB
2013-02-15,86.66,86.75,86.08,86.5,1052922,CB
2013-02-19,86.71,87.09,86.41,86.95,1224803,CB
2013-02-20,87.05,87.41,85.95,85.97,1658488,CB
2013-02-21,85.94,86.47,85.72,86.15,2009135,CB
2013-02-22,86.55,86.87,86.45,86.69,1222700,CB
2013-02-25,86.85,86.9,84.41,84.42,1373200,CB
2013-02-26,84.78,85.35,84.6,85.03,1575879,CB
2013-02-27,84.74,85.8,84.7,85.77,1383900,CB
2013-02-28,85.6,86.16,85.39,85.39,1285467,CB
2013-03-01,85.14,85.71,84.71,85.67,1030070,CB
2013-03-04,85.35,85.86,85.19,85.78,977444,CB
2013-03-05,86.14,87.09,86.14,86.75,814737,CB
2013-03-06,87.12,87.34,86.52,86.66,1161223,CB
2013-03-07,86.68,86.9999,86.56,86.62,874322,CB
2013-03-08,87.0,87.24,86.58,86.98,1301929,CB
2013-03-11,86.9,87.35,86.64,87.34,1099609,CB
2013-03-12,87.36,88.52,87.242,88.04,1952970,CB
2013-03-13,87.98,88.65,87.83,88.6,937933,CB
2013-03-14,88.71,89.06,88.591,89.06,951668,CB
2013-03-15,88.78,88.91,88.26,88.26,2134183,CB
2013-03-18,87.51,88.36,87.46,87.71,972575,CB
2013-03-19,87.77,88.15,87.3201,87.74,1327700,CB
2013-03-20,88.27,88.685,88.06,88.45,936179,CB
2013-03-21,88.06,88.555,87.61,87.69,843921,CB
2013-03-22,87.99,88.32,87.825,88.32,1088710,CB
2013-03-25,88.64,88.98,88.05,88.47,986463,CB
2013-03-26,88.08,88.38,87.67,88.29,1367583,CB
2013-03-27,87.84,88.46,87.64,88.34,955125,CB
2013-03-28,88.46,89.05,87.98,88.97,1490629,CB
2013-04-01,89.1,89.3,88.465,88.7,718091,CB
2013-04-02,89.22,89.51,88.59,88.95,1190694,CB
2013-04-03,89.02,89.34,87.86,88.01,1237727,CB
2013-04-04,88.15,89.2,88.15,89.06,1804508,CB
2013-04-05,88.12,89.04,88.01,88.98,1803687,CB
2013-04-08,88.92,90.07,88.84,90.04,1371192,CB
2013-04-09,90.5,91.17,90.14,90.53,1299312,CB
2013-04-10,90.59,91.04,90.15,90.94,1149918,CB
2013-04-11,91.21,92.28,91.11,91.91,1531472,CB
2013-04-12,91.7,91.99,91.19,91.99,1071795,CB
2013-04-15,91.76,91.76,88.76,88.81,2243311,CB
2013-04-16,89.57,89.97,89.01,89.87,1335567,CB
2013-04-17,89.43,89.56,88.53,88.91,1515851,CB
2013-04-18,89.23,89.36,88.14,88.34,1016616,CB
2013-04-19,88.24,89.17,88.09,89.03,1412387,CB
2013-04-22,89.09,89.56,88.37,89.27,1213699,CB
2013-04-23,90.47,91.75,89.73,90.0,2282270,CB
2013-04-24,90.24,90.41,89.29,89.54,1845368,CB
