date,open,high,low,close,volume,Name
2013-02-08,70.32,71.035,70.13,70.79,2500131,CCI
2013-02-11,70.74,70.74,69.99,70.03,1616172,CCI
2013-02-12,70.03,70.09,68.2,68.31,3238840,CCI
2013-02-13,68.31,68.38,67.5,68.04,4127114,CCI
2013-02-14,67.68,67.83,66.13,66.66,7042139,CCI
2013-02-15,66.68,68.0799,66.495,67.9,4525800,CCI
2013-02-19,68.0,68.15,66.7,67.04,2547260,CCI
2013-02-20,67.04,67.54,66.95,67.13,2476894,CCI
2013-02-21,66.77,68.08,66.52,68.0,3078231,CCI
2013-02-22,68.05,70.66,68.05,69.97,3815278,CCI
2013-02-25,70.25,71.72,69.56,69.57,2193746,CCI
2013-02-26,69.62,70.11,69.58,69.75,1817769,CCI
2013-02-27,69.52,70.49,69.48,70.38,2215921,CCI
2013-02-28,70.39,70.56,69.77,69.8,2515969,CCI
2013-03-01,69.71,70.37,69.42,70.14,2271095,CCI
2013-03-04,69.99,71.12,69.84,70.97,1579524,CCI
2013-03-05,71.19,71.98,71.1,71.6,1572874,CCI
2013-03-06,71.82,72.47,71.795,72.13,1609726,CCI
2013-03-07,72.0,72.46,71.79,72.08,1473555,CCI
2013-03-08,72.45,72.63,71.07,71.79,1216953,CCI
2013-03-11,71.57,71.83,71.12,71.56,1192856,CCI
2013-03-12,71.5,71.64,70.499,70.63,1736687,CCI
2013-03-13,70.63,71.19,70.29,70.96,1482506,CCI
2013-03-14,71.19,71.43,70.82,71.11,839382,CCI
2013-03-15,70.77,70.86,69.9,69.99,1951594,CCI
2013-03-18,69.41,70.11,69.035,69.66,1191933,CCI
2013-03-19,70.01,70.2804,69.65,69.99,1580685,CCI
2013-03-20,70.23,70.76,69.96,70.65,1486243,CCI
2013-03-21,70.13,71.1,70.05,70.15,1672117,CCI
2013-03-22,70.35,71.4,70.22,70.74,1341130,CCI
2013-03-25,71.0,71.24,69.95,70.41,1147633,CCI
2013-03-26,70.79,70.83,70.24,70.48,1613587,CCI
2013-03-27,70.29,70.68,69.87,70.66,1290006,CCI
2013-03-28,70.67,70.7,69.43,69.64,2783558,CCI
2013-04-01,69.69,70.17,69.63,69.79,1935682,CCI
2013-04-02,70.18,70.73,70.18,70.6,1442115,CCI
2013-04-03,70.53,70.68,69.361,69.61,1661509,CCI
2013-04-04,69.7,70.72,69.7,70.28,1478868,CCI
2013-04-05,69.69,71.02,69.5,70.83,2216956,CCI
2013-04-08,70.71,72.12,70.7,72.12,1005521,CCI
2013-04-09,72.31,72.53,71.42,72.33,1258880,CCI
2013-04-10,72.49,73.35,72.4,73.2,1406613,CCI
2013-04-11,73.18,74.05,73.101,73.7,1007452,CCI
2013-04-12,73.52,73.86,72.92,73.39,1477682,CCI
2013-04-15,73.44,74.41,73.16,73.21,1861624,CCI
2013-04-16,73.56,74.04,72.83,74.03,1547215,CCI
2013-04-17,73.69,73.79,72.745,72.83,2217840,CCI
2013-04-18,72.98,74.41,72.74,74.35,2262387,CCI
2013-04-19,74.58,75.11,74.31,75.01,1294402,CCI
2013-04-22,75.02,75.17,74.4,74.54,968577,CCI
2013-04-23,74.8,75.1,74.11,74.88,1559505,CCI
2013-04-24,74.85,74.85,73.24,73.9,1446301,CCI
2013-04-25,75.26,79.0,75.26,78.36,5052120,CCI
2013-04-26,78.35,78.6,77.37,77.38,1914851,CCI
2013-04-29,77.54,78.12,77.13,77.35,1583095,CCI
2013-04-30,77.49,77.91,76.65,77.0,2608739,CCI
2013-05-01,77.07,78.2,76.79,76.87,2552282,CCI
2013-05-02,77.29,78.21,77.15,77.48,1880923,CCI
2013-05-03,78.02,78.62,77.81,78.23,1476965,CCI
2013-05-06,78.11,78.26,77.32,77.94,1031041,CCI
2013-05-07,77.94,78.61,77.8,78.4,729620,CCI
2013-05-08,78.24,79.27,78.155,79.26,1428467,CCI
2013-05-09,79.07,79.31,78.71,79.02,1120517,CCI
2013-05-10,78.95,79.61,78.4701,78.71,914328,CCI
2013-05-13,78.49,79.3,78.47,78.69,916371,CCI
2013-05-14,79.15,81.16,78.81,79.77,1323442,CCI
2013-05-15,79.46,79.95,79.01,79.43,772500,CCI
2013-05-16,79.17,79.31,77.76,77.77,2090846,CCI
2013-05-17,77.55,78.62,77.22,77.87,2695570,CCI
2013-05-20,78.02,78.54,76.66,76.73,3060540,CCI
2013-05-21,76.97,77.07,76.48,76.88,1707862,CCI
2013-05-22,76.78,76.9,73.86,74.05,2159695,CCI
2013-05-23,73.37,73.66,72.75,73.38,2965792,CCI
2013-05-24,73.18,73.78,72.77,73.72,1729461,CCI
2013-05-28,74.51,74.98,73.22,73.33,2273601,CCI
2013-05-29,72.81,73.12,69.87,71.74,4659243,CCI
2013-05-30,71.94,72.995,71.9,72.0,2519816,CCI
2013-05-31,71.67,72.63,71.25,71.25,3280147,CCI
2013-06-03,71.25,71.45,70.52,70.87,2798825,CCI
2013-06-04,70.88,71.71,69.75,69.85,3315116,CCI
2013-06-05,69.75,70.06,69.24,69.76,3506645,CCI
2013-06-06,69.76,70.76,69.72,70.64,3515992,CCI
2013-06-07,70.09,70.825,70.09,70.28,4203487,CCI
2013-06-10,70.35,70.57,68.96,69.21,2708829,CCI
2013-06-11,68.71,69.66,68.54,69.35,2118422,CCI
2013-06-12,69.64,69.64,67.97,68.0,2261899,CCI
2013-06-13,68.28,69.78,67.7,69.74,5231938,CCI
2013-06-14,69.74,70.96,69.61,70.34,3132197,CCI
2013-06-17,70.74,70.95,70.1,70.34,2731176,CCI
2013-06-18,70.34,71.68,70.34,71.33,1573863,CCI
2013-06-19,71.26,71.38,69.46,69.54,2571593,CCI
2013-06-20,68.89,68.89,67.35,67.7,3611447,CCI
2013-06-21,68.08,68.755,67.06,68.53,3084162,CCI
2013-06-24,67.7,67.97,66.95,67.33,1967395,CCI
2013-06-25,67.91,68.68,67.58,68.32,1493679,CCI
2013-06-26,68.67,70.19,68.39,70.13,2959187,CCI
2013-06-27,70.54,73.29,70.48,72.47,4992949,CCI
2013-06-28,72.33,72.74,71.91,72.39,5258420,CCI
2013-07-01,72.5,73.29,72.19,72.31,3484318,CCI
2013-07-02,72.16,72.64,71.66,72.16,1983316,CCI
2013-07-03,71.88,72.61,71.38,72.4,925799,CCI
2013-07-05,72.65,72.65,71.005,72.21,1177959,CCI
2013-07-08,72.37,73.495,72.33,73.32,2272444,CCI
2013-07-09,73.9,73.9,72.45,72.69,2046661,CCI
2013-07-10,72.77,75.19,72.65,74.84,3507245,CCI
2013-07-11,75.9,77.46,75.9,76.72,3533445,CCI
2013-07-12,76.9,77.575,76.31,77.3,2178846,CCI
2013-07-15,77.62,78.0,76.154,77.36,1770421,CCI
2013-07-16,77.27,77.37,75.905,76.35,1970454,CCI
2013-07-17,75.52,76.55,73.87,76.44,4826419,CCI
2013-07-18,76.61,77.06,76.02,76.43,1930180,CCI
2013-07-19,76.5,77.115,76.16,76.72,1287144,CCI
2013-07-22,76.89,76.945,75.77,76.6,1372539,CCI
2013-07-23,76.94,77.22,76.415,76.85,1240863,CCI
2013-07-24,76.96,77.058,76.1625,76.72,1642357,CCI
2013-07-25,76.89,76.89,73.3357,73.69,3543781,CCI
2013-07-26,73.52,74.28,73.21,73.35,1725633,CCI
2013-07-29,73.39,73.92,72.38,72.49,2278798,CCI
2013-07-30,72.9,72.97,71.88,71.92,2001773,CCI
2013-07-31,72.35,72.59,69.36,70.25,4505218,CCI
2013-08-01,70.54,70.73,69.47,69.62,3055809,CCI
2013-08-02,69.65,70.06,69.12,69.3,3321210,CCI
2013-08-05,69.96,70.845,69.17,70.56,2457172,CCI
2013-08-06,70.35,70.47,69.51,69.79,1808219,CCI
2013-08-07,69.1,69.85,68.3,68.34,2396972,CCI
2013-08-08,68.4,68.83,68.11,68.69,1676289,CCI
2013-08-09,68.39,69.35,68.17,68.76,1605893,CCI
2013-08-12,68.37,68.77,67.13,67.44,2305569,CCI
2013-08-13,67.68,67.81,66.73,67.66,2366424,CCI
2013-08-14,67.54,67.83,67.32,67.77,1771199,CCI
2013-08-15,67.07,68.26,66.89,68.25,2461213,CCI
2013-08-16,67.97,68.48,67.76,67.91,2113255,CCI
2013-08-19,67.7,69.06,67.7,68.5,1869035,CCI
2013-08-20,68.56,69.29,68.07,68.96,1589693,CCI
2013-08-21,68.71,68.9722,68.24,68.26,1112147,CCI
2013-08-22,68.18,68.31,67.81,68.13,839215,CCI
2013-08-23,68.49,69.87,68.15,69.73,1149882,CCI
2013-08-26,69.68,70.03,68.933,68.99,800335,CCI
2013-08-27,68.44,70.2,68.44,69.95,2461051,CCI
2013-08-28,69.92,70.25,69.7,69.82,1931115,CCI
2013-08-29,69.56,70.46,69.5,69.91,888996,CCI
2013-08-30,70.1,70.24,69.21,69.42,1303484,CCI
2013-09-03,69.32,70.13,68.99,69.23,1103417,CCI
2013-09-04,69.18,70.05,69.02,69.94,1263602,CCI
2013-09-05,69.79,70.2,68.69,69.22,1716747,CCI
2013-09-06,69.59,72.0,69.52,70.55,4950030,CCI
2013-09-09,72.2,72.49,71.31,72.45,4295817,CCI
2013-09-10,72.62,73.51,72.56,73.21,2163239,CCI
2013-09-11,73.12,73.22,72.85,73.03,1211348,CCI
2013-09-12,73.06,73.06,70.79,70.83,3618687,CCI
2013-09-13,70.87,71.075,69.73,69.86,2947046,CCI
2013-09-16,70.85,71.04,70.22,70.5,2446716,CCI
2013-09-17,70.59,70.78,70.2,70.45,1723874,CCI
2013-09-18,70.1,71.08,69.28,70.6,4906298,CCI
2013-09-19,70.88,71.67,70.66,71.21,2391228,CCI
2013-09-20,71.0,71.47,70.46,70.62,2555794,CCI
2013-09-23,70.41,71.05,70.36,70.65,1341463,CCI
2013-09-24,70.74,70.86,70.25,70.33,1160799,CCI
2013-09-25,70.28,71.44,70.06,71.43,1701667,CCI
2013-09-26,71.56,73.065,71.53,73.0,2189801,CCI
2013-09-27,72.96,73.28,72.51,72.71,2116107,CCI
2013-09-30,72.51,73.14,71.98,73.03,1823791,CCI
2013-10-01,73.21,73.21,71.92,72.13,2169920,CCI
2013-10-02,71.65,72.03,71.31,71.57,1829481,CCI
2013-10-03,71.35,71.57,70.89,71.1,2156561,CCI
2013-10-04,71.21,71.65,70.4,70.66,1748083,CCI
2013-10-07,71.11,71.7,70.52,71.3,986309,CCI
2013-10-08,71.15,71.26,70.01,70.26,1150936,CCI
2013-10-09,70.47,70.75,69.87,70.44,2385101,CCI
2013-10-10,70.8,71.11,69.995,70.81,1927153,CCI
2013-10-11,70.84,71.41,70.46,71.37,1573088,CCI
2013-10-14,71.05,71.94,70.96,71.93,1685040,CCI
