date,open,high,low,close,volume,Name
2013-02-08,49.425,50.43,48.955,50.065,7221802,CELG
2013-02-11,50.435,50.78,49.675,49.97,6359528,CELG
2013-02-12,50.0,50.21,49.445,49.48,4430198,CELG
2013-02-13,49.535,49.7,48.95,49.535,4529200,CELG
2013-02-14,49.585,50.0996,49.275,49.755,4828280,CELG
2013-02-15,49.715,49.85,49.27,49.385,5272566,CELG
2013-02-19,49.375,50.28,49.31,50.23,4742648,CELG
2013-02-20,50.995,51.845,50.195,50.2,12258622,CELG
2013-02-21,50.145,50.145,48.9226,49.715,7427524,CELG
2013-02-22,49.795,51.14,49.725,50.825,6836096,CELG
2013-02-25,50.9201,51.0,49.45,49.5,6471922,CELG
2013-02-26,49.385,50.25,49.375,49.725,4743164,CELG
2013-02-27,49.54,50.82,49.31,50.52,4923366,CELG
2013-02-28,50.525,52.57,50.425,51.635,12035458,CELG
2013-03-01,51.625,52.9113,51.265,52.81,7980034,CELG
2013-03-04,51.585,52.83,51.25,52.78,9731178,CELG
2013-03-05,52.625,54.255,52.5875,54.185,8083526,CELG
2013-03-06,54.295,55.4,54.295,55.015,9501458,CELG
2013-03-07,55.185,55.185,54.49,55.09,5220148,CELG
2013-03-08,55.365,55.9,54.975,55.68,5473756,CELG
2013-03-11,55.74,56.045,55.335,55.96,6725002,CELG
2013-03-12,56.0,56.9413,55.735,56.86,7280934,CELG
2013-03-13,56.75,57.0,56.3109,56.535,6577090,CELG
2013-03-14,56.66,57.72,56.66,57.14,6025306,CELG
2013-03-15,57.12,57.145,56.1433,56.2,9938680,CELG
2013-03-18,55.625,56.745,54.005,55.95,6453866,CELG
2013-03-19,56.19,56.275,55.145,55.52,5474116,CELG
2013-03-20,56.11,56.355,55.735,56.16,4759114,CELG
2013-03-21,55.95,56.435,55.645,56.015,3788540,CELG
2013-03-22,56.25,56.585,55.905,56.565,3297674,CELG
2013-03-25,56.445,56.855,55.535,55.895,5213110,CELG
2013-03-26,56.25,56.695,56.03,56.235,4728602,CELG
2013-03-27,55.76,56.73,55.625,56.62,4295486,CELG
2013-03-28,56.725,58.475,56.57,57.955,6724546,CELG
2013-04-01,58.255,58.97,58.145,58.52,5071904,CELG
2013-04-02,59.155,59.39,58.67,58.895,5817036,CELG
2013-04-03,58.935,59.15,57.26,57.775,6895380,CELG
2013-04-04,58.065,58.485,57.38,57.975,3753870,CELG
2013-04-05,58.05,58.9,57.505,58.215,7115558,CELG
2013-04-08,58.335,58.393,57.63,58.36,4437578,CELG
2013-04-09,58.445,58.655,57.865,58.305,3269198,CELG
2013-04-10,58.315,60.42,58.305,60.405,5174740,CELG
2013-04-11,60.875,61.9,60.805,61.495,6649510,CELG
2013-04-12,61.49,62.05,61.16,61.5,5575288,CELG
2013-04-15,61.25,61.505,60.115,60.185,6713642,CELG
2013-04-16,61.0,61.5,60.2,61.249,4944914,CELG
2013-04-17,60.72,61.285,59.94,60.67,6024778,CELG
2013-04-18,60.52,60.67,59.043,59.54,4385536,CELG
2013-04-19,59.275,61.44,59.25,61.18,6727718,CELG
2013-04-22,62.08,63.785,61.775,63.42,7524746,CELG
2013-04-23,63.905,64.26,62.69,63.0,6476706,CELG
2013-04-24,62.245,62.345,58.4,59.139,13607122,CELG
2013-04-25,60.25,60.525,58.125,58.975,10312614,CELG
2013-04-26,59.035,60.505,58.98,60.17,6498516,CELG
2013-04-29,60.14,60.46,59.16,59.235,7043274,CELG
2013-04-30,59.73,59.73,58.425,59.035,7729276,CELG
2013-05-01,58.96,59.38,58.14,58.33,6135516,CELG
2013-05-02,58.115,59.785,57.025,59.63,6690076,CELG
2013-05-03,60.11,60.95,59.905,60.82,5766534,CELG
2013-05-06,60.53,61.555,60.515,60.61,5273276,CELG
2013-05-07,60.96,61.65,60.675,60.8325,6656112,CELG
2013-05-08,60.88,62.05,60.765,61.37,5723462,CELG
2013-05-09,61.135,61.905,60.8,61.355,4812778,CELG
2013-05-10,61.715,63.735,61.62,63.73,6714172,CELG
2013-05-13,63.42,65.565,62.775,64.83,6847816,CELG
2013-05-14,64.83,65.9095,64.665,65.085,7575106,CELG
2013-05-15,64.72,65.7075,64.175,64.815,4864740,CELG
2013-05-16,64.145,64.4142,61.305,61.74,9907234,CELG
2013-05-17,62.28,62.523,60.175,62.455,8244456,CELG
2013-05-20,62.3,62.5845,61.2751,61.56,4486232,CELG
2013-05-21,61.62,62.185,61.205,61.75,4803732,CELG
2013-05-22,62.055,64.175,61.28,61.72,8399654,CELG
2013-05-23,60.75,62.485,60.275,61.82,4736584,CELG
2013-05-24,61.305,61.855,60.83,61.29,4573040,CELG
2013-05-28,62.26,63.075,61.93,62.295,4854878,CELG
2013-05-29,61.8,62.14,60.785,61.545,4293234,CELG
2013-05-30,61.44,62.71,61.325,62.275,5100834,CELG
2013-05-31,62.255,63.62,61.765,61.825,10475516,CELG
2013-06-03,62.06,62.36,58.535,60.444,9430250,CELG
2013-06-04,60.46,60.72,58.379,58.885,7382318,CELG
2013-06-05,58.515,59.075,55.89,56.1,10640110,CELG
2013-06-06,56.005,57.83,55.75,57.78,8442540,CELG
2013-06-07,58.465,60.29,58.46,60.205,7098926,CELG
2013-06-10,60.455,60.5,58.855,58.915,4792394,CELG
2013-06-11,58.255,59.945,58.01,59.375,4660472,CELG
2013-06-12,61.4,61.7233,59.0005,59.055,7595380,CELG
