date,open,high,low,close,volume,Name
2013-02-08,59.36,59.98,59.13,59.72,2604133,CHRW
2013-02-11,59.7,59.9,59.19,59.34,1939307,CHRW
2013-02-12,59.54,59.56,58.94,59.13,1537972,CHRW
2013-02-13,59.27,59.35,58.45,58.81,2011364,CHRW
2013-02-14,58.64,58.78,57.925,58.08,1947192,CHRW
2013-02-15,57.8,58.31,57.59,57.78,2303976,CHRW
2013-02-19,57.95,58.51,57.43,58.37,1932114,CHRW
2013-02-20,58.4,58.9,58.2,58.47,1875132,CHRW
2013-02-21,58.25,58.31,57.46,57.52,1777798,CHRW
2013-02-22,57.83,58.21,57.71,57.97,986785,CHRW
2013-02-25,58.19,58.35,56.73,56.77,1302462,CHRW
2013-02-26,56.92,57.24,55.805,55.98,2095106,CHRW
2013-02-27,55.98,57.57,55.98,57.19,2017755,CHRW
2013-02-28,57.19,57.56,56.9,57.02,1993365,CHRW
2013-03-01,56.74,57.4,56.61,57.06,1566163,CHRW
2013-03-04,57.06,57.26,56.27,57.06,1839367,CHRW
2013-03-05,57.17,57.83,57.07,57.54,3039007,CHRW
2013-03-06,57.6,57.77,57.15,57.23,1390015,CHRW
2013-03-07,57.37,57.82,56.79,56.93,1503281,CHRW
2013-03-08,57.16,57.54,56.96,57.0,1882107,CHRW
2013-03-11,56.99,57.52,56.95,57.0,1552154,CHRW
2013-03-12,57.05,57.81,57.05,57.35,1942670,CHRW
2013-03-13,57.32,59.16,57.13,59.07,2100121,CHRW
2013-03-14,59.07,59.3407,58.42,59.2,1222075,CHRW
2013-03-15,58.95,59.4,58.43,59.34,2334465,CHRW
2013-03-18,58.81,59.78,58.61,59.19,1273254,CHRW
2013-03-19,59.2,59.56,58.65,59.04,1352052,CHRW
2013-03-20,59.02,59.29,58.61,58.69,1396093,CHRW
2013-03-21,58.47,58.745,57.41,57.44,1277837,CHRW
2013-03-22,57.65,58.24,57.49,58.1,1487761,CHRW
2013-03-25,58.25,58.74,57.65,58.57,1700173,CHRW
2013-03-26,58.51,59.15,58.46,59.01,1171284,CHRW
2013-03-27,58.62,59.17,58.51,59.15,1241059,CHRW
2013-03-28,59.04,59.48,58.9,59.46,1488394,CHRW
2013-04-01,59.5,59.69,58.47,58.6,1254427,CHRW
2013-04-02,59.0,59.0,58.45,58.64,1383547,CHRW
2013-04-03,58.59,58.91,58.07,58.14,1446213,CHRW
2013-04-04,58.42,58.57,58.08,58.5,1244819,CHRW
2013-04-05,57.94,59.05,57.57,58.98,1206757,CHRW
2013-04-08,59.1,59.82,58.6,59.81,1131022,CHRW
2013-04-09,59.87,60.45,59.41,60.26,1368446,CHRW
2013-04-10,60.43,61.1,60.22,60.69,1500322,CHRW
2013-04-11,60.82,61.1105,60.33,60.59,848834,CHRW
2013-04-12,59.35,59.9599,57.7401,59.0,2464622,CHRW
2013-04-15,58.95,58.95,57.2598,57.51,1367404,CHRW
2013-04-16,56.79,57.21,56.13,57.17,1607213,CHRW
2013-04-17,56.63,56.84,56.02,56.58,1235367,CHRW
2013-04-18,56.82,56.8299,55.94,56.25,1129939,CHRW
2013-04-19,56.69,56.77,55.68,56.33,1306811,CHRW
2013-04-22,56.55,57.16,56.02,57.01,833843,CHRW
2013-04-23,57.15,57.71,57.14,57.41,1199525,CHRW
2013-04-24,57.68,58.02,57.48,57.65,1296413,CHRW
2013-04-25,57.94,58.56,57.84,58.2,925836,CHRW
2013-04-26,58.08,58.7567,58.01,58.44,1093692,CHRW
2013-04-29,58.49,59.015,58.4,58.84,656489,CHRW
2013-04-30,58.92,59.4,58.42,59.39,1406825,CHRW
2013-05-01,59.46,59.95,58.81,58.9,1284863,CHRW
2013-05-02,59.12,59.62,58.96,59.37,944554,CHRW
2013-05-03,59.87,60.73,59.84,60.47,1430612,CHRW
2013-05-06,60.41,60.71,60.32,60.37,1633740,CHRW
2013-05-07,60.38,61.91,60.25,61.56,2058031,CHRW
2013-05-08,56.65,57.9,56.11,57.26,4612538,CHRW
