date,open,high,low,close,volume,Name
2013-02-08,80.5,81.67,80.02,80.89,410858,CHTR
2013-02-11,80.56,80.56,79.18,79.31,365140,CHTR
2013-02-12,79.55,80.01,79.24,80.0,444225,CHTR
2013-02-13,80.87,80.91,79.675,80.03,769538,CHTR
2013-02-14,79.95,80.13,79.12,79.48,439128,CHTR
2013-02-15,79.47,79.67,79.22,79.54,680439,CHTR
2013-02-19,79.82,79.98,79.07,79.39,411383,CHTR
2013-02-20,79.49,79.74,77.93,77.99,567489,CHTR
2013-02-21,78.0,78.05,76.19,77.03,1125346,CHTR
2013-02-22,79.31,86.32,76.25,85.02,4161098,CHTR
2013-02-25,83.89,85.56,82.92,83.3,1602615,CHTR
2013-02-26,83.99,86.98,83.33,86.74,2008745,CHTR
2013-02-27,87.4,89.14,85.85,87.13,1342924,CHTR
2013-02-28,86.94,87.25,84.21,86.39,1619131,CHTR
2013-03-01,85.77,86.92,85.77,86.49,1022746,CHTR
2013-03-04,85.91,87.01,85.74,86.99,456575,CHTR
2013-03-05,86.96,87.67,86.67,87.61,859647,CHTR
2013-03-06,88.14,90.9,88.01,89.98,2069589,CHTR
2013-03-07,90.6,90.6,89.49,89.8,785968,CHTR
2013-03-08,90.0,90.34,86.76,89.06,2929876,CHTR
2013-03-11,89.14,89.49,88.69,88.95,732233,CHTR
2013-03-12,89.44,89.64,88.9,89.5,1509072,CHTR
2013-03-13,90.83,90.95,89.41,89.88,1206771,CHTR
2013-03-14,89.88,90.19,87.925,90.11,638740,CHTR
2013-03-15,90.32,90.73,89.12,90.092,1342613,CHTR
2013-03-18,88.93,99.93,88.7,98.04,5333771,CHTR
2013-03-19,99.65,100.65,97.88,100.38,4223332,CHTR
2013-03-20,101.0,106.29,100.75,105.77,2545673,CHTR
2013-03-21,104.28,104.9,101.48,102.36,2077232,CHTR
2013-03-22,102.6,103.29,102.0,103.28,2966544,CHTR
2013-03-25,103.5,103.9,102.06,102.44,1376262,CHTR
2013-03-26,102.9,103.2,102.32,102.99,903483,CHTR
2013-03-27,102.62,105.55,102.62,104.29,807206,CHTR
2013-03-28,104.43,105.068,103.84,104.18,585947,CHTR
2013-04-01,104.65,105.29,102.96,103.78,391162,CHTR
2013-04-02,104.47,105.53,103.78,103.8,527816,CHTR
2013-04-03,103.91,104.14,101.07,102.28,1098761,CHTR
2013-04-04,102.5,104.6,101.7884,104.55,892659,CHTR
2013-04-05,102.66,105.5,101.6,105.49,1063024,CHTR
2013-04-08,105.45,106.98,103.65,104.75,727449,CHTR
2013-04-09,104.83,105.09,103.11,103.58,573982,CHTR
2013-04-10,104.46,104.84,102.97,103.67,767169,CHTR
2013-04-11,103.77,104.84,103.291,104.84,489541,CHTR
2013-04-12,104.19,105.4699,104.19,105.06,526224,CHTR
