date,open,high,low,close,volume,Name
2013-02-08,61.7,62.2199,61.01,61.93,1638472,CI
2013-02-11,61.91,61.94,61.18,61.83,1486518,CI
2013-02-12,61.87,62.15,61.68,61.98,1910005,CI
2013-02-13,62.12,62.14,61.47,61.89,1729655,CI
2013-02-14,61.75,61.9,61.31,61.45,1914995,CI
2013-02-15,61.45,61.98,60.97,61.08,1585153,CI
2013-02-19,56.98,60.67,55.97,60.43,4416249,CI
2013-02-20,60.57,60.575,59.22,59.27,1877240,CI
2013-02-21,59.18,59.79,58.69,59.17,1926359,CI
2013-02-22,59.28,59.63,58.62,58.71,1283254,CI
2013-02-25,58.81,59.21,57.63,57.64,2080075,CI
2013-02-26,57.81,58.07,57.11,57.88,2299768,CI
2013-02-27,57.74,59.07,57.74,58.98,1329903,CI
2013-02-28,58.92,59.03,58.176,58.46,1616774,CI
2013-03-01,58.26,58.6,57.53,58.26,1881215,CI
2013-03-04,57.95,58.52,57.8,58.17,1645438,CI
2013-03-05,58.3,59.44,58.02,59.39,3002786,CI
2013-03-06,59.38,59.5,59.0,59.5,2259067,CI
2013-03-07,59.5,59.75,58.89,58.94,1809352,CI
2013-03-08,59.23,59.74,58.93,59.66,1268385,CI
2013-03-11,59.86,60.67,59.65,60.57,1792064,CI
2013-03-12,60.34,61.655,60.31,61.55,2606416,CI
2013-03-13,61.41,62.11,61.33,62.05,1792789,CI
2013-03-14,62.12,62.295,61.59,62.26,1533486,CI
2013-03-15,62.03,62.77,61.5432,62.63,2467367,CI
2013-03-18,62.14,62.54,61.8,62.11,1877030,CI
2013-03-19,62.4,62.66,61.85,62.21,1548353,CI
2013-03-20,62.74,63.19,61.9,62.15,2223780,CI
2013-03-21,61.9,62.14,61.51,61.74,2203246,CI
2013-03-22,61.9,62.11,61.31,61.75,1378555,CI
2013-03-25,61.91,62.47,61.47,61.61,1817045,CI
2013-03-26,61.83,62.47,61.8,62.24,1243312,CI
2013-03-27,62.03,62.64,61.872,62.52,1339791,CI
2013-03-28,62.52,62.8,62.21,62.37,1641591,CI
2013-04-01,62.31,63.42,61.8775,62.91,2555703,CI
2013-04-02,64.91,66.67,64.2601,64.75,4447484,CI
2013-04-03,64.33,65.19,63.39,63.61,2409523,CI
2013-04-04,63.71,64.57,63.58,64.08,2822400,CI
2013-04-05,63.41,64.6,63.41,64.54,2153195,CI
2013-04-08,64.2,65.24,63.63,65.24,2109486,CI
2013-04-09,65.47,65.5,64.84,64.93,1968702,CI
2013-04-10,65.11,65.53,64.73,65.27,1129294,CI
2013-04-11,65.39,65.9099,65.28,65.9,1379598,CI
2013-04-12,65.7,66.745,65.68,66.72,2020474,CI
2013-04-15,66.48,66.94,65.17,65.17,2317320,CI
2013-04-16,65.71,66.455,65.24,66.4,1584277,CI
2013-04-17,66.03,66.088,64.52,64.87,2711428,CI
2013-04-18,64.34,64.34,63.03,64.01,2416500,CI
2013-04-19,64.38,65.2,64.0375,65.15,1579022,CI
2013-04-22,65.24,65.35,64.33,65.04,1150481,CI
2013-04-23,65.38,65.96,64.83,65.64,1958994,CI
2013-04-24,65.78,66.48,65.1,65.22,1783780,CI
2013-04-25,65.58,66.18,65.54,65.72,1068545,CI
2013-04-26,65.86,66.24,65.44,65.81,1147392,CI
2013-04-29,65.83,66.145,65.69,66.07,1324237,CI
2013-04-30,66.0,66.49,65.18,66.17,1649418,CI
2013-05-01,66.2,66.92,65.33,65.38,1844311,CI
2013-05-02,66.36,68.87,66.32,68.07,2983672,CI
2013-05-03,68.43,68.49,66.9201,67.13,2476989,CI
2013-05-06,67.14,67.88,67.0,67.09,1499199,CI
2013-05-07,67.05,67.494,66.7,66.93,1760329,CI
2013-05-08,66.93,68.38,66.93,68.38,1601120,CI
2013-05-09,68.33,68.5,67.61,68.03,1373017,CI
2013-05-10,68.14,68.82,67.78,68.82,1107974,CI
2013-05-13,68.65,69.06,68.14,69.03,1300580,CI
2013-05-14,68.36,68.36,67.6,67.88,2412916,CI
2013-05-15,67.93,68.32,67.31,68.1,1546510,CI
2013-05-16,67.93,68.235,67.29,67.36,1359128,CI
2013-05-17,67.44,68.05,67.44,67.9,1545035,CI
2013-05-20,67.78,67.85,66.81,66.92,1369437,CI
2013-05-21,66.89,67.92,66.89,67.6,2138882,CI
2013-05-22,67.88,69.2,67.49,67.96,3135944,CI
2013-05-23,67.52,68.17,66.88,67.92,1822306,CI
2013-05-24,67.53,67.7,66.83,67.23,2344559,CI
2013-05-28,67.92,69.56,67.92,69.07,1974952,CI
2013-05-29,68.64,69.03,68.2,68.85,1240601,CI
2013-05-30,68.91,69.87,68.6,69.75,923902,CI
2013-05-31,69.45,69.65,67.9,67.9,1281342,CI
2013-06-03,68.02,68.08,66.31,66.94,2010783,CI
2013-06-04,66.91,67.65,66.75,67.52,1731395,CI
2013-06-05,67.3,67.65,65.77,65.97,1726496,CI
2013-06-06,65.97,66.97,65.5401,66.96,1050841,CI
2013-06-07,67.5,68.89,67.41,68.45,1405529,CI
2013-06-10,68.54,69.19,68.53,69.0,1134245,CI
2013-06-11,69.1,70.45,68.4,69.95,2952644,CI
2013-06-12,70.14,70.375,69.42,69.44,1337883,CI
2013-06-13,69.29,69.53,68.07,69.43,2100874,CI
2013-06-14,68.94,69.5,68.14,68.16,1772662,CI
2013-06-17,68.62,69.03,67.87,68.28,1776935,CI
2013-06-18,68.21,69.775,68.05,69.66,1636900,CI
2013-06-19,69.75,69.93,68.93,68.93,1561424,CI
2013-06-20,68.46,70.03,68.02,69.24,3014309,CI
2013-06-21,69.94,71.4,69.79,71.04,3842584,CI
2013-06-24,70.63,71.9,70.29,70.84,4413737,CI
2013-06-25,71.24,71.34,70.36,70.67,2426296,CI
2013-06-26,71.29,71.7,70.7,71.37,1829628,CI
2013-06-27,71.67,72.81,71.64,72.56,1851160,CI
2013-06-28,72.41,73.13,72.29,72.49,1866458,CI
2013-07-01,73.17,73.59,72.54,72.81,1753744,CI
2013-07-02,72.61,72.82,71.9,72.12,1765857,CI
2013-07-03,71.55,72.94,71.12,72.92,1088807,CI
2013-07-05,72.96,73.95,72.7,73.94,1263796,CI
2013-07-08,74.21,74.65,73.59,73.83,1808538,CI
2013-07-09,74.08,74.99,73.84,74.65,1784251,CI
2013-07-10,74.66,75.45,74.59,74.88,1525676,CI
2013-07-11,75.71,76.47,75.27,76.14,1986220,CI
2013-07-12,76.7,76.77,75.65,76.03,1334550,CI
2013-07-15,75.86,76.29,75.74,75.89,1179880,CI
2013-07-16,75.83,75.86,74.48,74.95,1615442,CI
2013-07-17,75.34,76.15,75.25,75.49,1239004,CI
2013-07-18,76.03,78.685,76.03,77.55,1730148,CI
2013-07-19,77.71,77.88,76.63,77.84,942805,CI
2013-07-22,77.84,78.87,77.5499,78.4,952521,CI
2013-07-23,78.54,78.8,77.98,78.16,1144609,CI
2013-07-24,78.54,79.25,77.81,78.11,1347437,CI
2013-07-25,77.86,78.1,77.3,78.0,1042611,CI
2013-07-26,77.57,78.2,76.74,77.57,1310074,CI
2013-07-29,77.49,77.785,77.06,77.2,881200,CI
2013-07-30,77.66,77.74,76.07,76.45,1792246,CI
2013-07-31,76.29,78.65,76.25,77.83,1832052,CI
2013-08-01,78.06,78.49,76.17,77.27,2304042,CI
2013-08-02,77.14,77.55,76.54,77.3,1382198,CI
2013-08-05,77.19,78.47,76.63,77.84,1352495,CI
2013-08-06,77.64,77.94,76.74,77.76,1943584,CI
2013-08-07,77.72,78.24,77.47,77.82,1657433,CI
2013-08-08,78.53,79.12,77.86,78.67,1345485,CI
2013-08-09,78.9,79.25,77.9601,78.44,1186673,CI
2013-08-12,78.09,78.54,77.56,78.49,1315985,CI
2013-08-13,78.79,79.33,77.67,78.97,1196787,CI
2013-08-14,78.75,78.905,77.88,77.99,1001226,CI
2013-08-15,77.38,78.06,75.79,76.71,1361741,CI
2013-08-16,76.53,77.99,76.505,77.36,1159140,CI
2013-08-19,77.31,77.89,77.31,77.43,860326,CI
2013-08-20,77.34,78.78,77.16,78.57,1144890,CI
2013-08-21,78.44,78.46,77.42,77.84,986118,CI
2013-08-22,78.01,79.45,77.91,79.08,784258,CI
2013-08-23,78.99,79.45,78.76,79.33,734886,CI
2013-08-26,79.44,79.99,79.005,79.53,980025,CI
2013-08-27,78.99,79.029,77.99,78.22,1305246,CI
2013-08-28,78.09,78.75,77.78,78.45,1533069,CI
2013-08-29,78.11,79.62,78.04,79.04,859222,CI
2013-08-30,79.33,79.59,78.41,78.69,1135022,CI
2013-09-03,79.45,80.0,78.84,79.46,1301621,CI
2013-09-04,79.3,80.45,78.92,80.34,1184095,CI
2013-09-05,80.31,81.75,80.31,81.25,1478958,CI
2013-09-06,81.39,81.66,79.95,80.83,1275263,CI
2013-09-09,80.89,81.28,80.5101,80.67,1296739,CI
2013-09-10,80.93,81.75,80.83,81.69,946075,CI
2013-09-11,81.74,82.62,81.56,82.3,1226880,CI
2013-09-12,82.47,83.18,82.205,82.67,997061,CI
2013-09-13,83.06,84.1368,83.05,83.65,1034727,CI
2013-09-16,84.3,84.68,83.81,84.27,1165899,CI
2013-09-17,84.25,84.27,83.2,83.72,1004203,CI
2013-09-18,83.61,84.0,80.36,81.25,4582854,CI
2013-09-19,81.25,81.43,76.83,77.72,4861011,CI
2013-09-20,77.84,79.49,77.73,78.59,3270266,CI
2013-09-23,78.18,78.5599,76.59,78.24,2457997,CI
2013-09-24,78.39,79.1,77.73,78.31,1624174,CI
2013-09-25,78.52,78.84,78.03,78.32,1107402,CI
2013-09-26,78.58,79.16,77.325,78.04,1546733,CI
2013-09-27,77.63,78.1,77.38,77.65,1076675,CI
2013-09-30,77.06,77.13,76.31,76.86,2021047,CI
2013-10-01,76.9,78.89,76.74,78.55,1408274,CI
2013-10-02,78.19,78.56,77.47,78.42,1286447,CI
2013-10-03,78.17,78.5,77.76,78.1,1445307,CI
2013-10-04,78.13,79.72,77.9101,79.23,1786780,CI
2013-10-07,78.44,78.84,78.13,78.14,987803,CI
2013-10-08,78.03,78.21,77.38,77.4,1384969,CI
2013-10-09,77.47,77.81,77.02,77.18,1251291,CI
2013-10-10,77.88,79.51,77.78,79.08,1379670,CI
2013-10-11,79.06,79.86,78.73,79.6,1083156,CI
2013-10-14,79.14,79.61,78.62,79.25,1375559,CI
2013-10-15,79.07,79.46,78.101,78.15,1370184,CI
2013-10-16,78.83,80.51,78.65,80.47,1564484,CI
2013-10-17,79.56,79.56,77.46,77.48,3150438,CI
2013-10-18,77.47,77.602,74.46,74.95,4564436,CI
2013-10-21,74.78,76.2,74.15,75.95,1981565,CI
2013-10-22,76.1,77.41,76.1,76.47,1255616,CI
2013-10-23,76.35,76.38,73.73,73.9,2680072,CI
2013-10-24,74.26,74.59,72.64,73.17,2122439,CI
2013-10-25,73.07,74.02,72.786,73.9,2100749,CI
2013-10-28,74.1,74.58,73.73,74.23,1621007,CI
2013-10-29,74.14,74.4,73.68,74.3,1768027,CI
2013-10-30,74.44,75.55,74.44,74.64,2264231,CI
2013-10-31,76.89,78.41,75.57,76.98,3201313,CI
2013-11-01,76.99,78.5,76.61,78.38,2513776,CI
2013-11-04,78.76,79.64,78.4,79.61,1806780,CI
2013-11-05,79.13,80.44,78.79,79.51,3854862,CI
2013-11-06,79.61,81.14,79.3,80.41,1293703,CI
2013-11-07,80.73,81.14,79.22,79.28,1420033,CI
2013-11-08,79.43,80.69,79.29,80.68,1389810,CI
2013-11-11,80.77,81.35,80.61,81.11,741808,CI
2013-11-12,80.99,81.25,80.58,81.1,1066900,CI
2013-11-13,81.09,82.2,80.99,82.17,1703215,CI
2013-11-14,82.19,83.05,82.06,83.03,1430310,CI
2013-11-15,82.91,83.66,82.79,83.64,1352284,CI
2013-11-18,83.7,84.25,83.53,84.11,918875,CI
2013-11-19,84.45,84.8,84.1772,84.65,1304571,CI
2013-11-20,84.78,86.45,84.52,85.82,1801069,CI
2013-11-21,86.4,87.416,85.68,85.73,1714307,CI
2013-11-22,85.74,86.87,85.58,86.62,1561195,CI
2013-11-25,86.76,88.34,86.52,88.18,1477691,CI
2013-11-26,88.03,88.57,87.78,87.95,1585242,CI
2013-11-27,88.2,88.36,87.79,88.02,996682,CI
2013-11-29,88.44,88.49,87.34,87.45,689134,CI
2013-12-02,87.37,88.09,87.01,87.17,1321202,CI
2013-12-03,86.86,87.04,86.01,86.16,1760645,CI
2013-12-04,85.9,86.83,85.09,85.95,1314711,CI
2013-12-05,85.87,85.92,84.23,84.32,1173963,CI
2013-12-06,85.32,86.63,85.21,86.5,1362558,CI
2013-12-09,87.51,87.93,86.92,87.15,1394888,CI
2013-12-10,86.81,87.01,86.08,86.1,1258582,CI
2013-12-11,85.97,86.49,84.848,85.13,1865863,CI
2013-12-12,84.86,85.32,84.02,84.28,1525464,CI
2013-12-13,84.56,85.26,83.16,83.25,1141635,CI
2013-12-16,84.06,84.448,83.02,83.95,1329468,CI
2013-12-17,84.15,84.18,83.52,83.78,1369667,CI
2013-12-18,83.99,85.05,83.16,85.04,1086693,CI
2013-12-19,84.64,85.38,83.98,85.32,1122908,CI
2013-12-20,85.49,85.72,84.7201,85.25,2148207,CI
2013-12-23,85.8,86.18,85.47,85.99,713895,CI
2013-12-24,86.17,86.55,85.83,86.17,246626,CI
2013-12-26,86.31,86.98,86.21,86.81,386084,CI
2013-12-27,86.85,87.229,86.42,86.53,365889,CI
